chemical_class,motif_id,canonical_id,lsm_type
acylglycerol,acylglycerol.m00,tri-11-eicosenoin,class_shared
acylglycerol,acylglycerol.m00,tricaprin,class_shared
acylglycerol,acylglycerol.m00,tricaproin,class_shared
acylglycerol,acylglycerol.m00,tricaprylin,class_shared
acylglycerol,acylglycerol.m00,trielaidin,class_shared
acylglycerol,acylglycerol.m00,trierucin,class_shared
acylglycerol,acylglycerol.m00,trilaurin,class_shared
acylglycerol,acylglycerol.m00,trilinolein,class_shared
acylglycerol,acylglycerol.m00,trimyristin,class_shared
acylglycerol,acylglycerol.m00,triolein,class_shared
acylglycerol,acylglycerol.m00,tripalmitolein,class_shared
acylglycerol,acylglycerol.m00,tripetroselinin,class_shared
acylglycerol,acylglycerol.m01,tri-11-eicosenoin,subfamily
acylglycerol,acylglycerol.m01,trielaidin,subfamily
acylglycerol,acylglycerol.m01,trierucin,subfamily
acylglycerol,acylglycerol.m01,trilinolein,subfamily
acylglycerol,acylglycerol.m01,trilinolenin,subfamily
acylglycerol,acylglycerol.m01,triolein,subfamily
acylglycerol,acylglycerol.m01,tripalmitolein,subfamily
acylglycerol,acylglycerol.m01,tripetroselinin,subfamily
acylglycerol,acylglycerol.m02,triarachidin,subfamily
acylglycerol,acylglycerol.m02,tribehenin,subfamily
acylglycerol,acylglycerol.m02,tricaprin,subfamily
acylglycerol,acylglycerol.m02,trielaidin,subfamily
acylglycerol,acylglycerol.m02,trierucin,subfamily
acylglycerol,acylglycerol.m02,trilaurin,subfamily
acylglycerol,acylglycerol.m02,trimyristin,subfamily
acylglycerol,acylglycerol.m02,tripalmitin,subfamily
acylglycerol,acylglycerol.m02,tripetroselinin,subfamily
acylglycerol,acylglycerol.m02,tristearin,subfamily
carboxylic_acid_metabolite,carboxylic_acid_metabolite.m00,acetoacetate,class_shared
carboxylic_acid_metabolite,carboxylic_acid_metabolite.m00,citrate,class_shared
carboxylic_acid_metabolite,carboxylic_acid_metabolite.m00,fumarate,class_shared
carboxylic_acid_metabolite,carboxylic_acid_metabolite.m00,malic acid,class_shared
carboxylic_acid_metabolite,carboxylic_acid_metabolite.m00,pyruvate,class_shared
carboxylic_acid_metabolite,carboxylic_acid_metabolite.m00,succinic acid,class_shared
carboxylic_acid_metabolite,carboxylic_acid_metabolite.m01,acetoacetate,class_shared
carboxylic_acid_metabolite,carboxylic_acid_metabolite.m01,ascorbate,class_shared
carboxylic_acid_metabolite,carboxylic_acid_metabolite.m01,citrate,class_shared
carboxylic_acid_metabolite,carboxylic_acid_metabolite.m01,fumarate,class_shared
carboxylic_acid_metabolite,carboxylic_acid_metabolite.m01,lactate,class_shared
carboxylic_acid_metabolite,carboxylic_acid_metabolite.m01,malic acid,class_shared
carboxylic_acid_metabolite,carboxylic_acid_metabolite.m01,pyruvate,class_shared
chromophore_pigment,chromophore_pigment.m00,carotene,class_shared
chromophore_pigment,chromophore_pigment.m00,riboflavin,class_shared
chromophore_pigment,chromophore_pigment.m00,β-carotene,class_shared
chromophore_pigment,chromophore_pigment.m01,melanin,subfamily
chromophore_pigment,chromophore_pigment.m01,riboflavin,subfamily
fatty_acid,fatty_acid.m00,14-methylhexadecanoic acid,subfamily
fatty_acid,fatty_acid.m00,14-methylpentadecanoic acid,subfamily
fatty_acid,fatty_acid.m00,15-methylpalmiticacid,subfamily
fatty_acid,fatty_acid.m00,arachidic acid,subfamily
fatty_acid,fatty_acid.m00,lauric acid,subfamily
fatty_acid,fatty_acid.m00,myristic acid,subfamily
fatty_acid,fatty_acid.m00,oleate,subfamily
fatty_acid,fatty_acid.m00,palmitic acid,subfamily
fatty_acid,fatty_acid.m00,stearate,subfamily
fatty_acid,fatty_acid.m00,vaccenic acid,subfamily
fatty_acid,fatty_acid.m01,arachidonic acid,subfamily
fatty_acid,fatty_acid.m01,linoleic acid,subfamily
fatty_acid,fatty_acid.m01,oleate,subfamily
fatty_acid,fatty_acid.m01,palmitoleic acid,subfamily
fatty_acid,fatty_acid.m01,vaccenic acid,subfamily
fatty_acid,fatty_acid.m01,α-linolenic acid,subfamily
fatty_acid,fatty_acid.m02,13-methylmyristicacid,subfamily
fatty_acid,fatty_acid.m02,14-methylhexadecanoic acid,subfamily
fatty_acid,fatty_acid.m02,arachidic acid,subfamily
fatty_acid,fatty_acid.m02,lauric acid,subfamily
fatty_acid,fatty_acid.m02,oleate,subfamily
fatty_acid,fatty_acid.m02,palmitic acid,subfamily
fatty_acid,fatty_acid.m02,palmitoleic acid,subfamily
fatty_acid,fatty_acid.m02,stearate,subfamily
fatty_acid,fatty_acid.m02,vaccenic acid,subfamily
fatty_acid,fatty_acid.m03,12-methyltetradecanoic acid,class_shared
fatty_acid,fatty_acid.m03,arachidic acid,class_shared
fatty_acid,fatty_acid.m03,elaidic acid,class_shared
fatty_acid,fatty_acid.m03,lauric acid,class_shared
fatty_acid,fatty_acid.m03,linoleic acid,class_shared
fatty_acid,fatty_acid.m03,oleate,class_shared
fatty_acid,fatty_acid.m03,palmitic acid,class_shared
fatty_acid,fatty_acid.m03,palmitoleic acid,class_shared
fatty_acid,fatty_acid.m03,stearate,class_shared
fatty_acid,fatty_acid.m03,vaccenic acid,class_shared
fatty_acid,fatty_acid.m03,α-linolenic acid,class_shared
fatty_acid,fatty_acid.m04,12-methyltetradecanoic acid,subfamily
fatty_acid,fatty_acid.m04,13-methylmyristicacid,subfamily
fatty_acid,fatty_acid.m04,14-methylpentadecanoic acid,subfamily
fatty_acid,fatty_acid.m04,15-methylpalmiticacid,subfamily
fatty_acid,fatty_acid.m04,arachidic acid,subfamily
fatty_acid,fatty_acid.m04,lauric acid,subfamily
fatty_acid,fatty_acid.m04,palmitic acid,subfamily
fatty_acid,fatty_acid.m04,stearate,subfamily
free_amino_acid,free_amino_acid.m00,alanine,subfamily
free_amino_acid,free_amino_acid.m00,asparagine,subfamily
free_amino_acid,free_amino_acid.m00,aspartate,subfamily
free_amino_acid,free_amino_acid.m00,glutamate,subfamily
free_amino_acid,free_amino_acid.m00,isoleucine,subfamily
