motif_id,chemical_class,index_in_class,k_c,n_class_analytes,retained,rejection_reason,is_anchor,lsm_type,n_bands,band_centers_cm,n_analytes,n_spectra,dominant_broad_class,purity,stability,matched_similarity,activation_share,activation_sparsity,reconstruction_share,redundancy_max,anchor_justification,analytes
acylglycerol.m00,acylglycerol,0,1,17,True,,False,class_shared,7,890;1064;1130;1298;1442;1656;1742,17,23,lipid,1.0,1.0,0.9987,1.0,0.0,0.815,0.0,,tri-11-eicosenoin;triarachidin;tribehenin;tricaprin;tricaproin;tricaprylin;trielaidin;trierucin;trilaurin;trilinolein;trilinolenin;trimyristin;triolein;tripalmitin;tripalmitolein;tripetroselinin;tristearin
carboxylic_acid_metabolite.m00,carboxylic_acid_metabolite,0,3,8,True,,False,class_shared,8,640;784;830;904;940;1418;1444;1704,6,18,energy_metabolism,1.0,1.0,0.9191,0.3652,0.25,0.2397,0.291,,acetoacetate;citrate;lactate;malic acid;pyruvate;succinic acid
carboxylic_acid_metabolite.m01,carboxylic_acid_metabolite,1,3,8,True,,False,subfamily,8,476;628;876;1088;1130;1260;1324;1668,4,13,energy_metabolism,1.0,1.0,0.9851,0.3179,0.5,0.1822,0.2671,,ascorbate;lactate;malic acid;pyruvate
carboxylic_acid_metabolite.m02,carboxylic_acid_metabolite,2,3,8,True,,False,class_shared,8,684;768;914;936;980;1294;1430;1658,6,16,energy_metabolism,1.0,0.9167,0.9564,0.3169,0.25,0.1841,0.291,,acetoacetate;ascorbate;fumarate;malic acid;pyruvate;succinic acid
chromophore_pigment.m00,chromophore_pigment,0,2,4,True,,False,class_shared,4,1006;1156;1270;1518,3,6,redox_cofactor,1.0,1.0,1.0,0.5229,0.25,0.4895,0.1072,,carotene;riboflavin;β-carotene
chromophore_pigment.m01,chromophore_pigment,1,2,4,True,,False,subfamily,8,742;1060;1180;1224;1346;1402;1464;1622,2,8,redox_cofactor,1.0,1.0,1.0,0.4771,0.5,0.3136,0.1072,,melanin;riboflavin
fatty_acid.m00,fatty_acid,0,2,17,True,,False,class_shared,8,818;906;1064;1102;1130;1174;1298;1442,15,25,lipid,1.0,1.0,0.9978,0.6251,0.1176,0.5489,0.3381,,12-methyltetradecanoic acid;13-methylmyristicacid;14-methylhexadecanoic acid;14-methylpentadecanoic acid;15-methylpalmiticacid;arachidic acid;elaidic acid;lauric acid;linoleic acid;myristic acid;oleate;palmitic acid;palmitoleic acid;stearate;vaccenic acid
fatty_acid.m01,fatty_acid,1,2,17,True,,False,class_shared,7,866;970;1082;1262;1308;1438;1652,11,19,lipid,1.0,1.0,0.9947,0.3749,0.3529,0.2392,0.3381,,12-methyltetradecanoic acid;13-methylmyristicacid;14-methylhexadecanoic acid;arachidonic acid;elaidic acid;linoleic acid;oleate;palmitoleic acid;stearate;vaccenic acid;α-linolenic acid
free_amino_acid.m00,free_amino_acid,0,5,18,True,,False,class_shared,8,540;758;870;946;1078;1120;1340;1424,12,48,protein_amino_acid,1.0,1.0,0.9727,0.2719,0.3333,0.1789,0.3495,,alanine;arginine;asparagine;aspartate;cysteine;glutamate;histidine;isoleucine;leucine;methionine;tryptophan;valine
free_amino_acid.m01,free_amino_acid,1,5,18,True,,False,class_shared,8,534;852;922;964;1018;1322;1358;1462,12,55,protein_amino_acid,1.0,1.0,0.9839,0.2594,0.3333,0.1577,0.3354,,alanine;arginine;glutamate;histidine;hydroxyproline;isoleucine;leucine;proline;serine;tryptophan;tyrosine;valine
free_amino_acid.m02,free_amino_acid,2,5,18,True,,False,subfamily,8,452;640;692;828;1178;1200;1346;1614,9,35,protein_amino_acid,1.0,1.0,0.8916,0.1401,0.5,0.0693,0.215,,aspartate;cysteine;histidine;isoleucine;leucine;methionine;proline;tyrosine;valine
free_amino_acid.m03,free_amino_acid,3,5,18,True,,False,class_shared,8,502;896;984;1034;1176;1324;1412;1444,12,53,protein_amino_acid,1.0,0.9167,0.8877,0.2163,0.3333,0.0899,0.3495,,arginine;aspartate;glutamate;glycine;histidine;isoleucine;leucine;methionine;proline;serine;tyrosine;valine
free_amino_acid.m04,free_amino_acid,4,5,18,True,,False,subfamily,8,468;622;752;830;1004;1034;1212;1606,5,22,protein_amino_acid,1.0,0.8333,0.8779,0.1123,0.7222,0.0702,0.2545,,isoleucine;phenylalanine;serine;tryptophan;tyrosine
mono_oligosaccharide.m00,mono_oligosaccharide,0,5,20,True,,False,subfamily,8,530;818;874;948;1062;1156;1270;1452,7,17,carbohydrate,1.0,0.9167,0.9151,0.1576,0.65,0.1068,0.5164,,(+)-fucose;(+)-galactosamine;(+)-galactose;(+)-mannose;(+)-raffinose pentahydrate;(-)-fructose;(-)-ribose
mono_oligosaccharide.m01,mono_oligosaccharide,1,5,20,True,,False,class_shared,8,580;698;844;936;994;1052;1258;1474,13,31,carbohydrate,1.0,1.0,0.9592,0.2,0.35,0.1218,0.3793,,(+)-arabinose;(+)-galactose;(+)-glucose;(+)-lactose;(+)-mannose;(+)-raffinose pentahydrate;(+)-sucrose;(+)-trehalose;(-)-arabinose;glucosamine;glycerol;n-acetylglucosamine;β-d-glucose
mono_oligosaccharide.m02,mono_oligosaccharide,2,5,20,True,,False,class_shared,8,542;838;914;1074;1120;1150;1344;1460,13,26,carbohydrate,1.0,0.9167,0.9558,0.2228,0.35,0.1392,0.4871,,(+)-fucose;(+)-glucose;(+)-lactose;(+)-maltose;(+)-mannose;(+)-raffinose pentahydrate;(+)-sucrose;(+)-trehalose;(+)-xylose;(-)-ribose;2-deoxy-d-ribose;glycerol;β-d-glucose
mono_oligosaccharide.m03,mono_oligosaccharide,3,5,20,True,,False,subfamily,8,524;576;854;906;1018;1088;1134;1382,11,27,carbohydrate,1.0,1.0,0.9224,0.2322,0.45,0.1167,0.5164,,(+)-arabinose;(+)-galactose;(+)-glucose;(+)-lactose;(+)-maltose;(+)-mannose;(+)-sucrose;(+)-trehalose;(+)-xylose;glucosamine;n-acetylglucosamine
