chemical_class,k,n_pairs,max_cosine,mean_cosine,max_pearson,max_spearman,n_pairs_ge_0.95,n_pairs_ge_0.90,merge_candidates
acylglycerol,3,3,0.8066,0.5174,0.7721,0.4083,0,0,
carboxylic_acid_metabolite,2,1,0.3284,0.3284,-0.1821,-0.1743,0,0,
chromophore_pigment,2,1,0.1072,0.1072,-0.1078,-0.2821,0,0,
fatty_acid,5,10,0.7465,0.4767,0.7042,0.31,0,0,
free_amino_acid,7,21,0.453,0.2681,0.1677,0.2142,0,0,
mono_oligosaccharide,6,15,0.5021,0.3755,0.2897,0.301,0,0,
nucleic_acid_polymer,1,0,,,,,0,0,
peptide_protein,10,45,0.8406,0.4464,0.7768,0.5912,0,0,
phosphate_metabolite,1,0,,,,,0,0,
phospholipid_sphingolipid,2,1,0.4277,0.4277,0.0524,-0.0352,0,0,
polysaccharide,2,1,0.5561,0.5561,0.298,0.4013,0,0,
purine,2,1,0.2819,0.2819,-0.0679,-0.0506,0,0,
pyrimidine,1,0,,,,,0,0,
small_nitrogenous,1,0,,,,,0,0,
sterol_steroid,3,3,0.4275,0.3612,0.1768,0.2525,0,0,
sulfur_thiol_cofactor,2,1,0.3703,0.3703,-0.0996,0.049,0,0,
