chemical_class,molecule,band_cm,observed,reconstructed,residual
acylglycerol,tri-11-eicosenoin,530.0,0.01734,0.00515,0.01219
acylglycerol,tri-11-eicosenoin,690.0,0.01864,0.00476,0.01388
acylglycerol,tri-11-eicosenoin,726.0,0.0188,0.01018,0.00862
acylglycerol,tri-11-eicosenoin,802.0,0.01153,0.00468,0.00684
acylglycerol,tri-11-eicosenoin,872.0,0.03721,0.02907,0.00814
acylglycerol,tri-11-eicosenoin,924.0,0.01231,0.01079,0.00153
acylglycerol,tri-11-eicosenoin,974.0,0.01469,0.01168,0.00301
acylglycerol,tri-11-eicosenoin,1066.0,0.0441,0.04631,-0.00221
acylglycerol,tri-11-eicosenoin,1304.0,0.11589,0.1057,0.0102
acylglycerol,tri-11-eicosenoin,1370.0,0.01669,0.00669,0.01001
acylglycerol,tri-11-eicosenoin,1440.0,0.22147,0.21849,0.00298
acylglycerol,tri-11-eicosenoin,1656.0,0.1134,0.11379,-0.00039
acylglycerol,triarachidin,890.0,0.02587,0.03816,-0.01229
acylglycerol,triarachidin,1062.0,0.11578,0.12087,-0.00509
acylglycerol,triarachidin,1132.0,0.12592,0.11912,0.00681
acylglycerol,triarachidin,1298.0,0.25106,0.24414,0.00691
acylglycerol,triarachidin,1368.0,0.01471,0.01287,0.00184
acylglycerol,triarachidin,1444.0,0.18524,0.17816,0.00708
acylglycerol,triarachidin,1466.0,0.14612,0.13757,0.00855
acylglycerol,triarachidin,1742.0,0.02011,0.02925,-0.00915
acylglycerol,tribehenin,890.0,0.02329,0.03811,-0.01483
acylglycerol,tribehenin,1062.0,0.113,0.12074,-0.00773
acylglycerol,tribehenin,1132.0,0.12596,0.11898,0.00697
acylglycerol,tribehenin,1176.0,0.01291,0.01116,0.00175
acylglycerol,tribehenin,1296.0,0.25455,0.23928,0.01526
acylglycerol,tribehenin,1368.0,0.01469,0.01286,0.00183
acylglycerol,tribehenin,1444.0,0.17752,0.17796,-0.00044
acylglycerol,tribehenin,1466.0,0.1465,0.13742,0.00908
acylglycerol,tribehenin,1742.0,0.02152,0.02922,-0.0077
acylglycerol,tricaprin,606.0,0.02292,0.01148,0.01144
acylglycerol,tricaprin,892.0,0.05975,0.0367,0.02305
acylglycerol,tricaprin,960.0,0.01288,0.00629,0.00659
acylglycerol,tricaprin,996.0,0.01341,0.00426,0.00916
acylglycerol,tricaprin,1064.0,0.11123,0.10028,0.01095
acylglycerol,tricaprin,1126.0,0.11528,0.07995,0.03533
acylglycerol,tricaprin,1182.0,0.01444,0.01038,0.00406
acylglycerol,tricaprin,1246.0,0.01699,0.01094,0.00605
acylglycerol,tricaprin,1300.0,0.20048,0.19163,0.00885
acylglycerol,tricaprin,1366.0,0.00922,0.01182,-0.0026
acylglycerol,tricaprin,1442.0,0.1992,0.20136,-0.00216
acylglycerol,tricaprin,1744.0,0.06013,0.04119,0.01894
acylglycerol,tricaproin,614.0,0.01088,0.00937,0.00151
acylglycerol,tricaproin,848.0,0.05008,0.03117,0.01891
acylglycerol,tricaproin,904.0,0.0302,0.0214,0.00879
acylglycerol,tricaproin,982.0,0.01046,0.00377,0.00669
acylglycerol,tricaproin,1068.0,0.04964,0.04892,0.00073
acylglycerol,tricaproin,1116.0,0.05495,0.04347,0.01147
acylglycerol,tricaproin,1306.0,0.09834,0.10758,-0.00924
acylglycerol,tricaproin,1362.0,0.02189,0.0102,0.01169
acylglycerol,tricaproin,1444.0,0.22254,0.2234,-0.00087
acylglycerol,tricaproin,1594.0,0.01323,0.0071,0.00613
acylglycerol,tricaproin,1744.0,0.09095,0.06679,0.02416
acylglycerol,tricaprylin,620.0,0.01164,0.00827,0.00337
acylglycerol,tricaprylin,726.0,0.01092,0.00895,0.00197
acylglycerol,tricaprylin,844.0,0.03422,0.02961,0.00461
acylglycerol,tricaprylin,874.0,0.03484,0.0258,0.00904
acylglycerol,tricaprylin,1036.0,0.02757,0.01806,0.00952
