chemical_class,n,k_c,ev_mean,ev_min,ev_p10,cos_mean,rmse_mean,band_ev_mean
small_nitrogenous,2,1,0.5169,0.1231,0.2018,0.6526,0.0225,0.5976
pyrimidine,3,1,0.54,0.1303,0.2517,0.6957,0.0248,0.6431
carboxylic_acid_metabolite,8,2,0.5268,0.3065,0.3634,0.7206,0.0246,0.5986
phosphate_metabolite,3,1,0.5733,0.4908,0.5044,0.7556,0.0239,0.669
purine,5,2,0.6712,0.4949,0.5297,0.8162,0.0216,0.8021
mono_oligosaccharide,20,6,0.7897,0.6144,0.6534,0.8864,0.0167,0.8409
sulfur_thiol_cofactor,4,2,0.8715,0.6168,0.7097,0.9297,0.0103,0.8988
chromophore_pigment,4,2,0.8053,0.6254,0.639,0.893,0.015,0.8888
free_amino_acid,18,7,0.7744,0.6334,0.6737,0.8785,0.0169,0.8386
sterol_steroid,10,3,0.9016,0.8156,0.8368,0.9491,0.0116,0.9269
polysaccharide,5,2,0.9199,0.8688,0.8738,0.9588,0.0102,0.9421
acylglycerol,17,3,0.9678,0.8719,0.9338,0.9836,0.0063,0.9784
nucleic_acid_polymer,3,1,0.9176,0.8968,0.8995,0.9578,0.011,0.9546
fatty_acid,17,5,0.9553,0.9023,0.924,0.9773,0.0078,0.9721
phospholipid_sphingolipid,5,2,0.9405,0.91,0.9114,0.9697,0.0086,0.9588
peptide_protein,30,10,0.9751,0.938,0.9563,0.9875,0.0056,0.9825
