chemical_class,molecule,k_c,ev,rmse,cosine,residual_energy,band_ev,n_bands,n_motifs_used
acylglycerol,tri-11-eicosenoin,3,0.97425,0.00617,0.98704,0.02575,0.98939,13,2
acylglycerol,triarachidin,3,0.99013,0.00382,0.99505,0.00987,0.99678,8,1
acylglycerol,tribehenin,3,0.98777,0.00425,0.99387,0.01223,0.9952,9,1
acylglycerol,tricaprin,3,0.96651,0.00704,0.98311,0.03349,0.97671,12,2
acylglycerol,tricaproin,3,0.96666,0.00702,0.98319,0.03334,0.98112,11,1
acylglycerol,tricaprylin,3,0.98573,0.00459,0.99284,0.01427,0.99432,10,1
acylglycerol,trielaidin,3,0.87191,0.01377,0.93376,0.12809,0.83978,11,3
acylglycerol,trierucin,3,0.92105,0.01081,0.95971,0.07895,0.93406,11,3
acylglycerol,trilaurin,3,0.98354,0.00494,0.99173,0.01646,0.98635,12,2
acylglycerol,trilinolein,3,0.98538,0.00462,0.99266,0.01462,0.99691,8,2
acylglycerol,trilinolenin,3,0.95986,0.00766,0.97972,0.04014,0.99377,5,1
acylglycerol,trimyristin,3,0.99028,0.00379,0.99513,0.00972,0.99039,11,2
acylglycerol,triolein,3,0.96324,0.0073,0.98145,0.03676,0.97877,11,2
acylglycerol,tripalmitin,3,0.99146,0.00356,0.99572,0.00854,0.99527,10,2
acylglycerol,tripalmitolein,3,0.97991,0.00545,0.9899,0.02009,0.99816,8,2
acylglycerol,tripetroselinin,3,0.94223,0.00924,0.97069,0.05777,0.98864,12,3
acylglycerol,tristearin,3,0.99224,0.00339,0.99611,0.00776,0.99743,10,1
carboxylic_acid_metabolite,acetoacetate,2,0.54618,0.02574,0.73904,0.45382,0.61593,21,2
carboxylic_acid_metabolite,ascorbate,2,0.65481,0.0225,0.8092,0.34519,0.79156,16,1
carboxylic_acid_metabolite,citrate,2,0.51436,0.02595,0.71719,0.48564,0.51546,16,2
carboxylic_acid_metabolite,fumarate,2,0.38772,0.0301,0.62267,0.61228,0.53038,7,2
carboxylic_acid_metabolite,lactate,2,0.69492,0.02124,0.83362,0.30508,0.81607,20,1
