chemical_class,n_molecules,k_selected,k,delta_k,heldout_ev,insample_ev_mean,insample_ev_min,stability,activation_sparsity,duplicate_fraction,basis_match_to_selected
acylglycerol,17,3,2,-1,0.7187,0.9291,0.807,1.0,0.5397,0.0,1.0
acylglycerol,17,3,3,0,0.8004,0.9678,0.8719,1.0,0.5817,0.0,1.0
acylglycerol,17,3,4,1,0.8071,0.9775,0.9427,1.0,0.5967,0.0,0.9984
carboxylic_acid_metabolite,8,2,1,-1,0.1233,0.3924,0.2683,1.0,0.0,0.0,1.0
carboxylic_acid_metabolite,8,2,2,0,0.1328,0.5268,0.3065,1.0,0.6282,0.0,1.0
carboxylic_acid_metabolite,8,2,3,1,0.1444,0.6418,0.3225,0.9722,0.587,0.0,0.9285
chromophore_pigment,4,2,1,-1,0.0756,0.5056,0.0769,1.0,0.0,0.0,1.0
chromophore_pigment,4,2,2,0,0.3357,0.8053,0.6255,1.0,0.8774,0.0,1.0
chromophore_pigment,4,2,3,1,0.0,0.9816,0.9635,1.0,0.9677,0.0,0.9096
fatty_acid,17,5,4,-1,0.6535,0.9358,0.8638,1.0,0.505,0.0,1.0
fatty_acid,17,5,5,0,0.6745,0.9553,0.9023,1.0,0.5839,0.0,1.0
fatty_acid,17,5,6,1,0.6773,0.9634,0.9286,0.9583,0.5728,0.0,0.9886
free_amino_acid,18,7,6,-1,0.271,0.7326,0.4951,0.9028,0.5712,0.0,1.0
free_amino_acid,18,7,7,0,0.2809,0.7744,0.6334,0.8929,0.5982,0.0,1.0
free_amino_acid,18,7,8,1,0.2865,0.8114,0.6277,0.9271,0.59,0.0,0.9844
mono_oligosaccharide,20,6,5,-1,0.3437,0.7569,0.5834,0.95,0.4991,0.0,1.0
mono_oligosaccharide,20,6,6,0,0.3462,0.7897,0.6144,0.9583,0.5252,0.0,1.0
mono_oligosaccharide,20,6,7,1,0.3541,0.8187,0.6125,0.9048,0.5749,0.0,0.9912
nucleic_acid_polymer,3,1,1,0,0.58,0.9176,0.8968,1.0,0.0,0.0,1.0
nucleic_acid_polymer,3,1,2,1,0.0,0.9722,0.9462,1.0,0.6925,0.0,0.9661
peptide_protein,30,10,9,-1,0.7134,0.969,0.8925,0.9167,0.4343,0.0,1.0
peptide_protein,30,10,10,0,0.7176,0.9751,0.938,0.95,0.4596,0.0,1.0
peptide_protein,30,10,11,1,0.7213,0.9783,0.9536,0.9621,0.4615,0.0,0.9932
phosphate_metabolite,3,1,1,0,0.1011,0.5733,0.4907,1.0,0.0,0.0,1.0
phosphate_metabolite,3,1,2,1,0.0,0.8073,0.6233,1.0,0.8859,0.0,0.8907
phospholipid_sphingolipid,5,2,1,-1,0.4616,0.7909,0.3196,1.0,0.0,0.0,1.0
phospholipid_sphingolipid,5,2,2,0,0.4922,0.9405,0.91,0.9583,0.7785,0.0,1.0
phospholipid_sphingolipid,5,2,3,1,0.5264,0.9829,0.9743,0.9722,0.7156,0.0,0.9776
polysaccharide,5,2,1,-1,0.4099,0.7636,0.5855,1.0,0.0,0.0,1.0
polysaccharide,5,2,2,0,0.5599,0.9199,0.8688,1.0,0.6719,0.0,1.0
polysaccharide,5,2,3,1,0.5703,0.9706,0.9087,0.8056,0.7033,0.0,0.9687
purine,5,2,1,-1,0.1199,0.471,0.3003,1.0,0.0,0.0,1.0
purine,5,2,2,0,0.1416,0.6712,0.4949,0.9583,0.6672,0.0,1.0
purine,5,2,3,1,0.1712,0.8286,0.7179,0.8611,0.6855,0.0,0.9161
pyrimidine,3,1,1,0,0.0797,0.54,0.1303,1.0,0.0,0.0,1.0
pyrimidine,3,1,2,1,0.0,0.8555,0.7833,1.0,0.9178,0.0,0.9721
small_nitrogenous,2,1,1,0,0.0,0.5169,0.1231,1.0,0.0,0.0,1.0
sterol_steroid,10,3,2,-1,0.508,0.8236,0.5751,1.0,0.6474,0.0,1.0
sterol_steroid,10,3,3,0,0.5854,0.9016,0.8156,1.0,0.707,0.0,1.0
sterol_steroid,10,3,4,1,0.5964,0.9344,0.848,0.8958,0.7253,0.0,0.9739
sulfur_thiol_cofactor,4,2,1,-1,0.3066,0.6806,0.358,1.0,0.0,0.0,1.0
sulfur_thiol_cofactor,4,2,2,0,0.3601,0.8715,0.6168,1.0,0.7798,0.0,1.0
sulfur_thiol_cofactor,4,2,3,1,0.0,0.9872,0.9719,1.0,0.8695,0.0,0.9864
