chemical_class,motif_index,p_value,significant_bonferroni,mean_source_a,mean_source_b
carboxylic_acid_metabolite,0,0.016422132198999583,True,0.7439,0.5142
carboxylic_acid_metabolite,1,0.016422132198999583,True,0.2561,0.4858
fatty_acid,0,0.3970225337126845,False,0.2591,0.304
fatty_acid,1,0.3570483764588198,False,0.1865,0.1488
fatty_acid,2,0.3855075146362086,False,0.1541,0.0864
fatty_acid,3,0.14951677630541446,False,0.2242,0.3571
fatty_acid,4,0.9522768455126529,False,0.1761,0.1037
free_amino_acid,0,0.3255039523927995,False,0.2539,0.2186
free_amino_acid,1,0.2416392134747295,False,0.1801,0.2075
free_amino_acid,2,0.04204689926653395,False,0.0157,0.0665
free_amino_acid,3,0.07114297616159657,False,0.1334,0.1921
free_amino_acid,4,0.5014237548632176,False,0.1366,0.1202
free_amino_acid,5,0.6193395060067335,False,0.1304,0.0665
free_amino_acid,6,0.23261154481046575,False,0.1499,0.1286
mono_oligosaccharide,0,0.5193355309430852,False,0.1344,0.1862
mono_oligosaccharide,1,0.7188275285278303,False,0.163,0.1102
mono_oligosaccharide,2,0.631853840490872,False,0.2082,0.1757
mono_oligosaccharide,3,0.16195995375991357,False,0.1696,0.2177
mono_oligosaccharide,4,0.4648326588170506,False,0.1914,0.2443
mono_oligosaccharide,5,0.6472596547518803,False,0.1333,0.0659
