motif_id,chemical_class,lsm_type,n_analytes,stability,activation_sparsity,top_bands_cm,assignments,n_class_specific,representative_molecules,interpretation_class
acylglycerol.m00,acylglycerol,class_shared,12,1.0,0.2941,848;1068;1118;1304;1440;1744,"848: C–C skeletal stretch (generic) | 1068: C–C skeletal, all-trans acyl chain | 1118: C–O–C / C–N stretch (generic) | 1304: CH2 twist | 1440: CH2 scissoring | 1744: ESTER C=O (1745) — diagnostic for acylglycerols vs free fatty acids",4,tri-11-eicosenoin;tricaprin;tricaproin;tricaprylin,shared chemistry
acylglycerol.m01,acylglycerol,subfamily,8,1.0,0.5294,866;970;1082;1266;1438;1656,866: glycerol backbone C–C | 970: symmetric stretch (PO4 / ring breathing) (generic) | 1082: C–C / C–N stretch; PO2− symmetric (generic) | 1266: =C–H in-plane (cis unsaturation) | 1438: CH2 scissoring | 1656: C=C stretch (cis),4,tri-11-eicosenoin;trielaidin;trierucin;trilinolein,subfamily chemistry
acylglycerol.m02,acylglycerol,subfamily,10,1.0,0.4118,892;1062;1130;1298;1442;1742,"892: C–C skeletal stretch (generic) | 1062: C–C skeletal, all-trans acyl chain | 1130: C–C skeletal, all-trans | 1298: CH2 twist | 1442: CH2 scissoring | 1742: ESTER C=O (1745) — diagnostic for acylglycerols vs free fatty acids",5,triarachidin;tribehenin;tricaprin;trielaidin,subfamily chemistry
carboxylic_acid_metabolite.m00,carboxylic_acid_metabolite,class_shared,6,1.0,0.25,784;830;938;1294;1430;1658,"784: ring breathing; O–P–O symmetric (generic) | 830: C–COO− stretch | 938: C–C stretch | 1294: amide III region; CH2 twist (generic) | 1430: CH2 / CH3 deformation (generic) | 1658: C=O (keto acids: pyruvate, acetoacetate)",3,acetoacetate;citrate;fumarate;malic acid,shared chemistry
carboxylic_acid_metabolite.m01,carboxylic_acid_metabolite,class_shared,7,1.0,0.125,476;628;876;1130;1260;1668,"476: outside the assigned range | 628: C–S stretch; ring deformation (generic) | 876: C–C skeletal stretch (generic) | 1130: C–O–C / C–N stretch (generic) | 1260: amide III region; CH2 twist (generic) | 1668: C=O (keto acids: pyruvate, acetoacetate)",2,acetoacetate;ascorbate;citrate;fumarate,shared chemistry
chromophore_pigment.m00,chromophore_pigment,class_shared,3,1.0,0.25,1006;1156;1270;1518,"1006: C–CH3 rocking (carotenoid) | 1156: C–C stretch (carotenoid polyene) | 1270: amide III region; CH2 twist (generic) | 1518: C=C stretch (carotenoid polyene, resonance-enhanced)",3,carotene;riboflavin;β-carotene,shared chemistry
chromophore_pigment.m01,chromophore_pigment,subfamily,2,1.0,0.5,742;1180;1224;1346;1402;1622,742: C–S stretch; ring breathing (generic) | 1180: C–C stretch; in-plane bending (generic) | 1224: amide III region; CH2 twist (generic) | 1346: isoalloxazine ring (flavin) | 1402: isoalloxazine ring (flavin) | 1622: amide I; C=C stretch (generic),2,melanin;riboflavin,subfamily chemistry
fatty_acid.m00,fatty_acid,subfamily,10,1.0,0.4118,892;1064;1128;1296;1438;1464,"892: C–C skeletal stretch (generic) | 1064: C–C skeletal, all-trans acyl chain | 1128: C–C skeletal, all-trans | 1296: CH2 twist | 1438: CH2 scissoring | 1464: CH2 / CH3 deformation (generic)",4,14-methylhexadecanoic acid;14-methylpentadecanoic acid;15-methylpalmiticacid;arachidic acid,subfamily chemistry
fatty_acid.m01,fatty_acid,subfamily,6,1.0,0.6471,866;972;1082;1262;1432;1652,866: C–C skeletal stretch (generic) | 972: symmetric stretch (PO4 / ring breathing) (generic) | 1082: C–C / C–N stretch; PO2− symmetric (generic) | 1262: =C–H in-plane deformation (cis unsaturation) | 1432: CH2 / CH3 deformation (generic) | 1652: C=C stretch (cis),2,arachidonic acid;linoleic acid;oleate;palmitoleic acid,subfamily chemistry
fatty_acid.m02,fatty_acid,subfamily,9,1.0,0.4706,912;1070;1110;1146;1304;1452,"912: C–C stretch; skeletal (generic) | 1070: C–C skeletal, all-trans acyl chain | 1110: C–O–C / C–N stretch (generic) | 1146: C–O–C / C–N stretch (generic) | 1304: CH2 twist | 1452: CH2 scissoring",3,13-methylmyristicacid;14-methylhexadecanoic acid;arachidic acid;lauric acid,subfamily chemistry
fatty_acid.m03,fatty_acid,class_shared,11,1.0,0.3529,906;1096;1120;1302;1440;1668,"906: C–C stretch; skeletal (generic) | 1096: C–C skeletal, gauche | 1120: C–C skeletal, all-trans | 1302: CH2 twist | 1440: CH2 scissoring | 1668: C=C stretch (cis)",5,12-methyltetradecanoic acid;arachidic acid;elaidic acid;lauric acid,shared chemistry
fatty_acid.m04,fatty_acid,subfamily,8,1.0,0.5294,818;1062;1102;1136;1298;1446,"818: ring breathing; O–P–O symmetric (generic) | 1062: C–C skeletal, all-trans acyl chain | 1102: C–C skeletal, gauche | 1136: C–C skeletal, all-trans | 1298: CH2 twist | 1446: CH2 scissoring",5,12-methyltetradecanoic acid;13-methylmyristicacid;14-methylpentadecanoic acid;15-methylpalmiticacid,subfamily chemistry
