chemical_class,molecule,ev,n_motifs_activated,dominant_motif_share,orphan,spectral_outlier
acylglycerol,tri-11-eicosenoin,0.9743,2,0.6504,False,False
acylglycerol,triarachidin,0.9901,1,1.0,False,False
acylglycerol,tribehenin,0.9878,1,1.0,False,False
acylglycerol,tricaprin,0.9665,2,0.5318,False,False
acylglycerol,tricaproin,0.9667,1,1.0,False,False
acylglycerol,tricaprylin,0.9857,1,1.0,False,False
acylglycerol,trielaidin,0.8719,3,0.5858,False,False
acylglycerol,trierucin,0.921,3,0.3938,False,False
acylglycerol,trilaurin,0.9835,2,0.7512,False,False
acylglycerol,trilinolein,0.9854,2,0.8226,False,False
acylglycerol,trilinolenin,0.9599,1,1.0,False,False
acylglycerol,trimyristin,0.9903,2,0.8297,False,False
acylglycerol,triolein,0.9632,2,0.5697,False,False
acylglycerol,tripalmitin,0.9915,2,0.9151,False,False
acylglycerol,tripalmitolein,0.9799,2,0.54,False,False
acylglycerol,tripetroselinin,0.9422,3,0.4171,False,False
acylglycerol,tristearin,0.9922,1,0.9898,False,False
carboxylic_acid_metabolite,acetoacetate,0.5462,2,0.9366,False,False
carboxylic_acid_metabolite,ascorbate,0.6548,1,0.9831,False,False
carboxylic_acid_metabolite,citrate,0.5144,2,0.9235,False,False
carboxylic_acid_metabolite,fumarate,0.3877,2,0.9327,True,True
carboxylic_acid_metabolite,lactate,0.6949,1,1.0,False,False
carboxylic_acid_metabolite,malic acid,0.3065,2,0.6185,True,True
carboxylic_acid_metabolite,pyruvate,0.5403,2,0.7533,False,False
carboxylic_acid_metabolite,succinic acid,0.5695,1,1.0,False,False
chromophore_pigment,carotene,0.9621,1,1.0,False,False
chromophore_pigment,melanin,0.6706,1,1.0,False,False
chromophore_pigment,riboflavin,0.6255,2,0.8931,False,False
chromophore_pigment,β-carotene,0.9629,1,1.0,False,False
fatty_acid,12-methyltetradecanoic acid,0.9201,2,0.6973,False,False
fatty_acid,13-methylmyristicacid,0.9266,2,0.8046,False,False
fatty_acid,14-methylhexadecanoic acid,0.9413,2,0.9105,False,False
fatty_acid,14-methylpentadecanoic acid,0.9824,2,0.8647,False,False
fatty_acid,15-methylpalmiticacid,0.9776,2,0.9198,False,False
fatty_acid,arachidic acid,0.966,4,0.6183,False,False
fatty_acid,arachidonic acid,0.9593,1,0.9976,False,False
fatty_acid,elaidic acid,0.9425,1,1.0,False,False
fatty_acid,lauric acid,0.9023,4,0.5551,False,False
fatty_acid,linoleic acid,0.9903,2,0.6736,False,False
fatty_acid,myristic acid,0.9704,1,0.9652,False,False
