motif_a,class_a,motif_b,class_b,cosine,hypothesis
peptide_protein.m03,peptide_protein,polysaccharide.m00,polysaccharide,0.9701,peptide_protein ~ polysaccharide
acylglycerol.m01,acylglycerol,fatty_acid.m01,fatty_acid,0.948,acylglycerol ~ fatty_acid
acylglycerol.m00,acylglycerol,fatty_acid.m03,fatty_acid,0.9196,acylglycerol ~ fatty_acid
acylglycerol.m02,acylglycerol,fatty_acid.m04,fatty_acid,0.9085,acylglycerol ~ fatty_acid
acylglycerol.m00,acylglycerol,phospholipid_sphingolipid.m00,phospholipid_sphingolipid,0.8988,acylglycerol ~ phospholipid_sphingolipid
fatty_acid.m03,fatty_acid,sterol_steroid.m00,sterol_steroid,0.8959,fatty_acid ~ sterol_steroid
fatty_acid.m03,fatty_acid,phospholipid_sphingolipid.m00,phospholipid_sphingolipid,0.8915,fatty_acid ~ phospholipid_sphingolipid
acylglycerol.m02,acylglycerol,fatty_acid.m00,fatty_acid,0.8801,acylglycerol ~ fatty_acid
acylglycerol.m00,acylglycerol,sterol_steroid.m00,sterol_steroid,0.8748,acylglycerol ~ sterol_steroid
phospholipid_sphingolipid.m00,phospholipid_sphingolipid,sterol_steroid.m00,sterol_steroid,0.8603,phospholipid_sphingolipid ~ sterol_steroid
acylglycerol.m02,acylglycerol,phospholipid_sphingolipid.m00,phospholipid_sphingolipid,0.8319,acylglycerol ~ phospholipid_sphingolipid
purine.m00,purine,sulfur_thiol_cofactor.m00,sulfur_thiol_cofactor,0.8299,purine ~ sulfur_thiol_cofactor
chromophore_pigment.m01,chromophore_pigment,peptide_protein.m09,peptide_protein,0.818,chromophore_pigment ~ peptide_protein
fatty_acid.m04,fatty_acid,phospholipid_sphingolipid.m00,phospholipid_sphingolipid,0.797,fatty_acid ~ phospholipid_sphingolipid
acylglycerol.m00,acylglycerol,fatty_acid.m04,fatty_acid,0.7761,acylglycerol ~ fatty_acid
peptide_protein.m05,peptide_protein,sterol_steroid.m00,sterol_steroid,0.7674,peptide_protein ~ sterol_steroid
phospholipid_sphingolipid.m01,phospholipid_sphingolipid,sulfur_thiol_cofactor.m00,sulfur_thiol_cofactor,0.7645,phospholipid_sphingolipid ~ sulfur_thiol_cofactor
phospholipid_sphingolipid.m01,phospholipid_sphingolipid,purine.m00,purine,0.7527,phospholipid_sphingolipid ~ purine
peptide_protein.m08,peptide_protein,sterol_steroid.m00,sterol_steroid,0.744,peptide_protein ~ sterol_steroid
acylglycerol.m02,acylglycerol,fatty_acid.m03,fatty_acid,0.7363,acylglycerol ~ fatty_acid
fatty_acid.m00,fatty_acid,phospholipid_sphingolipid.m00,phospholipid_sphingolipid,0.7359,fatty_acid ~ phospholipid_sphingolipid
fatty_acid.m04,fatty_acid,sterol_steroid.m00,sterol_steroid,0.7319,fatty_acid ~ sterol_steroid
acylglycerol.m02,acylglycerol,sterol_steroid.m00,sterol_steroid,0.7314,acylglycerol ~ sterol_steroid
acylglycerol.m00,acylglycerol,fatty_acid.m02,fatty_acid,0.7226,acylglycerol ~ fatty_acid
mono_oligosaccharide.m03,mono_oligosaccharide,polysaccharide.m00,polysaccharide,0.7214,mono_oligosaccharide ~ polysaccharide
carboxylic_acid_metabolite.m01,carboxylic_acid_metabolite,mono_oligosaccharide.m03,mono_oligosaccharide,0.7134,carboxylic_acid_metabolite ~ mono_oligosaccharide
