motif_id,acylglycerol.m00,acylglycerol.m01,acylglycerol.m02,carboxylic_acid_metabolite.m00,carboxylic_acid_metabolite.m01,chromophore_pigment.m00,chromophore_pigment.m01,fatty_acid.m00,fatty_acid.m01,fatty_acid.m02,fatty_acid.m03,fatty_acid.m04,free_amino_acid.m00,free_amino_acid.m01,free_amino_acid.m02,free_amino_acid.m03,free_amino_acid.m04,free_amino_acid.m05,free_amino_acid.m06,mono_oligosaccharide.m00,mono_oligosaccharide.m01,mono_oligosaccharide.m02,mono_oligosaccharide.m03,mono_oligosaccharide.m04,mono_oligosaccharide.m05,nucleic_acid_polymer.m00,peptide_protein.m00,peptide_protein.m01,peptide_protein.m02,peptide_protein.m03,peptide_protein.m04,peptide_protein.m05,peptide_protein.m06,peptide_protein.m07,peptide_protein.m08,peptide_protein.m09,phosphate_metabolite.m00,phospholipid_sphingolipid.m00,phospholipid_sphingolipid.m01,polysaccharide.m00,polysaccharide.m01,purine.m00,purine.m01,pyrimidine.m00,small_nitrogenous.m00,sterol_steroid.m00,sterol_steroid.m01,sterol_steroid.m02,sulfur_thiol_cofactor.m00,sulfur_thiol_cofactor.m01
acylglycerol.m00,1.0,0.4159,0.8066,0.4767,0.3129,0.0605,0.1925,0.6298,0.2864,0.7226,0.9196,0.7761,0.366,0.3236,0.1989,0.3673,0.1613,0.2223,0.5742,0.2898,0.2762,0.338,0.3188,0.4061,0.2175,0.2826,0.5573,0.1761,0.3084,0.3267,0.587,0.6504,0.4768,0.5242,0.6328,0.1748,0.3559,0.8988,0.4418,0.3371,0.3055,0.4272,0.1796,0.1376,0.1945,0.8748,0.2353,0.3444,0.4726,0.263
acylglycerol.m01,0.4159,1.0,0.3297,0.4302,0.5108,0.0533,0.2756,0.2786,0.948,0.3081,0.5012,0.3421,0.2309,0.1632,0.13,0.1683,0.0698,0.1476,0.3428,0.271,0.1855,0.1367,0.2235,0.2532,0.0997,0.2517,0.6661,0.1059,0.14,0.2172,0.4481,0.6178,0.544,0.4998,0.5347,0.1605,0.2454,0.6361,0.3448,0.2022,0.2283,0.3473,0.153,0.2825,0.2699,0.5278,0.2822,0.2533,0.3646,0.2046
acylglycerol.m02,0.8066,0.3297,1.0,0.3214,0.31,0.0552,0.147,0.8801,0.2149,0.6659,0.7363,0.9085,0.2385,0.231,0.1518,0.2856,0.1023,0.1391,0.4411,0.2432,0.2111,0.3177,0.2942,0.3754,0.1418,0.2703,0.4537,0.2119,0.2361,0.293,0.5892,0.5277,0.3778,0.3707,0.4698,0.1716,0.3122,0.8319,0.3242,0.2901,0.2828,0.3603,0.1111,0.0907,0.1345,0.7314,0.2066,0.2618,0.3803,0.1894
carboxylic_acid_metabolite.m00,0.4767,0.4302,0.3214,1.0,0.3284,0.1161,0.2982,0.3543,0.377,0.2391,0.4744,0.3237,0.6313,0.2057,0.4384,0.3102,0.1988,0.2997,0.4383,0.2812,0.2425,0.238,0.318,0.2875,0.2971,0.3913,0.4644,0.2384,0.3443,0.3899,0.3194,0.4683,0.3923,0.5536,0.5252,0.2362,0.6245,0.524,0.5219,0.4192,0.2654,0.5005,0.3227,0.368,0.3838,0.5078,0.2484,0.4177,0.556,0.2767
carboxylic_acid_metabolite.m01,0.3129,0.5108,0.31,0.3284,1.0,0.1406,0.3853,0.3548,0.4947,0.2813,0.3117,0.3063,0.4311,0.4219,0.2971,0.3574,0.2326,0.3116,0.4953,0.504,0.4012,0.4726,0.7134,0.5229,0.4241,0.4639,0.5427,0.3761,0.3432,0.6997,0.4561,0.5336,0.5333,0.5064,0.4793,0.2915,0.5296,0.4406,0.6836,0.6855,0.6548,0.6329,0.2674,0.3054,0.292,0.4656,0.3712,0.3874,0.6502,0.2675
chromophore_pigment.m00,0.0605,0.0533,0.0552,0.1161,0.1406,1.0,0.1072,0.0505,0.0401,0.1324,0.0574,0.0707,0.1786,0.0975,0.1085,0.0944,0.2282,0.1368,0.1204,0.2622,0.0826,0.1813,0.1728,0.0891,0.1374,0.1244,0.0602,0.1255,0.105,0.2424,0.1428,0.1391,0.1494,0.1352,0.0822,0.1369,0.1769,0.0505,0.2756,0.2515,0.18,0.2134,0.0773,0.1083,0.1291,0.0984,0.1105,0.1561,0.1938,0.1784
chromophore_pigment.m01,0.1925,0.2756,0.147,0.2982,0.3853,0.1072,1.0,0.1534,0.3015,0.1349,0.1552,0.1499,0.5099,0.3162,0.2907,0.2316,0.2403,0.2633,0.337,0.2198,0.1428,0.2932,0.4115,0.2021,0.2486,0.4726,0.3077,0.6434,0.1627,0.3339,0.2768,0.4252,0.3145,0.4897,0.4982,0.818,0.3633,0.2081,0.4755,0.4106,0.3125,0.4187,0.2915,0.2386,0.2006,0.2412,0.4556,0.3512,0.5037,0.2199
fatty_acid.m00,0.6298,0.2786,0.8801,0.3543,0.3548,0.0505,0.1534,1.0,0.2007,0.4272,0.5863,0.7411,0.2898,0.202,0.1903,0.3207,0.0853,0.1179,0.435,0.2725,0.1801,0.3785,0.3283,0.2961,0.1877,0.2038,0.3227,0.2407,0.2534,0.3048,0.4403,0.3542,0.2529,0.3194,0.368,0.1594,0.3144,0.7359,0.3147,0.2947,0.3411,0.3725,0.1205,0.0784,0.1415,0.5499,0.2112,0.2143,0.418,0.1489
fatty_acid.m01,0.2864,0.948,0.2149,0.377,0.4947,0.0401,0.3015,0.2007,1.0,0.2192,0.3259,0.2337,0.2152,0.1684,0.1196,0.151,0.059,0.1553,0.2936,0.2688,0.2105,0.1212,0.2251,0.2242,0.0917,0.2338,0.5913,0.1172,0.1344,0.2068,0.3864,0.5157,0.4615,0.4459,0.4469,0.1946,0.2483,0.5111,0.3299,0.1972,0.2118,0.3423,0.1394,0.2897,0.2646,0.3769,0.3372,0.2577,0.3403,0.219
fatty_acid.m02,0.7226,0.3081,0.6659,0.2391,0.2813,0.1324,0.1349,0.4272,0.2192,1.0,0.5986,0.6881,0.2559,0.2839,0.1197,0.252,0.1113,0.206,0.4617,0.2712,0.28,0.4081,0.2421,0.3828,0.2724,0.3162,0.478,0.171,0.3046,0.3659,0.5977,0.578,0.3943,0.3716,0.4522,0.1431,0.3488,0.6425,0.3584,0.3521,0.3336,0.3169,0.0865,0.1186,0.1764,0.6501,0.1923,0.2254,0.344,0.2446
