chemical_class,k_c,perturbation,n_repeats,mean_basis_similarity,ci95_low,ci95_high,min
acylglycerol,3,seed,8,1.0,1.0,1.0,1.0
acylglycerol,3,molecule_bootstrap,8,0.9907,0.9608,0.9992,0.9551
acylglycerol,3,noise_1pct,8,1.0,1.0,1.0,1.0
acylglycerol,3,noise_5pct,8,0.9997,0.9997,0.9998,0.9997
carboxylic_acid_metabolite,2,seed,8,1.0,1.0,1.0,1.0
carboxylic_acid_metabolite,2,molecule_bootstrap,8,0.8906,0.762,0.972,0.7464
carboxylic_acid_metabolite,2,noise_1pct,8,1.0,1.0,1.0,1.0
carboxylic_acid_metabolite,2,noise_5pct,8,0.9996,0.9995,0.9996,0.9995
chromophore_pigment,2,seed,8,1.0,1.0,1.0,1.0
chromophore_pigment,2,molecule_bootstrap,8,0.9682,0.8949,0.9908,0.8918
chromophore_pigment,2,noise_1pct,8,1.0,1.0,1.0,1.0
chromophore_pigment,2,noise_5pct,8,0.9995,0.9994,0.9995,0.9994
fatty_acid,5,seed,8,1.0,1.0,1.0,1.0
fatty_acid,5,molecule_bootstrap,8,0.9838,0.9711,0.9969,0.9709
fatty_acid,5,noise_1pct,8,1.0,1.0,1.0,1.0
fatty_acid,5,noise_5pct,8,0.9996,0.9996,0.9996,0.9996
free_amino_acid,7,seed,8,1.0,1.0,1.0,1.0
free_amino_acid,7,molecule_bootstrap,8,0.8917,0.8402,0.9598,0.8374
free_amino_acid,7,noise_1pct,8,1.0,1.0,1.0,1.0
free_amino_acid,7,noise_5pct,8,0.9879,0.9229,0.9995,0.9067
mono_oligosaccharide,6,seed,8,1.0,1.0,1.0,1.0
mono_oligosaccharide,6,molecule_bootstrap,8,0.9383,0.8477,0.9753,0.837
mono_oligosaccharide,6,noise_1pct,8,1.0,1.0,1.0,1.0
mono_oligosaccharide,6,noise_5pct,8,0.9996,0.9996,0.9996,0.9996
nucleic_acid_polymer,1,seed,8,1.0,1.0,1.0,1.0
nucleic_acid_polymer,1,molecule_bootstrap,8,0.9878,0.9871,0.9883,0.9871
nucleic_acid_polymer,1,noise_1pct,8,1.0,1.0,1.0,1.0
nucleic_acid_polymer,1,noise_5pct,8,0.9998,0.9997,0.9998,0.9997
peptide_protein,10,seed,8,1.0,1.0,1.0,1.0
peptide_protein,10,molecule_bootstrap,8,0.9429,0.8714,0.9922,0.8628
peptide_protein,10,noise_1pct,8,1.0,1.0,1.0,1.0
peptide_protein,10,noise_5pct,8,0.9994,0.9993,0.9994,0.9993
phosphate_metabolite,1,seed,8,1.0,1.0,1.0,1.0
phosphate_metabolite,1,molecule_bootstrap,8,0.9114,0.8923,0.949,0.8923
phosphate_metabolite,1,noise_1pct,8,1.0,1.0,1.0,1.0
phosphate_metabolite,1,noise_5pct,8,0.9996,0.9995,0.9996,0.9995
phospholipid_sphingolipid,2,seed,8,1.0,1.0,1.0,1.0
phospholipid_sphingolipid,2,molecule_bootstrap,8,0.9637,0.7761,0.9976,0.7293
phospholipid_sphingolipid,2,noise_1pct,8,1.0,1.0,1.0,1.0
phospholipid_sphingolipid,2,noise_5pct,8,0.9995,0.9995,0.9995,0.9995
polysaccharide,2,seed,8,1.0,1.0,1.0,1.0
polysaccharide,2,molecule_bootstrap,8,0.9866,0.9662,0.9982,0.9649
polysaccharide,2,noise_1pct,8,1.0,1.0,1.0,1.0
polysaccharide,2,noise_5pct,8,0.9997,0.9996,0.9997,0.9996
purine,2,seed,8,1.0,1.0,1.0,1.0
purine,2,molecule_bootstrap,8,0.8325,0.7358,0.9521,0.7358
purine,2,noise_1pct,8,1.0,1.0,1.0,1.0
purine,2,noise_5pct,8,0.9996,0.9995,0.9996,0.9995
pyrimidine,1,seed,8,1.0,1.0,1.0,1.0
pyrimidine,1,molecule_bootstrap,8,0.8152,0.8143,0.8169,0.8143
pyrimidine,1,noise_1pct,8,1.0,1.0,1.0,1.0
pyrimidine,1,noise_5pct,8,0.9995,0.9994,0.9995,0.9994
sterol_steroid,3,seed,8,1.0,1.0,1.0,1.0
sterol_steroid,3,molecule_bootstrap,8,0.968,0.9383,0.9864,0.9339
sterol_steroid,3,noise_1pct,8,1.0,1.0,1.0,1.0
sterol_steroid,3,noise_5pct,8,0.9997,0.9997,0.9997,0.9997
sulfur_thiol_cofactor,2,seed,8,1.0,1.0,1.0,1.0
sulfur_thiol_cofactor,2,molecule_bootstrap,8,0.9094,0.6745,0.9914,0.6745
sulfur_thiol_cofactor,2,noise_1pct,8,1.0,1.0,1.0,1.0
sulfur_thiol_cofactor,2,noise_5pct,8,0.9996,0.9996,0.9996,0.9996
