csm_id,index,contributing_lsms,contributing_lsm_weights,member_indices,supporting_classes,supporting_analytes,projected_support,n_lsms,n_classes,n_analytes,dominant_bands,cohesion,uncertainty,mean_edge_weight,min_edge_weight,max_external_weight,min_coassignment,lsm_types,is_singleton,is_anchored,is_cross_class,consensus_operator,status,rejection_reason,bootstrap_confidence,ev_delta_vs_lsms,loco_survival,source_robust,band_assignment,interpretation,diagnostic_status,anchor_justification
csm00,0,acylglycerol.m01;fatty_acid.m01,0.5000;0.5000,1;8,acylglycerol;fatty_acid,arachidonic acid;linoleic acid;oleate;palmitoleic acid;tri-11-eicosenoin;trielaidin;trierucin;trilinolein;trilinolenin;triolein;tripalmitolein;tripetroselinin;vaccenic acid;α-linolenic acid,arachidonic acid;linoleic acid;trilinolenin;α-linolenic acid,2,2,14,866;970;1082;1264;1436;1654,0.9868127992927744,0.015481333754061799,0.8870633257315109,0.8870633257315109,0.5430903257830302,1.0,subfamily,False,False,True,leading_direction,accepted,,1.0,-0.005399057243768768,1.0,False,866: glycerol C–C [acylglycerol] | 970: unassigned | 1082: C–C skeletal (trans) / PO2- symmetric | 1264: amide III / =C–H in-plane bend | 1436: CH2 / CH3 scissoring | 1654: cis C=C [fatty_acid],,diagnostic,
csm01,1,acylglycerol.m00,1.0000,0,acylglycerol,tri-11-eicosenoin;tricaprin;tricaproin;tricaprylin;trielaidin;trierucin;trilaurin;trilinolein;trimyristin;triolein;tripalmitolein;tripetroselinin,,1,1,12,848;1068;1118;1304;1440;1676;1744,0.9999999999983789,0.0,1.0,1.0,0.8465964468949537,1.0,class_shared,True,False,False,leading_direction,singleton,,1.0,0.0,1.0,True,848: tyrosine Fermi doublet / C–C skeletal | 1068: C–C skeletal (trans) / PO2- symmetric | 1118: unassigned | 1304: CH2 twist | 1440: CH2 / CH3 scissoring | 1676: amide I / C=C stretch | 1744: ester C=O [acylglycerol],,diagnostic,
csm02,2,acylglycerol.m02,1.0000,2,acylglycerol,triarachidin;tribehenin;tricaprin;trielaidin;trierucin;trilaurin;trimyristin;tripalmitin;tripetroselinin;tristearin,,1,1,10,892;1062;1130;1180;1248;1298;1368;1442;1742,0.9999999999986933,0.0,1.0,1.0,0.8113938667356665,1.0,subfamily,True,False,False,leading_direction,singleton,,1.0,0.0,1.0,True,892: C–C–N / C–O–C skeletal | 1062: C–C skeletal (trans) / PO2- symmetric | 1130: C–C skeletal (gauche) / C–N stretch | 1180: C–C / C=C conjugated stretch | 1248: amide III / =C–H in-plane bend | 1298: CH2 twist | 1368: unassigned | 1442: CH2 / CH3 scissoring | 1742: ester C=O [acylglycerol],,diagnostic,
csm03,3,carboxylic_acid_metabolite.m00,1.0000,3,carboxylic_acid_metabolite,acetoacetate;citrate;fumarate;malic acid;pyruvate;succinic acid,citrate;fumarate;succinic acid,1,1,6,640;684;784;830;938;1168;1294;1430;1658;1704,0.9999999999982403,0.0,1.0,1.0,0.4351107010834293,1.0,class_shared,True,False,False,leading_direction,singleton,,1.0,0.0,1.0,True,640: C–S stretch / phenyl ring | 684: unassigned | 784: unassigned | 830: tyrosine Fermi doublet / C–C skeletal | 938: C–C backbone stretch | 1168: C–C / C=C conjugated stretch | 1294: CH2 twist | 1430: CH2 / CH3 scissoring | 1658: amide I / C=C stretch | 1704: carboxylic acid C=O [carboxylic_acid_metabolite],,diagnostic,
csm04,4,carboxylic_acid_metabolite.m01,1.0000,4,carboxylic_acid_metabolite,acetoacetate;ascorbate;citrate;fumarate;lactate;malic acid;pyruvate,(+)-lactose;ascorbate;lactate,1,1,7,476;566;628;822;876;1088;1130;1260;1324;1668,0.999999999998068,0.0,1.0,1.0,0.4822240410312186,1.0,class_shared,True,False,False,leading_direction,singleton,,1.0,0.0,1.0,True,476: unassigned | 566: unassigned | 628: C–S stretch / phenyl ring | 822: tyrosine Fermi doublet / C–C skeletal | 876: C–C–N / C–O–C skeletal | 1088: C–C skeletal (trans) / PO2- symmetric | 1130: C–C skeletal (gauche) / C–N stretch | 1260: amide III / =C–H in-plane bend | 1324: unassigned | 1668: amide I / C=C stretch,,diagnostic,
csm05,5,chromophore_pigment.m00,1.0000,5,chromophore_pigment,carotene;riboflavin;β-carotene,carotene;β-carotene,1,1,3,1006;1156;1270;1518,0.9999999999981912,0.0,1.0,1.0,0.31588886689977397,1.0,class_shared,True,False,False,leading_direction,singleton,,1.0,0.0,1.0,True,1006: phenylalanine ring breathing | 1156: C–C conjugated [chromophore_pigment] | 1270: amide III / =C–H in-plane bend | 1518: C=C conjugated [chromophore_pigment],,diagnostic,
csm06,6,chromophore_pigment.m01,1.0000,6,chromophore_pigment,melanin;riboflavin,cytochrome c;hemoglobin;melanin;myoglobin;riboflavin,1,1,2,742;788;1060;1180;1224;1346;1402;1464;1498;1622,0.9999999999980291,0.0,1.0,1.0,0.35620744749092126,1.0,subfamily,True,False,False,leading_direction,singleton,,1.0,0.0,1.0,True,742: unassigned | 788: unassigned | 1060: C–N / C–O stretch | 1180: C–C / C=C conjugated stretch | 1224: amide III / C–O–C asymmetric | 1346: CH deformation / tryptophan | 1402: COO- symmetric stretch | 1464: CH2 / CH3 scissoring | 1498: unassigned | 1622: unassigned,,diagnostic,
csm07,7,fatty_acid.m00,1.0000,7,fatty_acid,14-methylhexadecanoic acid;14-methylpentadecanoic acid;15-methylpalmiticacid;arachidic acid;lauric acid;myristic acid;oleate;palmitic acid;stearate;vaccenic acid,arachidic acid;lauric acid;myristic acid;palmitic acid,1,1,10,892;1064;1128;1176;1296;1422;1438;1464,0.999999999998262,0.0,1.0,1.0,0.8113938667356665,1.0,subfamily,True,False,False,leading_direction,singleton,,1.0,0.0,1.0,True,892: C–C–N / C–O–C skeletal | 1064: C–C trans chain [fatty_acid] | 1128: C–C skeletal (gauche) / C–N stretch | 1176: C–C / C=C conjugated stretch | 1296: CH2 twist | 1422: unassigned | 1438: CH2 / CH3 scissoring | 1464: CH2 / CH3 scissoring,,diagnostic,
csm08,8,fatty_acid.m02,1.0000,9,fatty_acid,13-methylmyristicacid;14-methylhexadecanoic acid;arachidic acid;lauric acid;oleate;palmitic acid;palmitoleic acid;stearate;vaccenic acid,12-methyltetradecanoic acid;13-methylmyristicacid;14-methylhexadecanoic acid;14-methylpentadecanoic acid;15-methylpalmiticacid;cholesteryl stearate;triarachidin;tribehenin;tricaprin;tricaproin;tricaprylin;trielaidin;trierucin;trilaurin;trimyristin;tripalmitin;tristearin,1,1,9,826;912;1070;1110;1146;1304;1376;1452;1474;1658,0.9999999999979103,0.0,1.0,1.0,0.49415254565736283,1.0,subfamily,True,False,False,leading_direction,singleton,,1.0,0.0,1.0,True,826: tyrosine Fermi doublet / C–C skeletal | 912: unassigned | 1070: C–C trans chain [fatty_acid] | 1110: unassigned | 1146: unassigned | 1304: CH2 twist | 1376: unassigned | 1452: CH2 / CH3 scissoring | 1474: unassigned | 1658: cis C=C [fatty_acid],,diagnostic,
csm09,9,fatty_acid.m03,1.0000,10,fatty_acid,12-methyltetradecanoic acid;arachidic acid;elaidic acid;lauric acid;linoleic acid;oleate;palmitic acid;palmitoleic acid;stearate;vaccenic acid;α-linolenic acid,12-methyltetradecanoic acid;14-methylpentadecanoic acid;15-methylpalmiticacid;arachidic acid;ceramide;cholesteryl oleate;cholesteryl palmitate;cholesteryl stearate;elaidic acid;lauric acid;sphingomyelin;stearate;tri-11-eicosenoin;triarachidin;tribehenin;tricaprin;tricaproin;tricaprylin;trielaidin;trierucin;trilaurin;trimyristin;tripalmitin;tripalmitolein;tripetroselinin;tristearin;vaccenic acid,1,1,11,906;1096;1120;1302;1440;1668,0.9999999999980658,0.0,1.0,1.0,0.8465964468949537,1.0,class_shared,True,False,False,leading_direction,singleton,,1.0,0.0,1.0,True,906: unassigned | 1096: C–C skeletal (trans) / PO2- symmetric | 1120: C–C skeletal (gauche) / C–N stretch | 1302: CH2 twist | 1440: CH2 / CH3 scissoring | 1668: cis C=C [fatty_acid],,diagnostic,
