lsm_a,lsm_b,activation_independent,activation_joint_nnls
acylglycerol.m01,fatty_acid.m01,0.9539334795501779,0.23774708570259184
peptide_protein.m03,polysaccharide.m00,0.9750149913337769,0.44227697088982515
acylglycerol.m00,fatty_acid.m03,0.9837814304607475,0.3742042184390536
acylglycerol.m02,fatty_acid.m00,0.9574788273080495,0.28544345275648336
acylglycerol.m00,phospholipid_sphingolipid.m00,0.9718803650492456,0.3656183355051368
acylglycerol.m02,fatty_acid.m04,0.9913288482548446,0.3273828040467122
fatty_acid.m03,sterol_steroid.m00,0.9759612936083526,0.2232193710170184
fatty_acid.m03,phospholipid_sphingolipid.m00,0.9825919810739546,0.39022994600474903
acylglycerol.m00,sterol_steroid.m00,0.9656932567748507,0.07095936659921961
acylglycerol.m02,phospholipid_sphingolipid.m00,0.9482720947616584,0.10330709447362844
purine.m00,sulfur_thiol_cofactor.m00,0.9406753903907605,0.34284128779015927
fatty_acid.m00,phospholipid_sphingolipid.m00,0.913718918652505,0.36182666111874706
acylglycerol.m02,sterol_steroid.m00,0.9172741237257367,0.0
phospholipid_sphingolipid.m00,sterol_steroid.m00,0.9594897196415224,0.0
fatty_acid.m04,phospholipid_sphingolipid.m00,0.9443554547918875,0.13263081036757163
fatty_acid.m04,sterol_steroid.m00,0.9151876586411691,0.0
acylglycerol.m01,phospholipid_sphingolipid.m00,0.8316403394202257,0.3450377423547862
free_amino_acid.m01,mono_oligosaccharide.m03,0.8171435142972145,0.2969334526908707
acylglycerol.m00,fatty_acid.m00,0.9179312780830808,0.14605359171378854
mono_oligosaccharide.m03,phosphate_metabolite.m00,0.8084559336931254,0.1995682674381421
mono_oligosaccharide.m03,polysaccharide.m00,0.927289156131661,0.19943231963136307
acylglycerol.m02,fatty_acid.m03,0.9345408544649532,0.08612201954038802
free_amino_acid.m00,polysaccharide.m00,0.7394021538234062,0.25450735042777806
mono_oligosaccharide.m03,peptide_protein.m03,0.8892694907875176,0.14590676700948096
acylglycerol.m00,free_amino_acid.m06,0.7743364794598192,0.056807080889675156
acylglycerol.m00,fatty_acid.m04,0.9594568619236551,0.07858133437110838
acylglycerol.m00,fatty_acid.m02,0.9436391565423824,0.21968905656908347
fatty_acid.m00,sterol_steroid.m00,0.852518133353048,0.0
carboxylic_acid_metabolite.m01,polysaccharide.m00,0.689573424677789,0.07547256642770876
free_amino_acid.m03,polysaccharide.m01,0.6411575774004618,0.0007484353799640638
free_amino_acid.m00,peptide_protein.m03,0.6935656373986545,0.3023028270114318
free_amino_acid.m01,peptide_protein.m07,0.48539885162276064,0.2329364240125525
nucleic_acid_polymer.m00,polysaccharide.m01,0.485040702498008,0.13717967834965358
peptide_protein.m07,sterol_steroid.m00,0.6730591356777316,0.15782498105282336
free_amino_acid.m06,sterol_steroid.m00,0.7633422870614522,0.0
nucleic_acid_polymer.m00,purine.m00,0.6672728915613166,0.1817753482156254
carboxylic_acid_metabolite.m01,mono_oligosaccharide.m03,0.73475935828877,0.19737859616384174
free_amino_acid.m00,mono_oligosaccharide.m02,0.5916114246285025,0.12167231205831634
carboxylic_acid_metabolite.m01,peptide_protein.m03,0.7239590264258197,0.19059136022230455
phosphate_metabolite.m00,polysaccharide.m00,0.8622538751571011,0.014438152377608664
fatty_acid.m00,free_amino_acid.m06,0.7489538924074028,0.15914356480376116
