index,acylglycerol.m00,acylglycerol.m01,acylglycerol.m02,carboxylic_acid_metabolite.m00,carboxylic_acid_metabolite.m01,chromophore_pigment.m00,chromophore_pigment.m01,fatty_acid.m00,fatty_acid.m01,fatty_acid.m02,fatty_acid.m03,fatty_acid.m04,free_amino_acid.m00,free_amino_acid.m01,free_amino_acid.m02,free_amino_acid.m03,free_amino_acid.m04,free_amino_acid.m05,free_amino_acid.m06,mono_oligosaccharide.m00,mono_oligosaccharide.m01,mono_oligosaccharide.m02,mono_oligosaccharide.m03,mono_oligosaccharide.m04,mono_oligosaccharide.m05,nucleic_acid_polymer.m00,peptide_protein.m00,peptide_protein.m01,peptide_protein.m02,peptide_protein.m03,peptide_protein.m04,peptide_protein.m05,peptide_protein.m06,peptide_protein.m07,peptide_protein.m08,peptide_protein.m09,phosphate_metabolite.m00,phospholipid_sphingolipid.m00,phospholipid_sphingolipid.m01,polysaccharide.m00,polysaccharide.m01,purine.m00,purine.m01,pyrimidine.m00,small_nitrogenous.m00,sterol_steroid.m00,sterol_steroid.m01,sterol_steroid.m02,sulfur_thiol_cofactor.m00,sulfur_thiol_cofactor.m01
acylglycerol.m00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8333333333333334,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.8333333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
acylglycerol.m01,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
acylglycerol.m02,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8333333333333334,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.8333333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
carboxylic_acid_metabolite.m00,0.0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.5,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
carboxylic_acid_metabolite.m01,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.5,1.0,1.0,0.5,0.5,0.6666666666666666,0.0,0.16666666666666666,0.0,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,1.0,0.0,0.6666666666666666,1.0,0.5,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.16666666666666666
chromophore_pigment.m00,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
chromophore_pigment.m01,0.0,0.3333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.5,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.5,0.16666666666666666,0.5
fatty_acid.m00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8333333333333334,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.8333333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fatty_acid.m01,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
fatty_acid.m02,0.8333333333333334,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0
