method,k,n_clusters,silhouette,davies_bouldin,calinski_harabasz,largest_cluster,n_singleton_clusters
average,2,2,0.5506478764091964,3.143823499849637,4.68488164075888,27,0
average,3,3,0.40376261585343753,2.7418204040379615,3.374928163706486,24,0
average,4,4,0.31242341686375974,2.5940395529707727,3.1853842802714407,24,0
average,5,5,0.2976622291711163,2.7552414057949983,3.123208092446767,24,0
average,6,6,0.28977837581217963,2.908764712433404,2.8118846831695534,16,0
average,7,7,0.2888946393214226,2.723357502668644,2.5670657318509873,16,0
average,8,8,0.28317622552331245,2.4346227481780236,2.668872348045402,16,1
average,9,9,0.2595037076406972,2.242051669839462,2.4288554870452157,16,2
average,10,10,0.2485729471124321,2.13997303172797,2.34934077047098,16,2
average,11,11,0.2479498612825402,2.1053764948455878,2.263316890538715,13,2
average,12,12,0.23674624489777688,1.996874523242778,2.1442229645584443,13,3
average,13,13,0.2513200325593501,2.043442911332493,2.1683062123050343,8,3
average,14,14,0.24243371538148467,1.8786626613583888,2.1380801463834698,8,5
average,15,15,0.23394799818531592,1.7950244191536713,2.0813709855982614,8,5
complete,2,2,0.5506478764091964,3.143823499849637,4.68488164075888,27,0
complete,3,3,0.38516295174585813,3.6542787843380755,3.1048690709112465,27,0
complete,4,4,0.2577779159099014,4.098799191897077,2.4837781950898203,14,0
complete,5,5,0.20513603779564946,3.8880337711532924,2.1896435511848704,13,0
complete,6,6,0.23209364242911432,3.4937020347896195,2.192613257545094,13,0
complete,7,7,0.23234183728486762,3.2147872140304967,2.167522111293003,13,0
complete,8,8,0.2582740645604706,3.0459094312880928,2.2569871133859034,10,0
complete,9,9,0.26784287842199134,2.7731652039458297,2.1551705300062056,10,0
complete,10,10,0.2745357417303731,2.668446881628284,2.134748556816886,10,0
complete,11,11,0.2631723829813495,2.490494711481981,1.9924823789191086,10,1
complete,12,12,0.25309732841470267,2.430650332100129,1.9259457604059707,6,1
complete,13,13,0.2413292514161813,2.3037164456600525,1.8398161472684031,6,2
complete,14,14,0.23129353361680263,2.2242086867431863,1.8175841558203274,6,2
complete,15,15,0.23954276398691615,2.0786848208248583,1.807453255378719,6,2
ward,2,2,0.5021567756002612,2.9228380388542785,4.759942810044216,33,0
ward,3,3,0.37434647320604886,3.9701589042524597,3.2051023346233616,19,0
ward,4,4,0.3520708145295076,3.4546398436593146,3.1111359187876846,19,0
ward,5,5,0.28845883527195626,3.1871124505053396,2.6828163582439117,19,0
ward,6,6,0.25948707986869396,3.070275785671196,2.556864051695391,14,0
ward,7,7,0.2637292467461737,2.9326235250530535,2.3775840777656474,14,0
ward,8,8,0.2533679341375296,2.892622479012773,2.3028758346169753,8,0
ward,9,9,0.26644838292428097,2.7741145283760806,2.213492022114719,8,0
ward,10,10,0.27877259698655427,2.6469606122852385,2.1121893037277855,8,0
ward,11,11,0.285465460294936,2.5632352821475255,2.105377840903617,8,0
ward,12,12,0.28271036265898325,2.428402582853971,2.0304105717733996,6,0
ward,13,13,0.2840930610153634,2.297275518041249,2.1187625731694903,6,1
ward,14,14,0.27318957380036485,2.18664969875882,2.03052465152071,6,2
ward,15,15,0.27069241064951816,2.115937394977556,1.9987111789449543,6,2
single,2,2,0.35177094440181356,2.578284984622888,2.2327664119016912,45,0
single,3,3,0.06605800751910892,1.9587160571708246,2.001429343398697,44,1
single,4,4,-0.10739051323085733,1.6758126820554047,1.8004347800133182,43,2
single,5,5,-0.13150811798744286,1.5007822441306493,1.6998713737626676,42,3
single,6,6,-0.13250188853467454,1.3992928856357871,1.6075657215899424,41,4
single,7,7,-0.1014031734012591,1.4409610680944565,1.6750809656544525,38,4
single,8,8,0.1152366582539685,1.4420641392669782,2.467131838198604,30,4
single,9,9,0.21830662458853145,1.800334592086352,2.406089324446635,24,4
single,10,10,0.18923808111438883,1.6939265969032746,2.2946915634583847,23,5
single,11,11,0.15679865573459134,1.6071167501041017,2.214679000227167,23,6
single,12,12,0.1448774361555249,1.481170579809377,2.162559857598703,23,7
single,13,13,0.14917253266597197,1.4115989409643355,2.163351108665782,22,8
single,14,14,0.14610533619161176,1.2442294355743682,2.1328809762150924,22,9
single,15,15,0.14547505370184588,1.376805404815233,2.074778553666109,19,9
spectral,2,2,0.5503214825019147,2.973906590113437,5.087704002928451,29,0
spectral,3,3,0.3336277578368045,3.2560086635817758,2.8029168169734526,26,0
spectral,4,4,0.31218096998311623,3.4573753738338193,3.151791580618498,19,0
spectral,5,5,0.27861628900203794,2.83459001267693,3.0624092258322366,17,0
spectral,6,6,0.2963602671217524,2.815703160346796,2.907963711727956,14,0
spectral,7,7,0.2596502018582967,2.918375515764159,2.7931710352221777,9,0
spectral,8,8,0.23467037199307306,3.026038756540615,2.3653319034491136,10,0
spectral,9,9,0.23290903543314564,2.7191455187964917,2.3306174331249423,8,0
spectral,10,10,0.22812207554778074,2.67446308758906,2.1778902994495857,8,0
spectral,11,11,0.23892451281496158,2.5079924923055144,2.105630504311164,6,0
spectral,12,12,0.21148481277565243,2.281345894474275,2.254368332918454,7,0
spectral,13,13,0.2000569803489797,2.199538861593455,2.1532273311819345,7,1
spectral,14,14,0.16917934448008293,1.9070089638728196,2.3566327091518753,7,1
spectral,15,15,0.1545895269082659,1.9171552551154423,2.1764754648588416,7,2
