motif,rank,neighbour,distance,similarity,motif_class,neighbour_class,cross_class,shared_bands_cm1,n_shared_bands,shared_molecules,n_shared_molecules,edge_weight,null_p,band_overlap,relationship_tier
acylglycerol.m00,1,fatty_acid.m03,0.024354656245428815,0.9756453437545712,acylglycerol,fatty_acid,True,1118;1304;1440;1676,4,,0,0.8465964468949537,0.0,0.9210831241844689,shared_substructure
acylglycerol.m00,2,phospholipid_sphingolipid.m00,0.029942312470570363,0.9700576875294297,acylglycerol,phospholipid_sphingolipid,True,1068;1118;1304;1440;1744,5,,0,0.7805130026402544,1.3605442176870749e-05,0.6641540177538253,shared_substructure
acylglycerol.m00,3,peptide_protein.m04,0.03314692994406578,0.9668530700559342,acylglycerol,peptide_protein,True,848;1676,2,,0,0.21411359342495448,0.24164625850340135,0.04977791608307688,generic_raman_overlap
acylglycerol.m00,4,acylglycerol.m02,0.03895728357220407,0.9610427164277959,acylglycerol,acylglycerol,False,1068;1304;1440;1744,4,tricaprin;trielaidin;trierucin;trilaurin;trimyristin;tripetroselinin,6,0.35986971233261056,0.02417687074829932,0.5331815518572912,shared_substructure
acylglycerol.m00,5,sterol_steroid.m00,0.042622392138406545,0.9573776078615934,acylglycerol,sterol_steroid,True,1304;1440;1676,3,,0,0.7462338715364921,2.7210884353741498e-05,0.69646778180665,shared_substructure
acylglycerol.m01,1,fatty_acid.m01,0.01454627294973511,0.9854537270502649,acylglycerol,fatty_acid,True,866;970;1082;1266;1438;1656,6,,0,0.8870633257315109,0.0,0.7839347305097684,exact_equivalence
acylglycerol.m01,2,peptide_protein.m00,0.01811688870170048,0.9818831112982995,acylglycerol,peptide_protein,True,866,1,,0,0.07947210385059839,0.7728299319727892,0.0003153523066416985,generic_raman_overlap
acylglycerol.m01,3,chromophore_pigment.m01,0.038507092916690196,0.9614929070833098,acylglycerol,chromophore_pigment,True,,0,,0,0.04660720786136413,0.9152653061224489,0.005370899825534649,generic_raman_overlap
acylglycerol.m01,4,peptide_protein.m09,0.03935436737819511,0.9606456326218049,acylglycerol,peptide_protein,True,1300;1438,2,,0,0.04496126154853257,0.9216462585034013,0.008621383457805139,generic_raman_overlap
acylglycerol.m01,5,peptide_protein.m08,0.059820865668501144,0.9401791343314989,acylglycerol,peptide_protein,True,1438;1656,2,,0,0.12900737968212886,0.5620136054421768,0.006652927721576509,generic_raman_overlap
acylglycerol.m02,1,phospholipid_sphingolipid.m00,0.02733117375347451,0.9726688262465255,acylglycerol,phospholipid_sphingolipid,True,1062;1130;1298;1442;1742,5,,0,0.7300131990618856,5.4421768707482996e-05,0.6681885417438153,shared_substructure
