representation,pc,explained_variance_ratio,cumulative,loading_stability,top_bands_cm1,extreme_low,extreme_high
spectral_profile,1,0.1468295806308068,0.1468295806308068,0.8181943484821327,+1442;+1444;+1440;+1446;+1438;+1448,peptide_protein.m01,fatty_acid.m03
spectral_profile,2,0.08387727452009087,0.23070685515089767,0.5205018374201374,+1656;+1654;+1658;+1652;+1660;+1650,fatty_acid.m00,fatty_acid.m01
spectral_profile,3,0.06196750102432747,0.29267435617522514,0.3220644409989852,+1656;+1658;+1654;−1584;−1586;+846,peptide_protein.m09,mono_oligosaccharide.m01
spectral_profile,4,0.06057666830542344,0.3532510244806486,0.3080163907490936,+1654;+1656;−676;+1652;−674;−678,small_nitrogenous.m00,carboxylic_acid_metabolite.m01
spectral_profile,5,0.050357715266776286,0.4036087397474249,0.2845055820087615,+1426;+1428;+1424;+1430;+1422;+1432,mono_oligosaccharide.m01,carboxylic_acid_metabolite.m00
spectral_profile,6,0.04679702878467228,0.4504057685320972,0.2780224803755234,+850;+852;+848;+854;+846;+856,fatty_acid.m01,free_amino_acid.m01
band_family,1,0.30470784329554695,0.30470784329554695,0.8988582738892463,,peptide_protein.m01,fatty_acid.m03
band_family,2,0.1441015677890567,0.44880941108460365,0.682956010882984,,mono_oligosaccharide.m05,fatty_acid.m01
band_family,3,0.10034107130837175,0.5491504823929754,0.5640784828378528,,peptide_protein.m09,peptide_protein.m02
band_family,4,0.0857887512340273,0.6349392336270027,0.32368001026969045,,mono_oligosaccharide.m05,chromophore_pigment.m00
band_family,5,0.07763100333962263,0.7125702369666252,0.4161473579079365,,fatty_acid.m01,free_amino_acid.m02
band_family,6,0.06346211271532312,0.7760323496819483,0.36199509410975683,,small_nitrogenous.m00,sterol_steroid.m01
activation,1,0.3930530079622417,0.3930530079622417,0.9633609445671574,,chromophore_pigment.m00,acylglycerol.m02
activation,2,0.14326805073080953,0.5363210586930512,0.8511332334587125,,fatty_acid.m00,fatty_acid.m01
activation,3,0.07888161332929218,0.6152026720223435,0.5197688273038216,,mono_oligosaccharide.m01,chromophore_pigment.m00
activation,4,0.06634682246983489,0.6815494944921784,0.3744406026882,,chromophore_pigment.m00,peptide_protein.m01
activation,5,0.05024847079548968,0.731797965287668,0.39070224956476435,,pyrimidine.m00,free_amino_acid.m04
activation,6,0.04177967516533259,0.7735776404530006,0.3659517200868247,,mono_oligosaccharide.m01,free_amino_acid.m02
multiview_concat,1,0.16223982725222255,0.16223982725222255,0.8298381962067413,,free_amino_acid.m02,phospholipid_sphingolipid.m00
multiview_concat,2,0.09155320961479588,0.25379303686701843,0.582010378051605,,fatty_acid.m00,peptide_protein.m09
multiview_concat,3,0.06492010544188061,0.318713142308899,0.48554055439406585,,carboxylic_acid_metabolite.m00,peptide_protein.m03
multiview_concat,4,0.05579371547562025,0.37450685778451925,0.3934888398540271,,chromophore_pigment.m01,free_amino_acid.m04
multiview_concat,5,0.051456447832227366,0.4259633056167466,0.34684857193482005,,chromophore_pigment.m00,peptide_protein.m05
multiview_concat,6,0.04113886770326195,0.4671021733200086,0.31932627045333756,,fatty_acid.m01,free_amino_acid.m00
