model,K,information_retained,max_theme_share,effective_K,max_theme_ubiquity,unassigned_fraction,degenerate,themes_distinct,n_duplicate_theme_pairs,heldout_reconstruction,stability,spectral_coherence,compression,calibration_ece,membership_sparsity,n_admissible_themes,chemically_admissible
archetypal,2,0.4101624219279374,0.5473393413991984,1.9910426251313547,0.7142857142857143,0.3673469387755102,True,True,0,0.4154594427078404,0.7479818906517623,0.6326541787759195,0.9591836734693877,0.4516500077264936,0.9999999999989999,2,True
archetypal,3,0.4795712566287146,0.3742884147128458,2.988663395756618,0.5510204081632653,0.2653061224489796,False,True,0,0.44373987045549124,0.8602643484839366,0.6662132916522756,0.9387755102040817,0.35889945195183853,0.9444709322858644,3,True
archetypal,4,0.5051300773407208,0.28119724812328817,3.971647394017936,0.4489795918367347,0.16326530612244897,False,True,0,0.44777300069672704,0.7908422516337335,0.672079799455723,0.9183673469387755,0.3385926345797711,0.8972935065663896,3,False
archetypal,5,0.518094448985037,0.24242392111333294,4.931789124338078,0.46938775510204084,0.1836734693877551,False,True,0,0.46262186497866936,0.7415818105579692,0.681679453047158,0.8979591836734694,0.32010891736335534,0.8697820054872982,5,True
archetypal,6,0.549065565852134,0.19864916389298612,5.951572089820037,0.3673469387755102,0.08163265306122448,False,True,0,0.4649848243689697,0.7242071955196133,0.6965955746335788,0.8775510204081632,0.33015353837698397,0.8430165189792835,5,False
archetypal,7,0.5608521754531292,0.17126569496189353,6.940028792723284,0.3877551020408163,0.02040816326530612,False,False,1,0.47820573597842514,0.7785006614033704,0.7022883858451988,0.8571428571428572,0.32149718256382764,0.8178176491385674,6,False
archetypal,8,0.5830317812077634,0.16453471898087219,7.903300336373405,0.30612244897959184,0.04081632653061224,False,False,2,0.48541402255606536,0.8044059359602337,0.7107240474161571,0.8367346938775511,0.3149667262210138,0.8068347125325451,7,False
archetypal,9,0.5989138771769424,0.16343222849537542,8.827194725696716,0.24489795918367346,0.0,False,False,3,0.49642299810123147,0.8878921638851711,0.7151433873652369,0.8163265306122449,0.2974762814643324,0.7774476595881494,9,True
archetypal,10,0.6060325307791825,0.15822801491213123,9.731303648211238,0.24489795918367346,0.0,False,False,3,0.502354755012213,0.9018252247898647,0.7183138652913622,0.7959183673469388,0.31478416767466194,0.7517430819988651,10,True
archetypal,11,0.610813937440411,0.1497712034114399,10.646819731383928,0.24489795918367346,0.0,False,False,6,0.5043084382596972,0.8740357064050266,0.7220459461405456,0.7755102040816326,0.32201867454290223,0.7318091861539082,10,False
archetypal,12,0.6183939132765988,0.14567641517451155,11.577538299291726,0.24489795918367346,0.02040816326530612,False,False,5,0.5077517692411873,0.8612049841251105,0.7250005581920198,0.7551020408163265,0.3024955372532253,0.7167624079754911,12,True
archetypal,13,0.6282996493432235,0.14187127365073196,12.446593900597932,0.22448979591836735,0.04081632653061224,False,False,6,0.5079179394432001,0.8848552371840132,0.7281759392992188,0.7346938775510203,0.28952058045068096,0.7064360072352173,12,False
archetypal,14,0.6263774242526792,0.1340771796427417,13.22856085495199,0.20408163265306123,0.02040816326530612,False,False,9,0.5110370026040134,0.8440408481723823,0.7304791381395183,0.7142857142857143,0.30781210647174767,0.6804842850511789,14,True
archetypal,15,0.6390257583838418,0.13450263213155397,14.305096329618792,0.22448979591836735,0.04081632653061224,False,False,8,0.5111736938625038,0.8737407630879996,0.736458542959857,0.6938775510204082,0.3087125354914406,0.6733899396144755,14,False
sparse_nmf,2,2.042810365310288e-14,0.0,1.0,0.0,0.4489795918367347,True,True,0,0.39568309328476414,0.0,0.0,0.9591836734693877,0.38152481508398967,0.0,2,True
sparse_nmf,3,2.042810365310288e-14,0.0,1.0,0.0,0.4489795918367347,True,True,0,0.40681314492277637,0.0,0.0,0.9387755102040817,0.38152481508398967,0.0,3,True
sparse_nmf,4,2.042810365310288e-14,0.0,1.0,0.0,0.4489795918367347,True,True,0,0.4137798170636728,0.0,0.0,0.9183673469387755,0.38152481508398967,0.0,4,True
sparse_nmf,5,2.042810365310288e-14,0.0,1.0,0.0,0.4489795918367347,True,True,0,0.41843355898737195,0.0,0.0,0.8979591836734694,0.38152481508392905,0.0,4,False
sparse_nmf,6,2.042810365310288e-14,0.0,1.0,0.0,0.4489795918367347,True,True,0,0.4297225129646577,0.0,0.0,0.8775510204081632,0.3815248150839195,0.0,5,False
sparse_nmf,7,2.042810365310288e-14,0.0,1.0,0.0,0.4489795918367347,True,False,1,0.4323317955362496,0.0,0.0,0.8571428571428572,0.38152481508398206,0.0,6,False
sparse_nmf,8,2.042810365310288e-14,0.0,1.0,0.0,0.4489795918367347,True,False,2,0.44248008176145603,0.0,0.0,0.8367346938775511,0.3815248150839777,0.0,7,False
sparse_nmf,9,2.042810365310288e-14,0.0,1.0,0.0,0.4489795918367347,True,False,3,0.44414182019865817,0.0,0.0,0.8163265306122449,0.3815248150839716,0.0,8,False
sparse_nmf,10,2.042810365310288e-14,0.0,1.0,0.0,0.4489795918367347,True,False,5,0.44677992378242565,0.0,0.0,0.7959183673469388,0.3815248150839835,0.0,9,False
sparse_nmf,11,2.042810365310288e-14,0.0,1.0,0.0,0.4489795918367347,True,False,5,0.44971762949896094,0.0,0.0,0.7755102040816326,0.3815248150839863,0.0,9,False
sparse_nmf,12,2.042810365310288e-14,0.0,1.0,0.0,0.4489795918367347,True,False,6,0.4525653371353567,0.0,0.0,0.7551020408163265,0.3815248150839875,0.0,11,False
sparse_nmf,13,2.042810365310288e-14,0.0,1.0,0.0,0.4489795918367347,True,False,6,0.45480427259583694,0.0,0.0,0.7346938775510203,0.38152481508398894,0.0,11,False
sparse_nmf,14,2.042810365310288e-14,0.0,1.0,0.0,0.4489795918367347,True,False,9,0.4566762158056667,0.0,0.0,0.7142857142857143,0.3815248150839893,0.0,13,False
sparse_nmf,15,2.042810365310288e-14,0.0,1.0,0.0,0.4489795918367347,True,False,10,0.46022322861608733,0.0,0.0,0.6938775510204082,0.381524815083989,0.0,14,False
fuzzy_cmeans,2,0.4266025589238547,0.5589775663118556,1.9861026508566386,0.6326530612244898,0.3469387755102041,True,True,0,0.4157467214330837,0.9995388184880066,0.6439838166494483,0.9591836734693877,0.47876900003458245,0.9999999999999996,1,False
fuzzy_cmeans,3,0.4407514224577127,0.39741347354383755,2.9721110955713477,0.4897959183673469,0.2857142857142857,False,True,0,0.42533636837862704,0.9888495285491853,0.6487079478049139,0.9387755102040817,0.37168374981560015,0.9725859555489123,1,False
fuzzy_cmeans,4,0.4707327715487273,0.32395482296874556,3.861461538484742,0.46938775510204084,0.24489795918367346,False,True,0,0.4425808432603646,0.9115967722991839,0.6657091736153649,0.9183673469387755,0.2910458771660711,0.9425938402345225,3,False
fuzzy_cmeans,5,0.48772022015999894,0.26399700325787623,4.858866357602177,0.5102040816326531,0.22448979591836735,False,True,0,0.45516353294016687,0.9331257698259255,0.6705627967033319,0.8979591836734694,0.21698851683424258,0.9110544811968849,4,False
fuzzy_cmeans,6,0.5041144807271507,0.21630237936906457,5.8688656650292295,0.42857142857142855,0.24489795918367346,False,True,0,0.4673881133918753,0.9699807244699937,0.6726144665301442,0.8775510204081632,0.17482245327281679,0.8696407077428633,5,False
fuzzy_cmeans,7,0.5131971763111877,0.18047091647010532,6.877865550462801,0.30612244897959184,0.22448979591836735,False,False,1,0.4766131020655444,0.8721634405494062,0.6733611956644932,0.8571428571428572,0.1438701064267358,0.8279288496183292,5,False
fuzzy_cmeans,8,0.5236515571092746,0.16149220300409015,7.79286785449176,0.32653061224489793,0.14285714285714285,False,False,2,0.48314904784717944,0.9061085897612414,0.6839646675105744,0.8367346938775511,0.13652585098601966,0.8321459192962067,7,False
fuzzy_cmeans,9,0.5358149012998041,0.15790369090177786,8.689316960908025,0.3469387755102041,0.12244897959183673,False,False,2,0.48801113914530286,0.8436769182722922,0.6936990665861712,0.8163265306122449,0.12988443018561333,0.8208363119489855,9,True
fuzzy_cmeans,10,0.5498242854927562,0.14537043479148992,9.762132326837538,0.2857142857142857,0.22448979591836735,False,False,5,0.4888396926717478,0.8640947337016719,0.6957987537670608,0.7959183673469388,0.10228311327208697,0.7972121647560944,9,False
fuzzy_cmeans,11,0.5588502511711092,0.12367578900704225,10.787793557345791,0.22448979591836735,0.16326530612244897,False,False,5,0.500475711624792,0.8402102907987898,0.6974737815824491,0.7755102040816326,0.08610444372052017,0.7787605481014347,9,False
fuzzy_cmeans,12,0.5732859389638479,0.10441479110414995,11.788532529029172,0.1836734693877551,0.20408163265306123,False,False,7,0.516133823216297,0.8213745101864633,0.701912552412958,0.7551020408163265,0.10937054649133837,0.7664960859010609,10,False
fuzzy_cmeans,13,0.5782928114158316,0.11696083164270815,12.659025200248777,0.1836734693877551,0.20408163265306123,False,False,4,0.5068841007711864,0.8050852391709075,0.7072839664531917,0.7346938775510203,0.08925397255849513,0.7564834396270734,12,False
fuzzy_cmeans,14,0.6025454202682277,0.10342921239233661,13.569141614626796,0.20408163265306123,0.22448979591836735,False,False,6,0.5125445635664138,0.7781066702783295,0.7241798321542369,0.7142857142857143,0.06955287778680994,0.7447310046468097,11,False
fuzzy_cmeans,15,0.6058193468332165,0.09600435405028956,14.710428348385273,0.16326530612244897,0.20408163265306123,False,False,7,0.5255651536736373,0.8381914986336758,0.7154831712587694,0.6938775510204082,0.062329720349839496,0.7383058188757223,14,False
diffusion_gmm,2,0.40573732976195587,0.6728149764511479,1.8816840849492016,0.7142857142857143,0.3469387755102041,True,True,0,0.3998630859331791,0.9378166698474,0.6350165176480385,0.9591836734693877,0.5533004044313541,0.9999999999989999,1,False
diffusion_gmm,3,0.43957756162923234,0.4321651238335754,2.8836465527028534,0.4489795918367347,0.30612244897959184,False,True,0,0.4188293450326698,0.6848625729936214,0.6545201856318487,0.9387755102040817,0.5150244491940789,0.9999982869904496,3,True
diffusion_gmm,4,0.4627645110844498,0.3711439044291595,3.5503994700522896,0.3877551020408163,0.22448979591836735,False,True,0,0.4423271221234278,0.8564866861129073,0.6855558302084745,0.9183673469387755,0.48932076142547476,0.9999999988821581,4,True
diffusion_gmm,5,0.47577942946922225,0.3137634672944344,4.6196941475886595,0.32653061224489793,0.22448979591836735,False,False,1,0.45592495126368415,0.7608578071251811,0.6997144355294406,0.8979591836734694,0.4917198833173576,0.9999999998917402,5,True
diffusion_gmm,6,0.4937316548618662,0.24292335263641787,5.615699078239048,0.24489795918367346,0.22448979591836735,False,False,1,0.463302843109216,0.8801603394462264,0.7079218249057654,0.8775510204081632,0.4914887273302092,0.9999999917472238,5,False
diffusion_gmm,7,0.515923796575481,0.24292618923202247,6.508976315879788,0.24489795918367346,0.1836734693877551,False,True,0,0.4815452574726648,0.8700925495425254,0.7174308546276427,0.8571428571428572,0.4694326192396531,0.9999999919341742,4,False
diffusion_gmm,8,0.5318154600639152,0.20303273188169804,7.353287784079372,0.20408163265306123,0.16326530612244897,False,False,1,0.4721844074495083,0.8995058919609145,0.7300052518733171,0.8367346938775511,0.45537268201569914,0.9999999914457776,5,False
diffusion_gmm,9,0.5553678119726271,0.20327137702115908,8.186499618052265,0.20408163265306123,0.12244897959183673,False,False,3,0.4924104635038454,0.8643079780486697,0.7524675485203256,0.8163265306122449,0.42821475127408226,0.9999998296109518,7,False
diffusion_gmm,10,0.5591950508354151,0.20308544243869606,8.517094218668031,0.20408163265306123,0.16326530612244897,False,False,3,0.5012563757043209,0.8166337532261866,0.7829569352520884,0.7959183673469388,0.42834373813334536,0.9999999973650375,7,False
diffusion_gmm,11,0.572523826309145,0.20308329993726643,9.395827032211457,0.20408163265306123,0.14285714285714285,False,False,5,0.5047883368856094,0.8715614446278707,0.7848204976279884,0.7755102040816326,0.4158975701821356,0.9999999888547207,9,False
diffusion_gmm,12,0.5924969042251668,0.2032902523037037,10.345006513276216,0.20408163265306123,0.12244897959183673,False,False,5,0.5135153840569447,0.8699864812278304,0.7953721293972094,0.7551020408163265,0.3975069558034839,0.9999999995382912,9,False
diffusion_gmm,13,0.6101960936995463,0.19626260250830377,11.089134516473743,0.20408163265306123,0.10204081632653061,False,False,6,0.5188882187766739,0.8791270293714618,0.8059400740682553,0.7346938775510203,0.37606592200999284,0.9999999978418743,11,False
diffusion_gmm,14,0.620344163259664,0.1429737842222434,12.65835199647655,0.14285714285714285,0.061224489795918366,False,False,8,0.5196024812610147,0.8603452661109801,0.8049808974463912,0.7142857142857143,0.3697279311461793,0.9999991217166135,12,False
diffusion_gmm,15,0.6371958198534595,0.1179231383517498,13.78895434268489,0.12244897959183673,0.02040816326530612,False,False,11,0.5273589767485463,0.8397052173199149,0.8082638589484847,0.6938775510204082,0.35469268515112373,0.9999998363189347,11,False
graph_regularised_nmf,2,0.0,0.8123210980324905,1.6206702378395041,1.0,0.5102040816326531,True,True,0,0.42888274183004127,0.995980413294315,0.6710849936921693,0.9591836734693877,0.47045754386541666,0.9999999999933918,1,False
graph_regularised_nmf,3,0.0,0.7744406729122817,1.9941018313638712,1.0,0.6530612244897959,True,True,0,0.455466186858936,0.8991044732472796,0.67533109610969,0.9387755102040817,0.4975025306125619,0.9558734423191295,2,False
graph_regularised_nmf,4,0.49662873434972543,0.6290495146901328,2.682680725919145,1.0,1.0,True,True,0,0.46487128273222844,0.9637727371385229,0.6471501461851572,0.9183673469387755,0.5329826997611716,0.879670994348732,4,True
graph_regularised_nmf,5,0.33396822364741985,0.3952900721768225,3.5277847401444657,1.0,0.9591836734693877,True,True,0,0.4710321426794269,0.9264645319332203,0.6343730910833812,0.8979591836734694,0.3038252440456771,0.772549881981485,5,True
graph_regularised_nmf,6,0.22750099965596415,0.27495399520493036,4.559358510834839,1.0,1.0,True,False,1,0.47648824528562717,0.9537938771476902,0.6292043398817941,0.8775510204081632,0.1880309038989179,0.5245809848125105,6,True
graph_regularised_nmf,7,0.23839233162878115,0.26408461157300944,4.429945106692276,1.0,0.9795918367346939,True,False,2,0.47777391394104496,0.9790692706639038,0.6369634764644504,0.8571428571428572,0.18414642201848114,0.510676694856985,7,True
graph_regularised_nmf,8,0.170418795593695,0.19399931442637933,6.645745956488682,1.0,0.9795918367346939,True,False,2,0.48404132617122453,0.9653873736325994,0.6224234134193851,0.8367346938775511,0.13594226352933528,0.3772445435695524,8,True
graph_regularised_nmf,9,0.1524813091203162,0.17391433026041553,7.251915428361165,1.0,1.0,True,False,4,0.4904593508128815,0.9876302223812178,0.6239973113630681,0.8163265306122449,0.11825006229515929,0.3326906396202368,9,True
graph_regularised_nmf,10,0.12403369489677418,0.14683048657901146,8.514788663653228,0.14285714285714285,0.9591836734693877,True,False,2,0.4850438693879731,0.980259040353645,0.6193563236323,0.7959183673469388,0.10252144508069647,0.2919409336005012,10,True
graph_regularised_nmf,11,0.13130227292517627,0.13727451241043565,8.976342674696486,0.0,1.0,True,False,8,0.49399827057506507,0.982462350211497,0.6213207710629312,0.7755102040816326,0.08060652944117333,0.26136555686894497,11,True
graph_regularised_nmf,12,0.10873320958450372,0.11528023592211963,10.4777339766692,0.0,0.9795918367346939,True,False,7,0.4886371161211204,0.9870889727254827,0.6174522070774362,0.7551020408163265,0.04223536433533757,0.22538617876126407,12,True
graph_regularised_nmf,13,0.09522503966367968,0.10012731563031893,11.436374909520252,0.0,0.9183673469387755,True,False,8,0.48719095989571926,0.9865263708611575,0.6169533013688187,0.7346938775510203,0.07341135223092386,0.2001820725602805,11,False
graph_regularised_nmf,14,0.09129253399000958,0.09872228438818374,12.714632419243804,0.0,0.9795918367346939,True,False,12,0.4865592413847211,0.9855713025714558,0.6144753957427131,0.7142857142857143,0.06986729317085762,0.1881865710132595,14,True
graph_regularised_nmf,15,0.08307342640479021,0.08733065629222074,13.638638658474619,0.0,1.0,True,False,11,0.4950021633334677,0.9857941374763267,0.6140708354184219,0.6938775510204082,0.021416645594688935,0.174437994557775,15,True
