spectrum,canonical_id,fine_class,fold,explained_variance,residual,residual_fraction,component_sparsity,n_active_csms,activation_entropy
0,(+)-arabinose,mono_oligosaccharide,0,0.9539469638636955,0.21459971140789208,0.046053036136304515,0.9657229496798265,12,0.20109363273544073
1,(+)-fucose,mono_oligosaccharide,1,0.6440596865172312,0.5966073360956307,0.35594031348276883,0.8551763393683468,10,0.4339274087002335
2,(+)-galactosamine,mono_oligosaccharide,0,0.9037955244536828,0.3101684631718921,0.09620447554631717,0.9899468081142205,4,0.06866136215397771
3,(+)-galactose,mono_oligosaccharide,3,0.5240926947578339,0.6898603519862857,0.475907305242166,0.7070552472069851,16,0.5942841117535089
4,(+)-galactose,mono_oligosaccharide,3,0.9109063152114076,0.2984856525675588,0.08909368478859232,0.9370171241879565,11,0.2910807329794567
5,(+)-galactose,mono_oligosaccharide,3,0.9134662138889942,0.2941662559014756,0.08653378611100587,0.9427178766675056,10,0.27463425899971644
6,(+)-galactose,mono_oligosaccharide,3,0.9104374662850059,0.29927000136178644,0.0895625337149941,0.9399780858156037,11,0.2834840072062739
7,(+)-glucose,mono_oligosaccharide,0,0.8590698753035376,0.375406612483855,0.14093012469646235,0.9725602821478702,3,0.11260800381950109
8,(+)-glucose,mono_oligosaccharide,0,0.8928122499919436,0.32739540315673876,0.10718775000805635,0.9292395827925326,5,0.27137123884847447
9,(+)-glucose,mono_oligosaccharide,0,0.928873238912961,0.266696008757368,0.07112676108703896,0.9444828537660012,7,0.2326579716457305
10,(+)-glucose,mono_oligosaccharide,0,0.9312009797011267,0.262295673427798,0.06879902029887328,0.9393976369814343,7,0.24903768971510687
11,(+)-glucose,mono_oligosaccharide,0,0.920798344407839,0.2814278870194639,0.07920165559216097,0.9320513142986494,8,0.26763562470436264
12,(+)-glucose,mono_oligosaccharide,0,0.7850314835918838,0.4636469739018375,0.2149685164081162,0.8385920562884055,7,0.38242393012312836
13,(+)-lactose,mono_oligosaccharide,2,0.6888819735745403,0.5577795500247126,0.3111180264254597,0.8520532487451031,6,0.3752608448340898
14,(+)-lactose,mono_oligosaccharide,2,0.7650084931592516,0.48475922563782475,0.23499150684074843,0.8180943631222772,11,0.44598387467258066
15,(+)-maltose,mono_oligosaccharide,1,0.7521164711794937,0.4978790303083213,0.24788352882050638,0.8546171104661441,9,0.4094372863726843
16,(+)-mannose,mono_oligosaccharide,4,0.640051861655619,0.5999567803973391,0.359948138344381,0.7197436149817771,12,0.5460474822723292
17,(+)-mannose,mono_oligosaccharide,4,0.7855337901843318,0.46310496630448994,0.21446620981566827,0.6276289894947068,18,0.6468676118907623
18,(+)-mannose,mono_oligosaccharide,4,0.7637376166757108,0.4860682908033865,0.2362623833242892,0.634772024448538,17,0.6493995065541387
19,(+)-mannose,mono_oligosaccharide,4,0.7811628902377319,0.4678002883309148,0.21883710976226814,0.629929866487647,18,0.6502159060594807
20,(+)-raffinose pentahydrate,mono_oligosaccharide,2,0.7099607984965748,0.538552877165943,0.2900392015034252,0.7446943423550916,13,0.5216965758820107
21,(+)-sucrose,mono_oligosaccharide,4,0.743253163929676,0.5067019203344121,0.25674683607032395,0.7681122119373792,13,0.5133875267636551
22,(+)-trehalose,mono_oligosaccharide,4,0.7887380043145851,0.4596324571716256,0.21126199568541498,0.8405907350103241,11,0.42858097571590226
23,(+)-xylose,mono_oligosaccharide,4,0.9022444143823153,0.3126588965914492,0.09775558561768476,0.9814103310388775,3,0.10308242591418038
24,(+)-xylose,mono_oligosaccharide,4,0.9111882048037532,0.2980130789014732,0.08881179519624688,0.9605449454529197,10,0.21517336074490676
25,(-)-arabinose,mono_oligosaccharide,0,0.934717771380306,0.25550387202498376,0.06528222861969399,0.9823506693612407,5,0.10914913306123597
26,(-)-fructose,mono_oligosaccharide,2,0.6452860105600604,0.5955787012984046,0.3547139894399396,0.9281421486678045,5,0.24675701649325815
27,(-)-fructose,mono_oligosaccharide,2,0.7583168098791038,0.4916128457649759,0.24168319012089629,0.9151142131544409,8,0.2843180258236297
28,(-)-fructose,mono_oligosaccharide,2,0.6713446571905164,0.5732846961238476,0.32865534280948366,0.9178474661227767,5,0.2709461698295105
29,(-)-fructose,mono_oligosaccharide,2,0.673691565614525,0.5712341327212522,0.326308434385475,0.9187315165886537,5,0.26880633535645254
30,(-)-fructose,mono_oligosaccharide,2,0.6744045412076003,0.5706097254627941,0.32559545879239976,0.9185033673711489,5,0.26879921976188936
31,(-)-ribose,mono_oligosaccharide,1,0.8076749838451056,0.43854876143376204,0.1923250161548944,0.8500783583186597,8,0.38524846131337576
32,12-methyltetradecanoic acid,fatty_acid,2,0.9286333174533716,0.2671454333255571,0.07136668254662833,0.9299968344758468,9,0.2702407891702934
33,13-methylmyristicacid,fatty_acid,4,0.9284132939349334,0.26755692116844615,0.07158670606506655,0.9377225935479944,5,0.21893047415021946
34,14-methylhexadecanoic acid,fatty_acid,2,0.9467113794280145,0.23084328140978827,0.05328862057198542,0.9586329895276532,7,0.20173654453076187
35,14-methylpentadecanoic acid,fatty_acid,4,0.9825398979186553,0.1321366795456969,0.01746010208134474,0.9732642412392437,6,0.14028103000297745
36,15-methylpalmiticacid,fatty_acid,0,0.9800393051462004,0.1412823232178022,0.019960694853799563,0.9640388897033568,8,0.15971104003921283
37,2-deoxy-d-ribose,mono_oligosaccharide,2,0.7637694454064543,0.4860355486934901,0.23623055459354575,0.9187270569695565,9,0.3221514348976812
38,a-dna,nucleic_acid_polymer,0,0.9494476953388523,0.2248383967679859,0.05055230466114771,0.9808691452375128,7,0.12798609048389603
39,acetoacetate,carboxylic_acid_metabolite,3,0.6334409286804,0.6054412203674,0.36655907131959997,0.8398056154955463,7,0.4072537175439685
40,acetoacetate,carboxylic_acid_metabolite,3,0.6984112068597401,0.5491710053713339,0.3015887931402599,0.8201376029085636,10,0.4561765520082553
41,acetoacetate,carboxylic_acid_metabolite,3,0.6964618511109832,0.5509429633721808,0.3035381488890167,0.8222206357502955,10,0.45630445215473026
42,acetoacetate,carboxylic_acid_metabolite,3,0.6955302364063386,0.5517877885509662,0.3044697635936614,0.8216953421741506,10,0.45517311555394896
43,acetyl-coa,sulfur_thiol_cofactor,0,0.7801317884746702,0.4689010679509587,0.2198682115253298,0.9065173813977687,5,0.29028877333790026
44,acetyl-coa,sulfur_thiol_cofactor,0,0.9407363647462497,0.24344123573012355,0.05926363525375033,0.9581256782819445,10,0.22423508352339014
45,acetyl-coa,sulfur_thiol_cofactor,0,0.9465287180845929,0.23123858223804392,0.0534712819154071,0.9585085147562166,11,0.2332415409640049
46,acetyl-coa,sulfur_thiol_cofactor,0,0.948078591663544,0.22786269623724698,0.051921408336455976,0.9605295743653469,10,0.22996090930877053
47,adenine,purine,0,0.5048370965279687,0.7036781249069254,0.49516290347203124,0.9472064299418486,3,0.160493920176819
48,adenine,purine,0,0.6125408739836756,0.622462148260207,0.3874591260163244,0.9322448831549963,8,0.28567846107588984
49,adenine,purine,0,0.602332127418966,0.6306091282097268,0.397667872581034,0.9412378299520126,7,0.2538405460400306
50,adenine,purine,0,0.6012525528862117,0.6314645256181751,0.3987474471137883,0.9461882046148712,6,0.23222352646609815
51,alanine,free_amino_acid,4,0.7255170759359244,0.5239111795565639,0.2744829240640756,0.9408142775350306,6,0.23401918824247067
52,alanine,free_amino_acid,4,0.7729433497013242,0.4765046172902241,0.22705665029867586,0.932574921572625,13,0.31511292978106864
53,alanine,free_amino_acid,4,0.769519682095436,0.4800836571940295,0.230480317904564,0.9340061744835746,13,0.3008701267394627
54,alanine,free_amino_acid,4,0.7678975659076194,0.4817701050216926,0.2321024340923806,0.9333625413556974,12,0.3086395084672595
55,alanine,free_amino_acid,4,0.7756496493534153,0.473656363460694,0.2243503506465847,0.8590389637518121,9,0.4194963004472182
56,albumin,peptide_protein,3,0.9273279529780906,0.26957753434212967,0.07267204702190941,0.8873304266317842,10,0.38343331597970826
57,albumin,peptide_protein,3,0.9801963343248709,0.14072549760135486,0.019803665675129124,0.8869138760740223,13,0.39868268800443557
58,albumin,peptide_protein,3,0.9771906354835378,0.15102769453476073,0.02280936451646218,0.8723180469424805,18,0.44419193886584607
59,albumin,peptide_protein,3,0.9597595034174714,0.20060034043482802,0.040240496582528644,0.7599817287456228,22,0.5850276248346052
60,albumin,peptide_protein,3,0.9562489914314549,0.20916741755968773,0.043751008568545025,0.7900850649610407,19,0.5473636816310146
61,albumin,peptide_protein,3,0.9492652286481652,0.2252438042474987,0.05073477135183478,0.6933479552373417,24,0.6561252530832685
62,albumin,peptide_protein,3,0.8561673845254142,0.37925270661490296,0.14383261547458578,0.8157391662961914,21,0.5557663036275459
63,amylopectin,polysaccharide,0,0.9253431251557767,0.2732341026378258,0.07465687484422329,1.0000000000000064,1,1.0070062276065054e-14
64,amylopectin,polysaccharide,0,0.9642895265273678,0.1889721499921825,0.03571047347263222,0.9710021150113557,7,0.15286677086260514
65,amylose,polysaccharide,1,0.9602456423618027,0.19938494837433718,0.03975435763819735,0.928006060591995,4,0.2349092309986368
66,amylose,polysaccharide,1,0.9805796755576568,0.1393568241686164,0.019420324442343245,0.9222332042879888,8,0.2578776560619571
67,arachidic acid,fatty_acid,0,0.9670463422428459,0.1815314236081098,0.03295365775715404,0.9017307646627728,7,0.3231366817727435
68,arachidonic acid,fatty_acid,1,0.9309188133127836,0.2628330015186172,0.06908118668721637,0.9767537321026748,4,0.11678273767636868
69,arginine,free_amino_acid,0,0.7572370975809948,0.49270975474334583,0.2427629024190052,0.9778364813723752,4,0.1257967845984278
70,arginine,free_amino_acid,0,0.7931148464547038,0.45484629661623394,0.20688515354529619,0.9731572427874928,4,0.13474087737180626
71,arginine,free_amino_acid,0,0.7935542192997256,0.45436304944447325,0.20644578070027442,0.972938794931593,4,0.13641126840312792
72,arginine,free_amino_acid,0,0.7924996857550379,0.4555220238859693,0.20750031424496204,0.9739394541912797,4,0.13189933716655702
73,arginine,free_amino_acid,0,0.8418828780774931,0.3976394370817174,0.15811712192250696,0.7588555431386151,14,0.522356322801096
74,ascorbate,carboxylic_acid_metabolite,2,0.6682163326481404,0.5760066556492133,0.3317836673518596,0.9241768914795607,6,0.25162821600871854
75,ascorbate,carboxylic_acid_metabolite,2,0.7297113711108476,0.5198929013647164,0.27028862888915234,0.9282084346779744,6,0.2460159192046491
76,ascorbate,carboxylic_acid_metabolite,2,0.7266381114495246,0.522840213211215,0.27336188855047533,0.928150037141075,6,0.24458179985564027
77,ascorbate,carboxylic_acid_metabolite,2,0.7296748620920388,0.519928012236532,0.27032513790796114,0.9293717931540983,6,0.24242879176878707
