axis,n_supporting_csms,n_supporting_molecules,top_csm,mean_loading,max_loading,specificity,supporting_classes
aliphatic_chain,33,128,csm09,0.2277711708759338,0.732035825319069,1.3953127366441465,acylglycerol;carboxylic_acid_metabolite;fatty_acid;free_amino_acid;mono_oligosaccharide;peptide_protein
unsaturation,11,74,csm00,0.06493185295758347,0.6947276627318452,2.4939250253122562,acylglycerol;carboxylic_acid_metabolite;fatty_acid;mono_oligosaccharide;peptide_protein;phosphate_metabolite
carbonyl_ester,3,25,csm05,0.03010069699015002,0.21494367146164794,3.793208009442517,acylglycerol;chromophore_pigment;free_amino_acid
amide_protein,23,106,csm00,0.12849805702206635,0.6811868190317609,1.7563260821814768,acylglycerol;carboxylic_acid_metabolite;fatty_acid;mono_oligosaccharide;nucleic_acid_polymer;peptide_protein
carbohydrate_skeletal,45,149,csm39,0.2566676172407149,0.546197774721474,1.0851578083403068,acylglycerol;carboxylic_acid_metabolite;chromophore_pigment;fatty_acid;free_amino_acid;mono_oligosaccharide
heterocyclic_ring,19,87,csm24,0.11162504982616676,0.42075776177097385,1.9473813189441862,carboxylic_acid_metabolite;chromophore_pigment;free_amino_acid;mono_oligosaccharide;nucleic_acid_polymer;peptide_protein
purine,9,29,csm47,0.06391496032990301,0.3988657614149903,2.694595720774407,chromophore_pigment;free_amino_acid;nucleic_acid_polymer;purine;sterol_steroid;sulfur_thiol_cofactor
sulfur_thiol,20,80,csm13,0.1082860203741949,0.42294476726774,1.8960880245566356,carboxylic_acid_metabolite;free_amino_acid;mono_oligosaccharide;peptide_protein;phospholipid_sphingolipid;polysaccharide
phosphate_nucleic,7,40,csm22,0.052446500562141764,0.23300198395552504,2.9459101490553135,carboxylic_acid_metabolite;free_amino_acid;mono_oligosaccharide;phosphate_metabolite;polysaccharide;sulfur_thiol_cofactor
aromatic_residue,12,52,csm15,0.0670716565591983,0.5368086520975781,2.406913648322626,chromophore_pigment;free_amino_acid;peptide_protein;small_nitrogenous;sterol_steroid;sulfur_thiol_cofactor
chromophore_conjugated,5,30,csm05,0.04476885976529458,0.850923956875548,3.282382385676526,chromophore_pigment;free_amino_acid;peptide_protein;polysaccharide
