axis_a,axis_b,shared_bins,jaccard
heterocyclic_ring,purine,35,0.30701754385964913
unsaturation,amide_protein,25,0.22321428571428573
aliphatic_chain,carbohydrate_skeletal,46,0.2100456621004566
carbohydrate_skeletal,sulfur_thiol,42,0.2
carbohydrate_skeletal,heterocyclic_ring,31,0.13716814159292035
carbonyl_ester,chromophore_conjugated,13,0.12149532710280374
unsaturation,phosphate_nucleic,8,0.10810810810810811
sulfur_thiol,aromatic_residue,13,0.0962962962962963
aliphatic_chain,phosphate_nucleic,13,0.08843537414965986
aliphatic_chain,sulfur_thiol,16,0.08290155440414508
sulfur_thiol,phosphate_nucleic,11,0.08088235294117647
aromatic_residue,chromophore_conjugated,7,0.07777777777777778
carbohydrate_skeletal,chromophore_conjugated,14,0.0748663101604278
carbohydrate_skeletal,phosphate_nucleic,13,0.06842105263157895
purine,aromatic_residue,6,0.06666666666666667
carbohydrate_skeletal,purine,11,0.0582010582010582
carbonyl_ester,carbohydrate_skeletal,12,0.05581395348837209
amide_protein,phosphate_nucleic,8,0.05517241379310345
aliphatic_chain,amide_protein,11,0.05392156862745098
amide_protein,purine,6,0.041666666666666664
carbohydrate_skeletal,aromatic_residue,7,0.03553299492385787
carbonyl_ester,aromatic_residue,3,0.025
aliphatic_chain,heterocyclic_ring,3,0.014218009478672985
purine,chromophore_conjugated,1,0.010869565217391304
heterocyclic_ring,chromophore_conjugated,1,0.006711409395973154
amide_protein,chromophore_conjugated,1,0.006666666666666667
amide_protein,aromatic_residue,1,0.006535947712418301
heterocyclic_ring,sulfur_thiol,1,0.005
