perturbation,level,representation,molecule_top1,class_top1,class_top1_grouped,mean_confidence,ece
gaussian_noise,0.01,raw,0.9653333333333334,0.992,0.5893333333333334,0.011559586933356033,0.9537737463999774
gaussian_noise,0.01,lsm,0.8986666666666666,0.9706666666666667,0.848,0.015803903104355206,0.8828627635623114
gaussian_noise,0.01,csm,0.896,0.9733333333333334,0.8426666666666667,0.01581287048407732,0.8801871295159227
gaussian_noise,0.01,evidence,0.8666666666666667,0.968,0.664,0.008419604343407959,0.8582470623232588
gaussian_noise,0.02,raw,0.9653333333333334,0.992,0.5893333333333334,0.011489215268117204,0.9538441180652162
gaussian_noise,0.02,lsm,0.896,0.968,0.8453333333333334,0.015789290268023184,0.8802107097319768
gaussian_noise,0.02,csm,0.8933333333333333,0.9733333333333334,0.8453333333333334,0.015799171369205244,0.877534161964128
gaussian_noise,0.02,evidence,0.8666666666666667,0.968,0.6613333333333333,0.008405078234117994,0.8582615884325487
gaussian_noise,0.05,raw,0.9653333333333334,0.9893333333333333,0.584,0.011164921677095947,0.9541684116562374
gaussian_noise,0.05,lsm,0.88,0.968,0.8373333333333334,0.015695675721409938,0.86430432427859
gaussian_noise,0.05,csm,0.88,0.9653333333333334,0.84,0.015720188027627667,0.8642798119723724
gaussian_noise,0.05,evidence,0.8133333333333334,0.9626666666666667,0.6533333333333333,0.008334998095323815,0.8049983352380096
gaussian_noise,0.1,raw,0.9546666666666667,0.9893333333333333,0.5253333333333333,0.010496976373496012,0.9441696902931707
gaussian_noise,0.1,lsm,0.848,0.96,0.8266666666666667,0.015397655760817483,0.8326023442391824
gaussian_noise,0.1,csm,0.8533333333333334,0.96,0.824,0.015478665933953967,0.8378546673993794
gaussian_noise,0.1,evidence,0.7306666666666667,0.9146666666666666,0.632,0.008196873878036857,0.7224697927886299
gaussian_noise,0.2,raw,0.92,0.9626666666666667,0.4533333333333333,0.009357222819172695,0.9106427771808273
gaussian_noise,0.2,lsm,0.792,0.9413333333333334,0.7813333333333333,0.01441491864359525,0.7775850813564048
gaussian_noise,0.2,csm,0.8026666666666666,0.9466666666666667,0.784,0.014686374374715356,0.7879802922919513
gaussian_noise,0.2,evidence,0.5013333333333333,0.776,0.576,0.007957984744006273,0.493375348589327
baseline_drift,0.05,raw,0.9626666666666667,0.9893333333333333,0.5786666666666667,0.011559992239170244,0.9511066744274964
baseline_drift,0.05,lsm,0.8746666666666667,0.968,0.8453333333333334,0.01576841595424958,0.8588982507124171
baseline_drift,0.05,csm,0.8773333333333333,0.9653333333333334,0.8346666666666667,0.015780863374087583,0.8615524699592457
baseline_drift,0.05,evidence,0.824,0.9626666666666667,0.664,0.008407857597223463,0.8155921424027764
baseline_drift,0.1,raw,0.9546666666666667,0.9866666666666667,0.568,0.01148460207620652,0.9431820645904602
baseline_drift,0.1,lsm,0.8453333333333334,0.9546666666666667,0.84,0.015664989570073885,0.8296683437632595
baseline_drift,0.1,csm,0.84,0.9546666666666667,0.8266666666666667,0.015691196581053,0.824308803418947
baseline_drift,0.1,evidence,0.7813333333333333,0.944,0.6533333333333333,0.008376487259813284,0.77295684607352
baseline_drift,0.2,raw,0.9306666666666666,0.976,0.5306666666666666,0.011307537897450117,0.9193591287692165
baseline_drift,0.2,lsm,0.7946666666666666,0.952,0.8106666666666666,0.015381346547182996,0.7792853201194836
