axis,n_chains,mean_csms,mean_lsms,mean_molecules,broken
aliphatic_chain,362,4.798342541436464,4.983425414364641,34.03591160220994,0
amide_protein,358,4.737430167597766,5.0,32.737430167597765,0
aromatic_residue,226,4.256637168141593,4.256637168141593,26.02654867256637,0
carbohydrate_skeletal,375,4.824,4.954666666666666,31.808,0
carbonyl_ester,198,4.570707070707071,4.742424242424242,30.87878787878788,0
chromophore_conjugated,196,4.469387755102041,4.469387755102041,27.413265306122447,0
heterocyclic_ring,311,4.630225080385852,4.630225080385852,27.025723472668812,0
phosphate_nucleic,252,4.365079365079365,4.579365079365079,27.57936507936508,0
purine,232,4.094827586206897,4.094827586206897,23.504310344827587,0
sulfur_thiol,319,4.736677115987461,4.777429467084639,29.620689655172413,0
unsaturation,304,4.5625,4.865131578947368,32.11513157894737,0
