class_index,class_id,class_name,broad_class,n_molecules,n_spectra,canonical_molecules,spectra_per_molecule,adjacent_classes,source_distribution,excitation_distribution,replicate_distribution,molecule_share,spectrum_share,imbalance_vs_uniform
0,acylglycerol,acylglycerol,lipid,17,23,tri-11-eicosenoin;triarachidin;tribehenin;tricaprin;tricaproin;tricaprylin;trielaidin;trierucin;trilaurin;trilinolein;trilinolenin;trimyristin;triolein;tripalmitin;tripalmitolein;tripetroselinin;tristearin,1.353,fatty_acid;phospholipid_sphingolipid;sterol_steroid,"{""RamanBioLib"": 20, ""gobbato_raman_metabolites"": 3}","{""1064.0"": 17, ""785.0"": 6}","{""1"": 14, ""2"": 2, ""5"": 1}",0.1104,0.0613,0.981
1,carboxylic_acid_metabolite,carboxylic acid metabolite,energy_metabolism,8,23,acetoacetate;ascorbate;citrate;fumarate;lactate;malic acid;pyruvate;succinic acid,2.875,phosphate_metabolite,"{""RamanBioLib"": 7, ""amino_acid_raman_grounding"": 1, ""gobbato_raman_metabolites"": 15}","{""785.0"": 23}","{""1"": 2, ""2"": 1, ""3"": 1, ""4"": 4}",0.0519,0.0613,0.981
2,chromophore_pigment,chromophore pigment,redox_cofactor,4,10,carotene;melanin;riboflavin;β-carotene,2.5,,"{""RamanBioLib"": 6, ""amino_acid_raman_grounding"": 1, ""gobbato_raman_metabolites"": 3}","{""457.9"": 1, ""514.5"": 1, ""632.8"": 1, ""785.0"": 7}","{""1"": 2, ""4"": 2}",0.026,0.0267,0.427
3,fatty_acid,fatty acid,lipid,17,27,12-methyltetradecanoic acid;13-methylmyristicacid;14-methylhexadecanoic acid;14-methylpentadecanoic acid;15-methylpalmiticacid;arachidic acid;arachidonic acid;elaidic acid;lauric acid;linoleic acid;myristic acid;oleate;palmitic acid;palmitoleic acid;stearate;vaccenic acid;α-linolenic acid,1.588,acylglycerol;phospholipid_sphingolipid,"{""RamanBioLib"": 21, ""gobbato_raman_metabolites"": 6}","{""532.0"": 10, ""785.0"": 17}","{""1"": 13, ""2"": 2, ""5"": 2}",0.1104,0.072,1.152
4,free_amino_acid,free amino acid,protein_amino_acid,18,75,alanine;arginine;asparagine;aspartate;cysteine;glutamate;glycine;histidine;hydroxyproline;isoleucine;leucine;methionine;phenylalanine;proline;serine;tryptophan;tyrosine;valine,4.167,peptide_protein;small_nitrogenous;sulfur_thiol_cofactor,"{""RamanBioLib"": 13, ""amino_acid_raman_grounding"": 14, ""gobbato_raman_metabolites"": 48}","{""488.0"": 2, ""785.0"": 73}","{""1"": 1, ""2"": 1, ""3"": 3, ""4"": 3, ""5"": 9, ""6"": 1}",0.1169,0.2,3.2
5,mono_oligosaccharide,mono oligosaccharide,carbohydrate,20,43,(+)-arabinose;(+)-fucose;(+)-galactosamine;(+)-galactose;(+)-glucose;(+)-lactose;(+)-maltose;(+)-mannose;(+)-raffinose pentahydrate;(+)-sucrose;(+)-trehalose;(+)-xylose;(-)-arabinose;(-)-fructose;(-)-ribose;2-deoxy-d-ribose;glucosamine;glycerol;n-acetylglucosamine;β-d-glucose,2.15,polysaccharide,"{""RamanBioLib"": 24, ""amino_acid_raman_grounding"": 1, ""gobbato_raman_metabolites"": 18}","{""1064.0"": 11, ""488.0"": 1, ""785.0"": 31}","{""1"": 12, ""2"": 2, ""4"": 4, ""5"": 1, ""6"": 1}",0.1299,0.1147,1.835
6,nucleic_acid_polymer,nucleic acid polymer,nucleic,3,3,a-dna;b-dna;t-rna,1.0,purine;pyrimidine,"{""RamanBioLib"": 3}","{""488.0"": 1, ""514.5"": 2}","{""1"": 3}",0.0195,0.008,0.128
7,peptide_protein,peptide protein,protein_amino_acid,30,80,albumin;carbonic anhydrase;collagen;cytochrome c;elastase;elastin;ferritin;glucose oxidase;glutathione transferase;hemoglobin;horseradish peroxidase;insulin;keratin;lactalbumin;lectin;major proteinase;myoglobin;papain;pepsin;pepsinogen;superoxide dismutases;thaumatin;triosephosphate isomerase;trypsin;trypsin inhibitor;trypsinogen;tubulin;ubiquitin;xylanase;α-chymotrypsinogen a (type ii),2.667,free_amino_acid,"{""RamanBioLib"": 76, ""amino_acid_raman_grounding"": 1, ""gobbato_raman_metabolites"": 3}","{""1064.0"": 23, ""488.0"": 25, ""532.0"": 27, ""633.0"": 1, ""785.0"": 4}","{""1"": 4, ""2"": 6, ""3"": 19, ""7"": 1}",0.1948,0.2133,3.413
8,phosphate_metabolite,phosphate metabolite,energy_metabolism,3,11,fructose-6-phosphate;phosphate;phosphoenolpyruvate,3.667,carboxylic_acid_metabolite,"{""RamanBioLib"": 2, ""gobbato_raman_metabolites"": 9}","{""785.0"": 11}","{""3"": 1, ""4"": 2}",0.0195,0.0293,0.469
9,phospholipid_sphingolipid,phospholipid sphingolipid,lipid,5,8,ceramide;phosphatidylinositol;sphingomyelin;α-phosphatidylcholine;α-phosphatidylethanolamine,1.6,acylglycerol;fatty_acid,"{""RamanBioLib"": 5, ""gobbato_raman_metabolites"": 3}","{""1064.0"": 1, ""532.0"": 3, ""785.0"": 3, ""850.0"": 1}","{""1"": 3, ""2"": 1, ""3"": 1}",0.0325,0.0213,0.341
