class_id,n,tp,fp,fn,precision,recall,f1
acylglycerol,23,18,5,5,0.782608695652174,0.782608695652174,0.782608695652174
carboxylic_acid_metabolite,23,18,2,5,0.9,0.782608695652174,0.8372093023255814
chromophore_pigment,10,8,5,2,0.6153846153846154,0.8,0.6956521739130435
fatty_acid,27,21,4,6,0.84,0.7777777777777778,0.8076923076923077
free_amino_acid,75,64,5,11,0.927536231884058,0.8533333333333334,0.888888888888889
mono_oligosaccharide,43,40,4,3,0.9090909090909091,0.9302325581395349,0.9195402298850575
nucleic_acid_polymer,3,3,0,0,1.0,1.0,1.0
peptide_protein,80,64,4,16,0.9411764705882353,0.8,0.8648648648648648
phosphate_metabolite,11,10,2,1,0.8333333333333334,0.9090909090909091,0.8695652173913043
phospholipid_sphingolipid,8,5,6,3,0.45454545454545453,0.625,0.5263157894736842
polysaccharide,10,9,4,1,0.6923076923076923,0.9,0.7826086956521738
purine,17,17,6,0,0.7391304347826086,1.0,0.85
pyrimidine,9,9,6,0,0.6,1.0,0.7499999999999999
small_nitrogenous,7,3,6,4,0.3333333333333333,0.42857142857142855,0.375
sterol_steroid,13,13,0,0,1.0,1.0,1.0
sulfur_thiol_cofactor,16,11,3,5,0.7857142857142857,0.6875,0.7333333333333334
