class_id,n,classwise_ece
acylglycerol,23,0.006689463328727864
carboxylic_acid_metabolite,23,0.006237691637391858
chromophore_pigment,10,0.0022332471071867775
fatty_acid,27,0.0019535310845681525
free_amino_acid,75,0.03800094470378523
mono_oligosaccharide,43,0.0020996338222723787
nucleic_acid_polymer,3,0.004187795965887893
peptide_protein,80,0.040577988578266666
phosphate_metabolite,11,0.008418913637067805
phospholipid_sphingolipid,8,0.01579568312991324
polysaccharide,10,0.010362164144000308
purine,17,0.010007654707512581
pyrimidine,9,0.013088351149962249
small_nitrogenous,7,0.012634678016242473
sterol_steroid,13,0.003161586941651473
sulfur_thiol_cofactor,16,0.0007132670890642318
