spectrum_id,canonical_id,true_class,predicted_class,source,excitation,fold,explained_variance,residual_fraction,n_active_csms,true_class_rank,max_evidence,margin,calibrated_confidence,correct,low_ev,error_type
ramanbiolib::189,(+)-arabinose,mono_oligosaccharide,mono_oligosaccharide,RamanBioLib,1064.0,0,0.9539469638636955,0.046053036136304515,12,1,0.41647120731368154,0.3308584968894893,0.9532590242617657,True,False,correct
ramanbiolib::18,(+)-fucose,mono_oligosaccharide,mono_oligosaccharide,RamanBioLib,785.0,1,0.6440596865172312,0.35594031348276883,10,1,0.7006872615192496,0.4563160719308773,0.6211202023440414,True,False,correct
ramanbiolib::19,(+)-galactosamine,mono_oligosaccharide,mono_oligosaccharide,RamanBioLib,785.0,0,0.9037955244536828,0.09620447554631717,4,1,0.7229175459403985,0.6774150498361494,0.9953935818579699,True,False,correct
gobbato_raman_metabolites::Galact::01,(+)-galactose,mono_oligosaccharide,mono_oligosaccharide,gobbato_raman_metabolites,785.0,3,0.5240926947578339,0.475907305242166,16,1,0.5411046626222515,0.11703636184011867,0.48898144613395966,True,False,correct
gobbato_raman_metabolites::Galact::02,(+)-galactose,mono_oligosaccharide,mono_oligosaccharide,gobbato_raman_metabolites,785.0,3,0.9109063152114076,0.08909368478859232,11,1,0.7229057032896837,0.5980423767712397,0.9763176594120971,True,False,correct
gobbato_raman_metabolites::Galact::03,(+)-galactose,mono_oligosaccharide,mono_oligosaccharide,gobbato_raman_metabolites,785.0,3,0.9134662138889942,0.08653378611100587,10,1,0.7246303517086328,0.603253654312339,0.9781564467907411,True,False,correct
ramanbiolib::179,(+)-galactose,mono_oligosaccharide,mono_oligosaccharide,RamanBioLib,1064.0,3,0.9104374662850059,0.0895625337149941,11,1,0.7243365754136268,0.5964429435172736,0.9757163235647142,True,False,correct
amino_acid_raman::glucose,(+)-glucose,mono_oligosaccharide,mono_oligosaccharide,amino_acid_raman_grounding,785.0,0,0.8590698753035376,0.14093012469646235,3,1,0.7336260772461553,0.6619042483818474,0.9863991226500355,True,False,correct
gobbato_raman_metabolites::Gluc::01,(+)-glucose,mono_oligosaccharide,mono_oligosaccharide,gobbato_raman_metabolites,785.0,0,0.8928122499919436,0.10718775000805635,5,1,0.722922259654734,0.5834231760882116,0.9233133513593147,True,False,correct
gobbato_raman_metabolites::Gluc::02,(+)-glucose,mono_oligosaccharide,mono_oligosaccharide,gobbato_raman_metabolites,785.0,0,0.928873238912961,0.07112676108703896,7,1,0.7306957683051287,0.6223131259564288,0.9606778920540413,True,False,correct
gobbato_raman_metabolites::Gluc::03,(+)-glucose,mono_oligosaccharide,mono_oligosaccharide,gobbato_raman_metabolites,785.0,0,0.9312009797011267,0.06879902029887328,7,1,0.729393876726562,0.608522139883283,0.9541864869657233,True,False,correct
ramanbiolib::17,(+)-glucose,mono_oligosaccharide,mono_oligosaccharide,RamanBioLib,785.0,0,0.920798344407839,0.07920165559216097,8,1,0.7273887321456993,0.6025121679308976,0.950847237702912,True,False,correct
ramanbiolib::180,(+)-glucose,mono_oligosaccharide,mono_oligosaccharide,RamanBioLib,1064.0,0,0.7850314835918838,0.2149685164081162,7,1,0.5914351213790092,0.4750396573676946,0.9371140324048312,True,False,correct
ramanbiolib::181,(+)-lactose,mono_oligosaccharide,polysaccharide,RamanBioLib,1064.0,2,0.6888819735745403,0.3111180264254597,6,2,0.5683593991815507,0.3754935378341246,0.8997140984236544,False,False,adjacent_class
ramanbiolib::41,(+)-lactose,mono_oligosaccharide,carboxylic_acid_metabolite,RamanBioLib,785.0,2,0.7650084931592516,0.23499150684074843,11,3,0.8377471122789718,0.47971579656245555,0.7654826702318179,False,False,distant_class
ramanbiolib::182,(+)-maltose,mono_oligosaccharide,mono_oligosaccharide,RamanBioLib,1064.0,1,0.7521164711794937,0.24788352882050638,9,1,0.6721819513623875,0.44363489547779417,0.5854453053303469,True,False,correct
gobbato_raman_metabolites::Mann::01,(+)-mannose,mono_oligosaccharide,mono_oligosaccharide,gobbato_raman_metabolites,785.0,4,0.640051861655619,0.359948138344381,12,1,0.43298630631622864,0.1277022303951445,0.5549499406248288,True,False,correct
