spectrum_id,canonical_id,true_class,predicted_class,source,excitation,fold,explained_variance,residual_fraction,n_active_csms,true_class_rank,max_evidence,margin,calibrated_confidence,correct,low_ev,error_type
gobbato_raman_metabolites::Pyr::01,pyruvate,carboxylic_acid_metabolite,carboxylic_acid_metabolite,gobbato_raman_metabolites,785.0,1,0.20623088731230155,0.7937691126876985,7,1,0.8976260152925573,0.34984159549080174,0.5067038770385076,True,True,correct
gobbato_raman_metabolites::Thy::01,thymine,pyrimidine,pyrimidine,gobbato_raman_metabolites,785.0,3,0.25493397757916525,0.7450660224208348,7,1,0.5911287170336502,0.18417671611363162,0.5752160052840745,True,True,correct
ramanbiolib::43,malic acid,carboxylic_acid_metabolite,phospholipid_sphingolipid,RamanBioLib,785.0,3,0.2592010768676679,0.7407989231323321,7,2,0.6741620128593684,0.2406815135817441,0.41022000413184495,False,True,distant_class
ramanbiolib::53,thymine,pyrimidine,pyrimidine,RamanBioLib,785.0,3,0.2831834001609088,0.7168165998390912,11,1,0.5272843625214608,0.1308424748903423,0.5368476700909243,True,True,correct
gobbato_raman_metabolites::Thy::02,thymine,pyrimidine,pyrimidine,gobbato_raman_metabolites,785.0,3,0.2836996972342025,0.7163003027657975,9,1,0.5415184264078445,0.14544178610645048,0.5483917714694087,True,True,correct
gobbato_raman_metabolites::Thy::03,thymine,pyrimidine,pyrimidine,gobbato_raman_metabolites,785.0,3,0.2838106736874042,0.7161893263125958,10,1,0.5459842228265077,0.14882993129639416,0.5499789977348656,True,True,correct
amino_acid_raman::malic acid,malic acid,carboxylic_acid_metabolite,phosphate_metabolite,amino_acid_raman_grounding,785.0,3,0.30701442889738295,0.692985571102617,11,2,0.8978442147107492,0.6369522277260455,0.8403461221132364,False,True,adjacent_class
gobbato_raman_metabolites::Urea::02,urea,small_nitrogenous,free_amino_acid,gobbato_raman_metabolites,785.0,2,0.3450142516546558,0.6549857483453442,7,3,0.6647456455846752,0.4653344046876998,0.9340657779066404,False,True,adjacent_class
amino_acid_raman::ure,urea,small_nitrogenous,free_amino_acid,amino_acid_raman_grounding,785.0,2,0.35173068980747035,0.6482693101925296,6,3,0.6732599441235346,0.4834831332949774,0.9434771906938534,False,True,adjacent_class
gobbato_raman_metabolites::Urea::01,urea,small_nitrogenous,free_amino_acid,gobbato_raman_metabolites,785.0,2,0.3568716026605028,0.6431283973394972,6,3,0.6739743660228447,0.4863163104277943,0.9440013459684696,False,True,adjacent_class
gobbato_raman_metabolites::PEP::01,phosphoenolpyruvate,phosphate_metabolite,pyrimidine,gobbato_raman_metabolites,785.0,1,0.40334412838291234,0.5966558716170877,9,2,1.100225378397154,0.6995468780009004,0.6731570846342546,False,True,distant_class
gobbato_raman_metabolites::Citric::01,citrate,carboxylic_acid_metabolite,carboxylic_acid_metabolite,gobbato_raman_metabolites,785.0,0,0.44732670185462686,0.5526732981453731,4,1,0.8165008186320388,0.09178078278052448,0.506907701818413,True,True,correct
gobbato_raman_metabolites::Glutamic::01,glutamate,free_amino_acid,free_amino_acid,gobbato_raman_metabolites,785.0,3,0.4641539808120775,0.5358460191879225,11,1,0.5666300890022653,0.3719399902333864,0.8314569989783328,True,True,correct
amino_acid_raman::histidine,histidine,free_amino_acid,free_amino_acid,amino_acid_raman_grounding,785.0,2,0.47854127850869466,0.5214587214913053,7,1,0.6633521302195542,0.4830556150776619,0.9538714306231633,True,True,correct
amino_acid_raman::glutamate#2,glutamate,free_amino_acid,free_amino_acid,amino_acid_raman_grounding,785.0,3,0.4789285789883376,0.5210714210116624,11,1,0.5685403219809799,0.36521198609484207,0.8063059371820427,True,True,correct
gobbato_raman_metabolites::Glutamic::02,glutamate,free_amino_acid,free_amino_acid,gobbato_raman_metabolites,785.0,3,0.48471327626587946,0.5152867237341205,12,1,0.5655024410075606,0.3376082342060187,0.7861600371338836,True,True,correct
