class_id,n_chains,mean_molecules,mean_csms,mean_lsms,broken
acylglycerol,63,5.0,6.746031746031746,7.412698412698413,0
carboxylic_acid_metabolite,123,5.0,6.951219512195122,7.186991869918699,0
chromophore_pigment,26,4.0,5.0,5.3076923076923075,0
fatty_acid,81,5.0,6.580246913580247,7.172839506172839,0
free_amino_acid,182,5.0,8.065934065934066,8.153846153846153,0
mono_oligosaccharide,117,5.0,7.153846153846154,7.188034188034188,0
nucleic_acid_polymer,22,3.0,5.136363636363637,5.181818181818182,0
peptide_protein,124,5.0,8.766129032258064,9.07258064516129,0
phosphate_metabolite,48,3.0,5.229166666666667,5.229166666666667,0
phospholipid_sphingolipid,56,5.0,9.178571428571429,9.696428571428571,0
polysaccharide,64,5.0,7.640625,7.78125,0
purine,33,5.0,6.363636363636363,6.484848484848484,0
pyrimidine,60,3.0,4.466666666666667,4.466666666666667,0
small_nitrogenous,47,2.0,3.3191489361702127,3.595744680851064,0
sterol_steroid,33,5.0,6.696969696969697,7.0606060606060606,0
sulfur_thiol_cofactor,46,4.0,7.543478260869565,7.717391304347826,0
