perturbation,level,representation,class_top1,class_top3,vector_cosine,rank_stability,mean_confidence,ece
gaussian_noise,0.01,raw_spectrum,0.5893333333333334,0.7653333333333333,,,,
gaussian_noise,0.01,csm_49,0.8426666666666667,0.9706666666666667,,,,
gaussian_noise,0.01,chemistry_evidence_16,0.8506666666666667,0.9733333333333334,0.9732585471613687,0.968,0.7685487123790253,0.08211795428764149
gaussian_noise,0.01,legacy_theme_bsv,0.49333333333333335,0.7973333333333333,,,,
gaussian_noise,0.01,legacy_11_axis,0.664,0.8533333333333334,,,,
gaussian_noise,0.02,raw_spectrum,0.5893333333333334,0.7653333333333333,,,,
gaussian_noise,0.02,csm_49,0.8453333333333334,0.9706666666666667,,,,
gaussian_noise,0.02,chemistry_evidence_16,0.8453333333333334,0.9733333333333334,0.9731196581402735,0.9626666666666667,0.7664259353584002,0.07890739797493307
gaussian_noise,0.02,legacy_theme_bsv,0.496,0.7973333333333333,,,,
gaussian_noise,0.02,legacy_11_axis,0.6613333333333333,0.8506666666666667,,,,
gaussian_noise,0.05,raw_spectrum,0.584,0.7573333333333333,,,,
gaussian_noise,0.05,csm_49,0.84,0.9706666666666667,,,,
gaussian_noise,0.05,chemistry_evidence_16,0.84,0.9733333333333334,0.9712534095202336,0.9573333333333334,0.7557072156307897,0.08429278436921035
gaussian_noise,0.05,legacy_theme_bsv,0.48533333333333334,0.792,,,,
gaussian_noise,0.05,legacy_11_axis,0.6533333333333333,0.8373333333333334,,,,
gaussian_noise,0.1,raw_spectrum,0.5253333333333333,0.7333333333333333,,,,
gaussian_noise,0.1,csm_49,0.824,0.968,,,,
gaussian_noise,0.1,chemistry_evidence_16,0.8053333333333333,0.9706666666666667,0.962593406734058,0.9173333333333333,0.7297658405228457,0.07827658875548837
gaussian_noise,0.1,legacy_theme_bsv,0.44,0.7626666666666667,,,,
gaussian_noise,0.1,legacy_11_axis,0.6346666666666667,0.824,,,,
gaussian_noise,0.2,raw_spectrum,0.4533333333333333,0.6506666666666666,,,,
gaussian_noise,0.2,csm_49,0.784,0.9493333333333334,,,,
gaussian_noise,0.2,chemistry_evidence_16,0.76,0.952,0.9267111598375906,0.8613333333333333,0.663306129129809,0.09858278355498497
gaussian_noise,0.2,legacy_theme_bsv,0.3333333333333333,0.6693333333333333,,,,
gaussian_noise,0.2,legacy_11_axis,0.576,0.8106666666666666,,,,
shot_noise,0.01,raw_spectrum,0.592,0.768,,,,
shot_noise,0.01,csm_49,0.8453333333333334,0.9706666666666667,,,,
shot_noise,0.01,chemistry_evidence_16,0.8533333333333334,0.9733333333333334,0.9732468346888045,0.9706666666666667,0.7695680973980398,0.08775991326251081
shot_noise,0.01,legacy_theme_bsv,0.49333333333333335,0.7973333333333333,,,,
shot_noise,0.01,legacy_11_axis,0.664,0.8533333333333334,,,,
shot_noise,0.02,raw_spectrum,0.592,0.768,,,,
shot_noise,0.02,csm_49,0.8506666666666667,0.9706666666666667,,,,
shot_noise,0.02,chemistry_evidence_16,0.848,0.9733333333333334,0.9732657276629024,0.9653333333333334,0.7696560678835346,0.08240067021967078
shot_noise,0.02,legacy_theme_bsv,0.49333333333333335,0.7973333333333333,,,,
shot_noise,0.02,legacy_11_axis,0.664,0.8533333333333334,,,,
shot_noise,0.05,raw_spectrum,0.5893333333333334,0.7653333333333333,,,,
shot_noise,0.05,csm_49,0.8506666666666667,0.9706666666666667,,,,
shot_noise,0.05,chemistry_evidence_16,0.8453333333333334,0.976,0.9732139163008746,0.9626666666666667,0.7698662136773976,0.079607003878942
shot_noise,0.05,legacy_theme_bsv,0.488,0.7946666666666666,,,,
shot_noise,0.05,legacy_11_axis,0.664,0.856,,,,
shot_noise,0.1,raw_spectrum,0.5893333333333334,0.7626666666666667,,,,
shot_noise,0.1,csm_49,0.848,0.9706666666666667,,,,
shot_noise,0.1,chemistry_evidence_16,0.84,0.976,0.972808286742011,0.9573333333333334,0.7694175476119691,0.0705824523880309
shot_noise,0.1,legacy_theme_bsv,0.488,0.7946666666666666,,,,
shot_noise,0.1,legacy_11_axis,0.6693333333333333,0.8613333333333333,,,,
shot_noise,0.2,raw_spectrum,0.5893333333333334,0.7706666666666667,,,,
shot_noise,0.2,csm_49,0.8266666666666667,0.9706666666666667,,,,
shot_noise,0.2,chemistry_evidence_16,0.8373333333333334,0.976,0.9709130979941605,0.9546666666666667,0.764674388231029,0.07413767832331643
shot_noise,0.2,legacy_theme_bsv,0.4746666666666667,0.792,,,,
shot_noise,0.2,legacy_11_axis,0.6666666666666666,0.8613333333333333,,,,
baseline_drift,0.05,raw_spectrum,0.5786666666666667,0.7626666666666667,,,,
baseline_drift,0.05,csm_49,0.8346666666666667,0.968,,,,
baseline_drift,0.05,chemistry_evidence_16,0.8426666666666667,0.9733333333333334,0.9721995031281623,0.9706666666666667,0.7647857083916829,0.08152020440394758
baseline_drift,0.05,legacy_theme_bsv,0.4826666666666667,0.8026666666666666,,,,
baseline_drift,0.05,legacy_11_axis,0.6666666666666666,0.8426666666666667,,,,
baseline_drift,0.1,raw_spectrum,0.568,0.7466666666666667,,,,
baseline_drift,0.1,csm_49,0.8266666666666667,0.9706666666666667,,,,
baseline_drift,0.1,chemistry_evidence_16,0.84,0.968,0.968565259796451,0.9466666666666667,0.7574685994473186,0.0890618468637971
baseline_drift,0.1,legacy_theme_bsv,0.4613333333333333,0.7973333333333333,,,,
baseline_drift,0.1,legacy_11_axis,0.656,0.848,,,,
baseline_drift,0.2,raw_spectrum,0.5306666666666666,0.736,,,,
baseline_drift,0.2,csm_49,0.8,0.9626666666666667,,,,
baseline_drift,0.2,chemistry_evidence_16,0.8133333333333334,0.968,0.9568376724801922,0.9253333333333333,0.7371637595046626,0.08193240431804345
baseline_drift,0.2,legacy_theme_bsv,0.416,0.7626666666666667,,,,
baseline_drift,0.2,legacy_11_axis,0.624,0.8426666666666667,,,,
baseline_drift,0.4,raw_spectrum,0.48533333333333334,0.696,,,,
baseline_drift,0.4,csm_49,0.7573333333333333,0.9413333333333334,,,,
baseline_drift,0.4,chemistry_evidence_16,0.76,0.9413333333333334,0.9225144672331343,0.8426666666666667,0.709326545815113,0.060652040679500176
baseline_drift,0.4,legacy_theme_bsv,0.38666666666666666,0.7013333333333334,,,,
baseline_drift,0.4,legacy_11_axis,0.6,0.8053333333333333,,,,
baseline_drift,0.8,raw_spectrum,0.41333333333333333,0.6213333333333333,,,,
baseline_drift,0.8,csm_49,0.6373333333333333,0.8853333333333333,,,,
baseline_drift,0.8,chemistry_evidence_16,0.6133333333333333,0.8746666666666667,0.8375547161468585,0.672,0.6676463034882288,0.05938506391650681
baseline_drift,0.8,legacy_theme_bsv,0.2906666666666667,0.6026666666666667,,,,
baseline_drift,0.8,legacy_11_axis,0.5013333333333333,0.7413333333333333,,,,
fluorescence,0.05,raw_spectrum,0.544,0.736,,,,
fluorescence,0.05,csm_49,0.832,0.9706666666666667,,,,
fluorescence,0.05,chemistry_evidence_16,0.84,0.976,0.9665373178152143,0.9546666666666667,0.7388874666235894,0.1011125333764107
fluorescence,0.05,legacy_theme_bsv,0.448,0.792,,,,
fluorescence,0.05,legacy_11_axis,0.6266666666666667,0.816,,,,
fluorescence,0.1,raw_spectrum,0.488,0.7226666666666667,,,,
fluorescence,0.1,csm_49,0.8266666666666667,0.96,,,,
fluorescence,0.1,chemistry_evidence_16,0.808,0.9706666666666667,0.9500175860169675,0.8853333333333333,0.7016491501809929,0.10635084981900697
fluorescence,0.1,legacy_theme_bsv,0.3973333333333333,0.7653333333333333,,,,
