cluster,n_molecules,n_spectra,members,fine_classes,dominant_fine_class,fine_purity,fine_entropy,dominant_broad_class,broad_purity,sources,dominant_source,source_purity,excitations,dominant_excitation,excitation_purity,mean_replicates,dominant_csms,dominant_csm_activations,dominant_lsms,dominant_bands,consensus_peak_positions,within_cluster_mean_distance,within_cluster_max_distance,nearest_clusters,outlier_members,bridge_members,kind,justification
0,9,22,"[""(+)-lactose"", ""amylopectin"", ""amylose"", ""ascorbate"", ""cellulose"", ""chitin"", ""glycogen"", ""lactate"", ""xylanase""]","{""carboxylic_acid_metabolite"": 2, ""mono_oligosaccharide"": 1, ""peptide_protein"": 1, ""polysaccharide"": 5}",polysaccharide,0.5555555555555556,0.8288713632524444,carbohydrate,0.6666666666666666,"{""RamanBioLib"": 6, ""gobbato_raman_metabolites"": 3}",RamanBioLib,0.6666666666666666,"{""1064.0"": 4, ""785.0"": 5}",785.0,0.5555555555555556,2.4444444444444446,"[""csm38"", ""csm39"", ""csm28"", ""csm04"", ""csm00"", ""csm21""]","[0.2439380771120096, 0.2209147785279675, 0.17998178860274572, 0.16737036671196479, 0.03276030424720617, 0.030473155297966934]","[""acylglycerol.m01"", ""carboxylic_acid_metabolite.m01"", ""fatty_acid.m01"", ""mono_oligosaccharide.m03"", ""peptide_protein.m03"", ""polysaccharide.m00"", ""polysaccharide.m01""]","[476, 478, 480, 482, 498, 524, 566, 576, 580, 582]","[1116.0, 1118.0, 1120.0, 1122.0, 1124.0, 1126.0, 1128.0, 1130.0]",0.6895792923916217,1.0,"[{""cluster"": 13, ""centroid_distance"": 0.8494298219797795}, {""cluster"": 1, ""centroid_distance"": 0.8494559355898258}, {""cluster"": 6, ""centroid_distance"": 0.9295447510692784}]","[""cellulose""]",[],unresolved,"fine 56%, broad 67%, within-cluster distance 0.69: no rule applies cleanly"
1,30,110,"[""(+)-sucrose"", ""acetoacetate"", ""alanine"", ""arginine"", ""asparagine"", ""aspartate"", ""citrate"", ""fructose-6-phosphate"", ""fumarate"", ""glucosamine"", ""glutamate"", ""glutathione"", ""glycine"", ""histidine"", ""hydroxyproline"", ""isoleucine"", ""leucine"", ""malic acid"", ""n-acetylglucosamine"", ""phenylalanine"", ""phosphate"", ""phosphoenolpyruvate"", ""proline"", ""pyruvate"", ""serine"", ""succinic acid"", ""tryptophan"", ""tyrosine"", ""urea"", ""valine""]","{""carboxylic_acid_metabolite"": 6, ""free_amino_acid"": 16, ""mono_oligosaccharide"": 3, ""phosphate_metabolite"": 3, ""small_nitrogenous"": 1, ""sulfur_thiol_cofactor"": 1}",free_amino_acid,0.5333333333333333,0.7503289743838134,protein_amino_acid,0.5333333333333333,"{""RamanBioLib"": 7, ""gobbato_raman_metabolites"": 23}",gobbato_raman_metabolites,0.7666666666666667,"{""1064.0"": 1, ""488.0"": 3, ""785.0"": 26}",785.0,0.8666666666666667,3.6666666666666665,"[""csm12"", ""csm03"", ""csm11"", ""csm16"", ""csm15"", ""csm35""]","[0.12309778143083575, 0.10940840611559435, 0.1020435997651681, 0.07442430141134579, 0.07400088895064376, 0.06616503945374601]","[""carboxylic_acid_metabolite.m00"", ""free_amino_acid.m00"", ""free_amino_acid.m01"", ""free_amino_acid.m04"", ""free_amino_acid.m05"", ""phosphate_metabolite.m00""]","[468, 532, 542, 558, 612, 622, 640, 642, 684, 752]","[846.0, 848.0, 850.0, 852.0, 854.0, 856.0, 1328.0, 1428.0]",0.8196850643877259,1.0,"[{""cluster"": 13, ""centroid_distance"": 0.7526914584069123}, {""cluster"": 4, ""centroid_distance"": 0.8473288288412757}, {""cluster"": 0, ""centroid_distance"": 0.8494559355898258}]","[""arginine"", ""tyrosine"", ""urea""]","[{""molecule"": ""(+)-sucrose"", ""nearer_cluster"": 13}, {""molecule"": ""fumarate"", ""nearer_cluster"": 2}]",acquisition_confounded,"source purity 0.77 / excitation purity 0.87 exceed chemistry purity 0.53 and the corpus baselines (0.67 / 0.46); the grouping tracks acquisition, not chemistry"
2,38,55,"[""12-methyltetradecanoic acid"", ""13-methylmyristicacid"", ""14-methylhexadecanoic acid"", ""14-methylpentadecanoic acid"", ""15-methylpalmiticacid"", ""arachidic acid"", ""arachidonic acid"", ""ceramide"", ""elaidic acid"", ""lauric acid"", ""linoleic acid"", ""myristic acid"", ""oleate"", ""palmitic acid"", ""palmitoleic acid"", ""sphingomyelin"", ""stearate"", ""tri-11-eicosenoin"", ""triarachidin"", ""tribehenin"", ""tricaprin"", ""tricaproin"", ""tricaprylin"", ""trielaidin"", ""trierucin"", ""trilaurin"", ""trilinolein"", ""trilinolenin"", ""trimyristin"", ""triolein"", ""tripalmitin"", ""tripalmitolein"", ""tripetroselinin"", ""tristearin"", ""vaccenic acid"", ""\u03b1-linolenic acid"", ""\u03b1-phosphatidylcholine"", ""\u03b1-phosphatidylethanolamine""]","{""acylglycerol"": 17, ""fatty_acid"": 17, ""phospholipid_sphingolipid"": 4}",acylglycerol,0.4473684210526316,0.8708077334468091,lipid,1.0,"{""RamanBioLib"": 35, ""gobbato_raman_metabolites"": 3}",RamanBioLib,0.9210526315789473,"{""1064.0"": 17, ""532.0"": 11, ""785.0"": 10}",1064.0,0.4473684210526316,1.4473684210526316,"[""csm02"", ""csm00"", ""csm01"", ""csm07"", ""csm09"", ""csm10""]","[0.2173880269936427, 0.2067161862486485, 0.14026415219854468, 0.10803421668469733, 0.10775950245929482, 0.09591040151862097]","[""acylglycerol.m00"", ""acylglycerol.m01"", ""acylglycerol.m02"", ""fatty_acid.m00"", ""fatty_acid.m01"", ""fatty_acid.m03"", ""fatty_acid.m04""]","[818, 848, 866, 892, 904, 906, 970, 1062, 1064, 1068]","[1436.0, 1438.0, 1440.0, 1442.0, 1444.0, 1446.0, 1448.0, 1450.0]",0.7475719994901937,1.0,"[{""cluster"": 1, ""centroid_distance"": 0.8941851287312024}, {""cluster"": 12, ""centroid_distance"": 0.894367460268557}, {""cluster"": 5, ""centroid_distance"": 0.9239859152107623}]","[""13-methylmyristicacid"", ""14-methylhexadecanoic acid"", ""14-methylpentadecanoic acid"", ""elaidic acid""]",[],acquisition_confounded,"source purity 0.92 / excitation purity 0.45 exceed chemistry purity 0.45 and the corpus baselines (0.67 / 0.46); the grouping tracks acquisition, not chemistry"
3,5,5,"[""diethylstilbestrol"", ""estradiol"", ""estriol"", ""estrone"", ""ethinylestradiol""]","{""sterol_steroid"": 5}",sterol_steroid,1.0,0.0,lipid,1.0,"{""RamanBioLib"": 5}",RamanBioLib,1.0,"{""532.0"": 5}",532.0,1.0,1.0,"[""csm46"", ""csm45"", ""csm44"", ""csm15"", ""csm22"", ""csm09""]","[0.5108437473968542, 0.46089167367240336, 0.0258266910726125, 0.012855197090989187, 0.01189948651347904, 0.008547633599827223]","[""fatty_acid.m03"", ""free_amino_acid.m04"", ""mono_oligosaccharide.m04"", ""sterol_steroid.m00"", ""sterol_steroid.m01"", ""sterol_steroid.m02""]","[468, 500, 552, 594, 610, 622, 626, 674, 702, 730]","[730.0, 1626.0, 1628.0, 1630.0, 1632.0, 1634.0, 1636.0, 1638.0]",0.421190534772367,0.9999569362109523,"[{""cluster"": 4, ""centroid_distance"": 0.8783012969845988}, {""cluster"": 5, ""centroid_distance"": 0.9258710416758735}, {""cluster"": 12, ""centroid_distance"": 0.9366449054232536}]","[""diethylstilbestrol""]",[],chemically_coherent,100% of members share fine class 'sterol_steroid' (entropy 0.00)
4,4,15,"[""acetyl-coa"", ""coenzyme a"", ""cysteine"", ""methionine""]","{""free_amino_acid"": 2, ""sulfur_thiol_cofactor"": 2}",free_amino_acid,0.5,1.0,protein_amino_acid,0.5,"{""gobbato_raman_metabolites"": 4}",gobbato_raman_metabolites,1.0,"{""785.0"": 4}",785.0,1.0,3.75,"[""csm47"", ""csm13"", ""csm46"", ""csm11"", ""csm40"", ""csm17""]","[0.43302936325178215, 0.31915396701714827, 0.05870298930611636, 0.047767485122789485, 0.03485009280901979, 0.02870882056443011]","[""free_amino_acid.m00"", ""free_amino_acid.m02"", ""free_amino_acid.m06"", ""purine.m00"", ""sterol_steroid.m02"", ""sulfur_thiol_cofactor.m00""]","[452, 500, 526, 534, 538, 542, 552, 594, 624, 632]","[636.0, 638.0, 640.0, 642.0, 720.0, 722.0, 724.0, 726.0]",0.5736828019613486,0.9998880717666658,"[{""cluster"": 1, ""centroid_distance"": 0.8473288288412757}, {""cluster"": 3, ""centroid_distance"": 0.8783012969845988}, {""cluster"": 5, ""centroid_distance"": 0.8842520421527411}]","[""cysteine""]",[],acquisition_confounded,"source purity 1.00 / excitation purity 1.00 exceed chemistry purity 0.50 and the corpus baselines (0.67 / 0.46); the grouping tracks acquisition, not chemistry"
5,4,13,"[""adenine"", ""hypoxanthine"", ""phosphatidylinositol"", ""urate""]","{""phospholipid_sphingolipid"": 1, ""purine"": 3}",purine,0.75,0.8112781244591328,nucleic,0.75,"{""gobbato_raman_metabolites"": 4}",gobbato_raman_metabolites,1.0,"{""785.0"": 4}",785.0,1.0,3.25,"[""csm40"", ""csm37"", ""csm46"", ""csm00"", ""csm15"", ""csm36""]","[0.3972489459992067, 0.3163848368415363, 0.04446500329168786, 0.03312496157351616, 0.03292810991571134, 0.02565458885875435]","[""acylglycerol.m01"", ""fatty_acid.m01"", ""free_amino_acid.m04"", ""phospholipid_sphingolipid.m00"", ""phospholipid_sphingolipid.m01"", ""purine.m00"", ""sterol_steroid.m02""]","[468, 470, 500, 530, 534, 594, 622, 624, 650, 720]","[622.0, 624.0, 718.0, 720.0, 722.0, 724.0, 1036.0, 1038.0]",0.5026567290966312,0.9879112925611319,"[{""cluster"": 4, ""centroid_distance"": 0.8842520421527411}, {""cluster"": 1, ""centroid_distance"": 0.916050072387443}, {""cluster"": 2, ""centroid_distance"": 0.9239859152107623}]","[""phosphatidylinositol""]",[],acquisition_confounded,"source purity 1.00 / excitation purity 1.00 exceed chemistry purity 0.75 and the corpus baselines (0.67 / 0.46); the grouping tracks acquisition, not chemistry"
6,9,25,"[""cytochrome c"", ""cytosine"", ""hemoglobin"", ""horseradish peroxidase"", ""melanin"", ""myoglobin"", ""riboflavin"", ""thymine"", ""uracil""]","{""chromophore_pigment"": 2, ""peptide_protein"": 4, ""pyrimidine"": 3}",peptide_protein,0.4444444444444444,0.965633607142825,protein_amino_acid,0.4444444444444444,"{""RamanBioLib"": 6, ""gobbato_raman_metabolites"": 3}",RamanBioLib,0.6666666666666666,"{""457.9"": 1, ""488.0"": 4, ""785.0"": 4}",488.0,0.4444444444444444,2.7777777777777777,"[""csm34"", ""csm42"", ""csm26"", ""csm06"", ""csm30"", ""csm00""]","[0.2578287067096, 0.21106121246693776, 0.199332800074267, 0.12660354140131655, 0.02367027367801999, 0.01935498898613864]","[""acylglycerol.m01"", ""chromophore_pigment.m01"", ""fatty_acid.m01"", ""peptide_protein.m01"", ""peptide_protein.m05"", ""peptide_protein.m09"", ""pyrimidine.m00""]","[528, 552, 578, 600, 672, 686, 742, 750, 754, 788]","[1364.0, 1366.0, 1368.0, 1582.0, 1584.0, 1586.0, 1588.0, 1590.0]",0.6859113658763487,1.0,"[{""cluster"": 14, ""centroid_distance"": 0.8523905456995498}, {""cluster"": 1, ""centroid_distance"": 0.8563511607045801}, {""cluster"": 0, ""centroid_distance"": 0.9295447510692784}]","[""riboflavin""]",[],unresolved,"fine 44%, broad 44%, within-cluster distance 0.69: no rule applies cleanly"
7,2,2,"[""carotene"", ""\u03b2-carotene""]","{""chromophore_pigment"": 2}",chromophore_pigment,1.0,0.0,redox_cofactor,1.0,"{""RamanBioLib"": 1, ""amino_acid_raman_grounding"": 1}",RamanBioLib,0.5,"{""785.0"": 2}",785.0,1.0,1.0,"[""csm05"", ""csm16"", ""csm18"", ""csm48"", ""csm15"", ""csm01""]","[0.9771018433932479, 0.008408437971932524, 0.004031287386296704, 0.003176739162913665, 0.0030546470133295174, 0.002494295527455169]","[""acylglycerol.m00"", ""chromophore_pigment.m00"", ""free_amino_acid.m04"", ""free_amino_acid.m05"", ""mono_oligosaccharide.m00"", ""sulfur_thiol_cofactor.m01""]","[468, 506, 530, 622, 642, 716, 752, 796, 818, 828]","[1154.0, 1156.0, 1158.0, 1514.0, 1516.0, 1518.0, 1520.0, 1522.0]",0.00024949235862326,0.00024949235862326,"[{""cluster"": 6, ""centroid_distance"": 0.961725629660966}, {""cluster"": 13, ""centroid_distance"": 0.9653074273165619}, {""cluster"": 1, ""centroid_distance"": 0.9668089347444554}]",[],[],unresolved,"only 2 molecules — too small to characterise; reported, not interpreted"
8,1,3,"[""ergothioneine""]","{""sulfur_thiol_cofactor"": 1}",sulfur_thiol_cofactor,1.0,0.0,redox_cofactor,1.0,"{""gobbato_raman_metabolites"": 1}",gobbato_raman_metabolites,1.0,"{""785.0"": 1}",785.0,1.0,3.0,"[""csm48"", ""csm46"", ""csm08"", ""csm40"", ""csm39"", ""csm05""]","[0.9967576136564106, 0.001954483017906214, 0.0015453299797257112, 0.0013133972764113955, 0.000839664819100732, 0.0003940262384777916]","[""chromophore_pigment.m00"", ""fatty_acid.m02"", ""polysaccharide.m01"", ""purine.m00"", ""sterol_steroid.m02"", ""sulfur_thiol_cofactor.m01""]","[498, 500, 506, 534, 594, 624, 716, 722, 730, 826]","[1202.0, 1204.0, 1206.0, 1208.0, 1210.0, 1494.0, 1496.0, 1498.0]",0.0,0.0,"[{""cluster"": 5, ""centroid_distance"": 0.9697699021024606}, {""cluster"": 10, ""centroid_distance"": 0.9732686671937605}, {""cluster"": 1, ""centroid_distance"": 0.9869732220794379}]",[],[],unresolved,"only 1 molecules — too small to characterise; reported, not interpreted"
9,1,3,"[""creatinine""]","{""small_nitrogenous"": 1}",small_nitrogenous,1.0,0.0,energy_metabolism,1.0,"{""gobbato_raman_metabolites"": 1}",gobbato_raman_metabolites,1.0,"{""785.0"": 1}",785.0,1.0,3.0,"[""csm43"", ""csm14"", ""csm19"", ""csm27"", ""csm00"", ""csm23""]","[0.9368461170686645, 0.018651483305904267, 0.013309663657870792, 0.005886683579292898, 0.00522197081658697, 0.0007809996127440532]","[""acylglycerol.m01"", ""fatty_acid.m01"", ""free_amino_acid.m03"", ""mono_oligosaccharide.m01"", ""mono_oligosaccharide.m05"", ""peptide_protein.m02"", ""small_nitrogenous.m00""]","[504, 510, 524, 542, 578, 580, 602, 604, 606, 674]","[604.0, 606.0, 608.0, 670.0, 672.0, 674.0, 676.0, 678.0]",0.0,0.0,"[{""cluster"": 1, ""centroid_distance"": 0.9611378450373372}, {""cluster"": 11, ""centroid_distance"": 0.9809983763108677}, {""cluster"": 13, ""centroid_distance"": 0.9824625325805002}]",[],[],unresolved,"only 1 molecules — too small to characterise; reported, not interpreted"
