K,n_algorithms,n_stable,mean_bootstrap_ari,mean_silhouette,mean_survival,mean_neighbour_preservation
2,4,2,0.6774383868822991,0.07791350591190295,0.7793727528370226,0.9756493506493507
3,4,2,0.7331943357950725,0.10108184556122571,0.7708265828582932,0.9340909090909091
4,4,2,0.7242580131367987,0.116689337635799,0.8041800065171388,0.9061688311688312
5,4,1,0.6577743494384027,0.13720482818832253,0.7478443053640667,0.8772727272727273
6,4,2,0.6101562653767552,0.15930315890345978,0.7325370969239196,0.8376623376623377
8,4,3,0.6847526145711902,0.18994093112371307,0.7545686634492063,0.8207792207792207
10,4,2,0.679109605663358,0.2295946491533773,0.7508297438778173,0.7922077922077922
12,4,1,0.6432789260336395,0.25833694786611644,0.7351851652554373,0.7636363636363637
14,4,2,0.6520534568334924,0.2849033724656215,0.7296741119960506,0.7324675324675325
16,4,2,0.6732655734926266,0.3071250786254415,0.7295713356546424,0.7100649350649351
18,4,1,0.6816298399207088,0.31221378688222395,0.7386167304453757,0.6977272727272728
20,4,2,0.7102372811896374,0.3512903900057218,0.7531026880141072,0.6863636363636364
24,4,2,0.7468844672509349,0.40644111982523934,0.7767559531367221,0.6623376623376623
30,4,2,0.7530078804825412,0.4509620433699225,0.808208788344449,0.6233766233766234
