algorithm,K,usable,n_clusters,n_unassigned,silhouette,calinski_harabasz,davies_bouldin,membership_entropy,neighbour_preservation,bootstrap_ari_mean,bootstrap_ari_sd,consensus_dispersion,mean_coassignment,k_realised_mean,k_realised_sd,min_cluster_survival,mean_cluster_survival,n_clusters_unstable
ward,2,True,2,0,0.1009761975436121,12.4169212809152,2.177457711494865,0.6082129160798541,0.9805194805194806,0.9390417862479659,0.2378733743071899,0.9180318433217494,0.7460918539051136,2.0,0.0,0.8816073264716063,0.9245194691226617,0
ward,3,True,3,0,0.13521125789938968,11.575275709243739,2.459143898512273,0.7434869130611262,0.9389610389610389,0.8115471479818638,0.10898479288420067,0.7694659179565653,0.5650404272204417,3.0,0.0,0.6479292826103467,0.8536395221216212,0
ward,4,True,4,0,0.16717818571061105,11.418765277390865,1.8903882672547399,0.662955697270588,0.9363636363636363,0.9090608441535872,0.08078819499275544,0.8915366658440217,0.4909227704910301,4.0,0.0,0.8740676623213389,0.9389852998800507,0
ward,5,True,5,0,0.19471022204839133,10.393331926126436,1.7471760958333031,0.6527239115501363,0.9298701298701298,0.7965036743791594,0.14730838557880283,0.7583509136211973,0.41835836038413443,5.0,0.0,0.4649477231376894,0.8187584355785379,1
ward,6,True,6,0,0.21116294384330447,9.831698964472425,2.4122608221265955,0.8047071566937517,0.8480519480519482,0.6189746406121912,0.14714178503260758,0.6852567013365137,0.32307909512868566,6.0,0.0,0.5032130377953644,0.7646932574202446,0
ward,8,True,8,0,0.24119811012295317,9.200464834388063,2.268111745529035,0.8459196297513847,0.8233766233766233,0.7243293835740653,0.12187181821750348,0.7520240050654797,0.21722136850288787,8.0,0.0,0.6557915205369894,0.803396757141537,0
ward,10,True,10,0,0.27618229248210674,8.76446588255425,2.0463843281812,0.8337583845565311,0.8012987012987013,0.6745392746718164,0.11922337848649035,0.779716506404457,0.16556979625970203,10.0,0.0,0.42359734284139244,0.7452705943716871,1
ward,12,True,12,0,0.31255828909398836,8.545469535980587,2.0215797655373673,0.8665523384800444,0.7792207792207791,0.6562090308526118,0.10743622655361797,0.826188103003801,0.13112600403794283,12.0,0.0,0.6100173623184382,0.7721447296745855,0
ward,14,True,14,0,0.34403824106637215,8.438735881400733,1.9418263897318746,0.8870267078031386,0.7571428571428573,0.6772570431315477,0.091392093219739,0.8447781110168192,0.10805588290857174,14.0,0.0,0.6106552723567947,0.766396635548705,0
ward,16,True,16,0,0.3560307251875638,8.366543185707982,1.84386616633728,0.8902383385292375,0.7207792207792207,0.6307715944585555,0.0861520110529065,0.8623155764778757,0.09144324850413059,16.0,0.0,0.5678762169203345,0.7375475405910357,0
ward,18,True,18,0,0.3361956514112904,8.350076452908658,1.8470730262981934,0.9261625247834748,0.6714285714285715,0.619824934383509,0.08627241759113383,0.8836883108986513,0.07658225796766194,18.0,0.0,0.49857356532356534,0.7185010354528266,1
ward,20,True,20,0,0.3653640728402148,8.400942940042677,1.7958834468763,0.9378663736124575,0.6519480519480519,0.6334681527650371,0.07534208492898235,0.898721506820275,0.0650878385676417,20.0,0.0,0.5076241582491583,0.7241400177504959,0
ward,24,True,24,0,0.409479703750936,8.719839560539242,1.671714161828285,0.9506983826626885,0.6142857142857142,0.6271549637807393,0.05000426015596414,0.9258191524389842,0.04940850136259549,24.0,0.0,0.3993254562614538,0.7287653714796325,1
ward,30,True,30,0,0.4853676723363533,9.546122838489127,1.4860041950588811,0.9643107113070719,0.5870129870129871,0.7083427962088898,0.05161141668776586,0.9598429704502809,0.03571338242274469,30.0,0.0,0.3429584301362552,0.7689648966785164,2
average,2,True,2,0,0.06748422879589062,2.2340617448511346,0.9502986626783972,0.1000009430103235,0.9896103896103896,0.31655809108951394,0.47425364487779414,0.9295969119998043,0.9707412188013509,2.0,0.0,0.13666006195537334,0.5580415694392251,1
average,3,True,3,0,0.07284591879395291,2.572192052414658,1.5218764383347514,0.1724242078109765,0.9701298701298702,0.6214796052460978,0.3063914227251142,0.8953525301592845,0.9316927487837097,3.0,0.0,0.37731330724994605,0.6234794581472959,1
average,4,True,4,0,0.08193578549935336,3.0363708150462285,2.554453795021442,0.3741074789340876,0.9194805194805197,0.3973936855482735,0.19744272337701965,0.7064996185655028,0.8477932433844808,4.0,0.0,0.2432742401303772,0.6362138000389942,1
average,5,True,5,0,0.08426555142002864,2.6965041800517504,2.069208845040591,0.3313139276960918,0.9194805194805197,0.5648035059949237,0.3261244252798468,0.5148780960613715,0.7186046264492529,5.0,0.0,0.43540175651742546,0.6663194841285763,1
average,6,True,6,0,0.08938535069480971,2.598294951150507,1.9111409586521446,0.32558339164376376,0.9155844155844156,0.4792777848853175,0.28835860513634587,0.4972033795763732,0.5570070749133764,6.0,0.0,0.4802083333333334,0.6837562399949269,1
average,8,True,8,0,0.12993501817317377,3.66477266064612,1.9172581410674205,0.5578144351397865,0.8974025974025973,0.7326964626850252,0.20979830457095172,0.6685402037022126,0.354459840744687,8.0,0.0,0.5900000000000001,0.7846645795571319,0
average,10,True,10,0,0.1830521905794711,4.402480914470158,1.7569221500852312,0.6733207282723092,0.8779220779220779,0.7931017761968199,0.14355425170539537,0.76256672231404,0.25578220505515553,10.0,0.0,0.7506789044289044,0.8548932459491653,0
average,12,True,12,0,0.2209682417763266,4.869663384056166,1.696246738162893,0.7283588956601714,0.8636363636363636,0.805485596361474,0.11773822497279794,0.830920004674209,0.18903148117907168,12.0,0.0,0.46291421534425803,0.8199276010761404,1
average,14,True,14,0,0.2518615789268083,5.079367730938324,1.6414815061097254,0.7786859110088128,0.8337662337662336,0.7512322406771803,0.11181296533901673,0.8509931178484945,0.1588455832277408,14.0,0.0,0.5806940428328826,0.7987650273098661,0
average,16,True,16,0,0.2927947298066006,5.468678013946087,1.6110454875820346,0.8009500736909037,0.8272727272727273,0.7734929212463255,0.11977579174361676,0.8733031353074201,0.12908477468487423,16.0,0.0,0.5046590215340215,0.8137637408423509,0
average,18,True,18,0,0.2930415230158348,5.213320267731031,1.499559642414391,0.78887144764977,0.8181818181818182,0.7781372301130923,0.09663029046716952,0.9119632297112217,0.10735927146357681,18.0,0.0,0.4708066178654415,0.8384865162071763,1
average,20,True,20,0,0.3496983828829377,6.242446362784125,1.370986707502437,0.8607380998215867,0.7948051948051948,0.8578964601764414,0.0838911869229138,0.9353931939482044,0.09335233596236586,20.0,0.0,0.6727666922020878,0.884062014973175,0
average,24,True,24,0,0.4137834203047927,7.0224134649139565,1.250760702012571,0.8791019249533879,0.7649350649350649,0.9302148054461238,0.04638231691923489,0.9711325787543715,0.07223790568772206,24.0,0.0,0.7164935064935065,0.9143187593965619,0
average,30,True,30,0,0.4327642606008401,6.99371641780527,1.1329609187923553,0.8742047124718996,0.7285714285714285,0.9090671656883309,0.02923561394103964,0.9796638439173871,0.057368775623029764,30.0,0.0,0.5504033140062552,0.9160140867211948,0
complete,2,True,2,0,0.040863590463114566,3.588933868617252,1.4267794143238752,0.173781322679433,0.9623376623376623,0.5963426709985729,0.2830908737265465,0.8228077236101743,0.897534278627502,2.0,0.0,0.5491309600813216,0.7587105216781775,0
complete,3,True,3,0,0.04880867282588994,3.5670701866034413,2.62253702016894,0.34208917153677276,0.9233766233766235,0.5820316868659658,0.2754166328177242,0.6564520998115558,0.7993245618158059,3.0,0.0,0.4951345264212911,0.6585440823794673,1
complete,4,True,4,0,0.037196382711630206,3.9090958679989147,2.53419338502499,0.414457682664281,0.8909090909090909,0.6314826785293964,0.25164859516299504,0.5665968965274225,0.6908008199879241,4.0,0.0,0.4953079903022564,0.6761290746429811,1
complete,5,True,5,0,0.07377139358902786,5.259610198881953,2.430085595839548,0.5366558188744974,0.868831168831169,0.517554131716617,0.2515361250540054,0.4212497571833832,0.520884714056103,5.0,0.0,0.4959484665183343,0.6572066378163441,1
complete,6,True,6,0,0.12895858617442493,6.923056654261552,2.4713037272815073,0.7066536372923814,0.8506493506493507,0.6123854918417214,0.2056545412368101,0.5040769607301883,0.39563249084309376,6.0,0.0,0.4963483830691109,0.6586246654229294,1
complete,8,True,8,0,0.14117503142584634,5.889835936405787,2.4236287288848937,0.7263696010634383,0.8012987012987013,0.5527447863571014,0.18584650066430897,0.5443360591449751,0.2728946643278868,8.0,0.0,0.414947675277533,0.6322292784603432,1
complete,10,True,10,0,0.1641850660182383,5.712241949689362,2.5406071706410915,0.8407604074480824,0.7272727272727273,0.5141771586417239,0.15196523848720345,0.6595927890408287,0.18158486820833722,10.0,0.0,0.41278855300759876,0.6105006248016217,2
complete,12,True,12,0,0.18310063531607926,5.557689026994187,2.4431065948023822,0.8824959729477933,0.6883116883116883,0.5214648732457232,0.11915053949007491,0.7745624931975374,0.1223245110619694,12.0,0.0,0.4305551976400236,0.6160635468445916,3
complete,14,True,14,0,0.24716755947709662,6.5271651778705095,2.318445807108561,0.9239067941008902,0.6766233766233767,0.6081479251582629,0.0943834092141547,0.8557787882454013,0.09168819411217137,14.0,0.0,0.35433752061631274,0.6529702258844036,3
complete,16,True,16,0,0.2738073880915154,6.585082605225695,2.002856167924519,0.9526610310402899,0.6662337662337662,0.7073860128799276,0.09339340480955717,0.8949706465773465,0.07830098793828345,16.0,0.0,0.46142325403354817,0.6579190565960449,3
complete,18,True,18,0,0.3015760950574167,6.821098713358324,1.8684341968966929,0.9513664688091421,0.6519480519480519,0.736831051038959,0.08155775922504993,0.9189035029617912,0.07019821900055671,18.0,0.0,0.5002444083694083,0.6891367172095649,0
complete,20,True,20,0,0.32844552223558515,6.833915194782798,1.7250370165546436,0.9359361870291896,0.6441558441558443,0.755018953339871,0.07720568508228165,0.9355567647618179,0.06403624530777553,20.0,0.0,0.49813032883924835,0.7154475986246276,1
complete,24,True,24,0,0.3826986375780607,7.304646935876802,1.4789178912734886,0.9438418601145863,0.6402597402597403,0.8103503278241732,0.08555397236223547,0.9491915060353648,0.05468529017351293,24.0,0.0,0.5614583333333333,0.7597094084530588,0
complete,30,True,30,0,0.4111916626182523,7.855079603848727,1.3081387803009532,0.9493685244059985,0.5987012987012987,0.776170954348335,0.05324406356491919,0.9609349233413262,0.04244194461265442,30.0,0.0,0.5743750000000001,0.8065658943956074,0
spectral,2,True,2,0,0.10233000684499449,12.471459619471487,2.2292122037654645,0.6242741010130389,0.97012987012987,0.8578109991931434,0.3615749686648999,0.7851239587373631,0.7196222490798726,2.0,0.0,0.8289785749725389,0.8762194511080259,0
spectral,3,True,3,0,0.1474615327256703,11.852227712772043,2.796276374833672,0.8414506868346092,0.903896103896104,0.9177189030863626,0.09587681938433636,0.8748027121283936,0.4683839720516601,3.0,0.0,0.8912751790183047,0.9476432687847884,0
spectral,4,True,4,0,0.18044699662160135,11.612581239279185,2.2059817051133095,0.7699613518633843,0.8779220779220779,0.9590948443159378,0.04931829747922115,0.9377924488871909,0.42892784086430485,4.0,0.0,0.9298129995004996,0.9653918515065294,0
spectral,5,True,5,0,0.19607214569584225,10.458681628773324,2.8215631539825865,0.8894400866358431,0.7909090909090908,0.7522360856629107,0.1419759659409213,0.7354960798326284,0.302314010216043,5.0,0.0,0.6289989350818919,0.8490926639328084,0
spectral,6,True,6,0,0.20770575490129997,9.914942584943969,2.664288358815218,0.8985067035988111,0.7363636363636362,0.7299871441677903,0.09249012080180485,0.7643159207750437,0.2467847087494627,6.0,0.0,0.574299367891296,0.8230742248575771,0
spectral,8,True,8,0,0.24745556477287908,9.246419950584974,2.483020151327791,0.9094603875707274,0.761038961038961,0.729239825668569,0.09928839092621482,0.8024288214788905,0.18200092615082666,8.0,0.0,0.5921883432865874,0.7979840386378129,0
spectral,10,True,10,0,0.29495904753369306,9.151023550769896,2.246842980560414,0.9179172785231278,0.7623376623376624,0.7346202131430719,0.111371314012933,0.8328507504374458,0.13477092510570338,10.0,0.0,0.5496055754439901,0.792654510388795,0
spectral,12,True,12,0,0.3167206252780716,8.785593798493124,2.291248203452937,0.9467823280404387,0.7233766233766235,0.5899562036747487,0.07439142297652597,0.8477759369988376,0.10777829933506156,12.0,0.0,0.4425209381460979,0.7326047834264316,1
spectral,14,True,14,0,0.2965461103922089,8.445181934330847,2.102029846254608,0.9331380347201715,0.6623376623376623,0.5715766183669786,0.08161470125610518,0.8608789411077111,0.09120982887882556,14.0,0.0,0.49643406568380605,0.7005645592412277,1
spectral,16,True,16,0,0.3058674714160864,8.231509855810659,1.9773789592715871,0.9356596639611288,0.625974025974026,0.5814117653856979,0.07176763787359772,0.8765432951046174,0.07730776165765019,16.0,0.0,0.5380641286139396,0.709055004589138,0
spectral,18,True,18,0,0.31804187804435397,8.232959028136655,1.8423605915896308,0.9341409984735964,0.6493506493506493,0.591726144147275,0.08702233580952595,0.8917745755875605,0.06737808266926477,18.0,0.0,0.5111818043068043,0.7083426529119349,0
spectral,20,True,20,0,0.3616535820641497,8.333393211108877,1.878464563033407,0.9618808548523974,0.6545454545454545,0.5945655584771999,0.06711669510495161,0.9085449269984305,0.05860413202274443,20.0,0.0,0.38747214220281123,0.6887611207081304,3
spectral,24,True,24,0,0.4198027176671679,8.868839420697077,1.6661392510327542,0.9595883699136821,0.6298701298701299,0.6198177719527036,0.0680022300019226,0.9309984795761455,0.04611865043516947,24.0,0.0,0.41592698602567013,0.7042302732176352,3
spectral,30,True,30,0,0.47452457792424446,9.312892978024106,1.5370774328350547,0.968015239278026,0.5792207792207792,0.6184506056846089,0.05723042429431068,0.9510388994520467,0.03550684531901225,30.0,0.0,0.37237728605001286,0.7412902755824774,3
