kernel,temperature,usable,mean_entropy,sd_entropy,reproducibility,neighbour_preservation_k10,effective_rank,mean_bridge_score,fraction_degenerate,fraction_one_hot
softmax_cosine,0.02,True,0.005345836465931188,0.030583980777771563,0.9595903462711196,0.33653333333333335,9.00792426734495,0.012908415065248022,0.0,0.9573333333333334
softmax_cosine,0.05,True,0.04116751958821129,0.08640830206173732,0.9611662168597817,0.3965333333333333,9.102035075781606,0.04461605034312839,0.0,0.72
softmax_cosine,0.1,True,0.24107510529724777,0.24832784570443722,0.9632726964056954,0.4053333333333333,9.758613959470726,0.18952665357149523,0.0,0.144
softmax_cosine,0.2,True,0.6760788572362447,0.21841756397548145,0.972739095363184,0.40506666666666663,11.247555802687739,0.5420977262577807,0.005333333333333333,0.0
softmax_cosine,0.5,True,0.9651965022023413,0.028377736689735564,0.992152687812676,0.4186666666666667,12.110082449936863,0.8894359964447048,0.376,0.0
softmax_cosine,1.0,True,0.9938146298143404,0.004465666259796554,0.9983889929193043,0.4314666666666666,11.904648498967022,0.959668797672287,1.0,0.0
gaussian,0.02,True,1.5746782837664713e-05,0.0003023264105700702,0.9552620012303901,0.23973333333333335,9.013193229543328,1.2303115971635136e-05,0.0,1.0
gaussian,0.05,True,0.0011377756248334378,0.013320995890078955,0.9573055572336515,0.24026666666666668,8.985608260742683,0.00237908679604904,0.0,0.9893333333333333
gaussian,0.1,True,0.00429048076970737,0.027493227181798936,0.9594042161643682,0.3018666666666667,9.000498324718686,0.010459967027364162,0.0,0.976
gaussian,0.2,True,0.04622120676796138,0.08043313146101318,0.9624304000433175,0.4026666666666667,9.069067922886566,0.05463651284782728,0.0,0.6453333333333333
gaussian,0.5,True,0.938577492089443,0.02709994096648098,0.9863853227652072,0.43626666666666664,10.886581467207177,0.8476178311349757,0.08266666666666667,0.0
gaussian,1.0,True,0.9977716129492301,0.0008168883824779832,0.9992462893745503,0.4416,10.838799987372896,0.9787592712863112,1.0,0.0
cosine_power,0.02,True,0.002073981734091155,0.01821045839424555,0.9581973219151592,0.2424,8.984502089770661,0.004638583446170312,0.0,0.984
cosine_power,0.05,True,0.0048861923795794964,0.028743017387392204,0.9594887248228392,0.288,8.998315441241553,0.011668168001379386,0.0,0.9573333333333334
cosine_power,0.1,True,0.009990217327415571,0.03961321035601915,0.9606800507378278,0.34933333333333333,8.988631144233793,0.022729921041039942,0.0,0.9333333333333333
cosine_power,0.2,True,0.02785777957864565,0.06273908980340778,0.9631529306894325,0.404,8.97394452221135,0.05073881070742476,0.0,0.7653333333333333
cosine_power,0.5,True,0.17436527970045754,0.13603784108438965,0.9663924375648381,0.42986666666666673,9.302187597457776,0.2069456202865762,0.0,0.064
cosine_power,1.0,True,0.5204018195430355,0.13581522162302284,0.9630704056071197,0.44586666666666663,10.558583116932114,0.5410771379658557,0.0,0.0
inverse_distance,0.02,True,0.00369773016529837,0.025868761664519173,0.9593756359966239,0.2949333333333333,9.00297260269835,0.00898721290578288,0.0,0.9786666666666667
inverse_distance,0.05,True,0.020597097380553122,0.061163209061258376,0.959837404461604,0.3736,9.062427237515323,0.025358111714728945,0.0,0.8186666666666667
inverse_distance,0.1,True,0.12740967199553463,0.2120222188272625,0.9601239273425777,0.3925333333333333,9.45910061776636,0.10453293201849177,0.0,0.5626666666666666
inverse_distance,0.2,True,0.3915934003492737,0.3346414778213069,0.9651157085874967,0.38826666666666665,10.276828201382003,0.3080686306971036,0.0026666666666666666,0.176
inverse_distance,0.5,True,0.7975906178617393,0.27930612276376765,0.9785568584327401,0.39680000000000004,11.834661672758013,0.692141912567412,0.20266666666666666,0.058666666666666666
inverse_distance,1.0,True,0.9155950211558196,0.2160797397009708,0.9904951505667522,0.3983999999999999,10.372556015028822,0.8515693368446603,0.6133333333333333,0.024
wasserstein,0.02,True,0.008395115094553412,0.03562605908370783,0.7331349908640081,0.16693333333333335,10.963583858505084,0.01770838180815972,0.0,0.9226666666666666
wasserstein,0.05,True,0.021429628834940595,0.059943746645293124,0.7423578131155888,0.18133333333333335,10.894775267846608,0.0486019413844946,0.0,0.8506666666666667
wasserstein,0.1,True,0.03745078644082211,0.0797392643529801,0.7515515270586222,0.19866666666666666,10.839708445073713,0.08960481657446431,0.0,0.768
wasserstein,0.2,True,0.06554624827699841,0.10178905092469104,0.7648211559397218,0.22266666666666668,10.809553560940667,0.15224227991826123,0.0,0.592
wasserstein,0.5,True,0.1630714264262728,0.13968446543608473,0.7928804376092576,0.236,10.32067742325854,0.31137120607841695,0.0,0.19466666666666665
wasserstein,1.0,True,0.3261255124959141,0.14391722567137163,0.8304413264720975,0.2554666666666667,9.233547049649207,0.5252110977033,0.0,0.0
