K,silhouette,largest_cluster,smallest_cluster,split_gain
2,0.06748422879589062,152,2,
3,0.07284591879395291,148,2,0.005361689998062288
4,0.08193578549935336,132,2,0.009089866705400448
5,0.08426555142002864,132,1,0.0023297659206752835
6,0.08938535069480971,132,1,0.005119799274781067
7,0.13740786991784612,89,1,0.04802251922303641
8,0.12993501817317377,88,1,-0.007472851744672354
9,0.13444736853192987,88,1,0.0045123503587561065
10,0.1830521905794711,55,1,0.04860482204754124
11,0.1973504472484227,46,1,0.014298256668951598
12,0.2209682417763266,46,1,0.023617794527903885
