cluster,fine_class,in_this_cluster,class_total,split_across_clusters,other_clusters,dominant_class_here
0,carboxylic_acid_metabolite,2,8,2,1,polysaccharide
0,mono_oligosaccharide,1,20,3,1;13,polysaccharide
0,peptide_protein,1,30,4,6;14;15,polysaccharide
1,carboxylic_acid_metabolite,6,8,2,0,free_amino_acid
1,free_amino_acid,16,18,2,4,free_amino_acid
1,mono_oligosaccharide,3,20,3,0;13,free_amino_acid
1,small_nitrogenous,1,2,2,9,free_amino_acid
1,sulfur_thiol_cofactor,1,4,3,4;8,free_amino_acid
2,phospholipid_sphingolipid,4,5,2,5,acylglycerol
3,sterol_steroid,5,10,2,12,sterol_steroid
4,free_amino_acid,2,18,2,1,free_amino_acid
4,sulfur_thiol_cofactor,2,4,3,1;8,free_amino_acid
5,phospholipid_sphingolipid,1,5,2,2,purine
5,purine,3,5,2,10,purine
6,chromophore_pigment,2,4,2,7,peptide_protein
6,peptide_protein,4,30,4,0;14;15,peptide_protein
7,chromophore_pigment,2,4,2,6,chromophore_pigment
8,sulfur_thiol_cofactor,1,4,3,1;4,sulfur_thiol_cofactor
9,small_nitrogenous,1,2,2,1,small_nitrogenous
10,purine,2,5,2,5,purine
12,sterol_steroid,5,10,2,3,sterol_steroid
13,mono_oligosaccharide,16,20,3,0;1,mono_oligosaccharide
14,peptide_protein,24,30,4,0;6;15,peptide_protein
15,peptide_protein,1,30,4,0;6;14,peptide_protein
