perturbation,level,programme_cosine,argmax_stability,entropy_shift
gaussian_noise,0.01,0.9638893116946872,0.928,-0.028977304637271772
gaussian_noise,0.02,0.9640359214594132,0.9253333333333333,-0.026895669221762897
gaussian_noise,0.05,0.9643957698186917,0.9253333333333333,-0.016411363829008874
gaussian_noise,0.1,0.9635279671499449,0.928,0.008106209213468718
gaussian_noise,0.2,0.9529558541489911,0.9093333333333333,0.05955361229445688
baseline_drift,0.05,0.9639072181087719,0.9306666666666666,-0.02608596881773073
baseline_drift,0.1,0.9634701074082083,0.9306666666666666,-0.019767749642805255
baseline_drift,0.2,0.9598092837162991,0.92,-0.007671205789263724
baseline_drift,0.4,0.9459333312374087,0.888,0.009614844745699402
baseline_drift,0.8,0.9015296682561262,0.8,0.026352752814816638
fluorescence,0.05,0.9645055402834624,0.9253333333333333,-6.612606244782437e-05
fluorescence,0.1,0.9608215253118833,0.912,0.03019974497537481
fluorescence,0.2,0.941676216517104,0.8853333333333333,0.07463034701483606
fluorescence,0.4,0.8837115109871456,0.7813333333333333,0.11826264775073247
fluorescence,0.8,0.785835195547667,0.4053333333333333,0.14028419480552778
band_broadening,1.0,0.963865204259098,0.928,-0.029505919412071036
band_broadening,2.0,0.9641982337630718,0.928,-0.02784801296925743
band_broadening,4.0,0.9651664324857527,0.928,-0.020128617285515626
band_broadening,8.0,0.9654299089148799,0.936,0.0056795582382237475
band_broadening,16.0,0.9499987208030961,0.9013333333333333,0.055935495418444225
peak_dropout,0.05,0.9628375796574156,0.9253333333333333,-0.025375374241080606
peak_dropout,0.1,0.9623866559718993,0.9253333333333333,-0.023183166004306033
peak_dropout,0.2,0.9621233810468541,0.9306666666666666,-0.020397280861207068
peak_dropout,0.4,0.9588284576658205,0.928,-0.009831700331877746
peak_dropout,0.6,0.9536870908081385,0.912,0.003096921881915571
