chemistry_axis,rmse,explained_variance,mean_evidence
acylglycerol,0.07159265142834188,0.8972776961700583,0.12619520241621712
carboxylic_acid_metabolite,0.08449384680198647,0.8202724181187627,0.16015561275282067
chromophore_pigment,0.12428388155066306,0.18219930614128588,0.06365478094066636
fatty_acid,0.07295222959393248,0.8986281567243646,0.14247625614365086
free_amino_acid,0.03644589918488214,0.9737195816219087,0.21007244962223798
mono_oligosaccharide,0.06991647482292682,0.8482917081945263,0.14045118650655047
nucleic_acid_polymer,0.12054469369116283,0.0636588428825603,0.034707968739914656
peptide_protein,0.025422056977980147,0.9878821102311058,0.19486065384838233
phosphate_metabolite,0.0806077441595279,0.8204579826746091,0.0907694688289878
phospholipid_sphingolipid,0.11313292086662191,0.6468570499287329,0.09964481394643664
polysaccharide,0.10415336167300769,0.5574060439009283,0.07977265954368994
purine,0.031075744899663436,0.971038843535132,0.081130903585473
pyrimidine,0.026927921875257207,0.9810866008506703,0.07911232057636636
small_nitrogenous,0.11820725384036337,0.19623713312710434,0.058821631122923594
sterol_steroid,0.03382012145240878,0.9601325947477056,0.0908430937939558
sulfur_thiol_cofactor,0.03141585548033149,0.9728763171883571,0.09023651766786248
