true_class,n,mean_move,n_helped,n_hurt,top1_csm,top1_chem,delta_top1
acylglycerol,23,0.0,0,0,0.21739130434782608,0.21739130434782608,0.0
carboxylic_acid_metabolite,23,0.0,0,0,0.782608695652174,0.782608695652174,0.0
chromophore_pigment,10,0.0,0,0,0.8,0.8,0.0
fatty_acid,27,0.0,0,0,0.2222222222222222,0.2222222222222222,0.0
free_amino_acid,75,0.0,0,0,0.88,0.88,0.0
mono_oligosaccharide,43,0.0,0,0,0.4883720930232558,0.4883720930232558,0.0
nucleic_acid_polymer,3,0.0,0,0,0.0,0.0,0.0
peptide_protein,80,0.0,0,0,0.4625,0.4625,0.0
phosphate_metabolite,11,0.0,0,0,0.9090909090909091,0.9090909090909091,0.0
phospholipid_sphingolipid,8,0.0,0,0,0.375,0.375,0.0
polysaccharide,10,0.0,0,0,0.7,0.7,0.0
purine,17,0.0,0,0,1.0,1.0,0.0
pyrimidine,9,0.0,0,0,0.8888888888888888,0.8888888888888888,0.0
small_nitrogenous,7,0.0,0,0,0.8571428571428571,0.8571428571428571,0.0
sterol_steroid,13,0.0,0,0,0.23076923076923078,0.23076923076923078,0.0
sulfur_thiol_cofactor,16,0.0,0,0,0.75,0.75,0.0
