molecule,true_class,fold,rank_csm,rank_chem,moved,helped,hurt
(+)-arabinose,mono_oligosaccharide,0,154,154,0,False,False
(+)-fucose,mono_oligosaccharide,1,154,154,0,False,False
(+)-galactosamine,mono_oligosaccharide,0,154,154,0,False,False
(+)-galactose,mono_oligosaccharide,3,3,3,0,False,False
(+)-galactose,mono_oligosaccharide,3,1,1,0,False,False
(+)-galactose,mono_oligosaccharide,3,2,2,0,False,False
(+)-galactose,mono_oligosaccharide,3,1,1,0,False,False
(+)-glucose,mono_oligosaccharide,0,2,2,0,False,False
(+)-glucose,mono_oligosaccharide,0,2,2,0,False,False
(+)-glucose,mono_oligosaccharide,0,2,2,0,False,False
(+)-glucose,mono_oligosaccharide,0,2,2,0,False,False
(+)-glucose,mono_oligosaccharide,0,2,2,0,False,False
(+)-glucose,mono_oligosaccharide,0,7,7,0,False,False
(+)-lactose,mono_oligosaccharide,2,3,3,0,False,False
(+)-lactose,mono_oligosaccharide,2,3,3,0,False,False
(+)-maltose,mono_oligosaccharide,1,154,154,0,False,False
(+)-mannose,mono_oligosaccharide,4,1,1,0,False,False
(+)-mannose,mono_oligosaccharide,4,1,1,0,False,False
(+)-mannose,mono_oligosaccharide,4,1,1,0,False,False
(+)-mannose,mono_oligosaccharide,4,1,1,0,False,False
(+)-raffinose pentahydrate,mono_oligosaccharide,2,154,154,0,False,False
(+)-sucrose,mono_oligosaccharide,4,154,154,0,False,False
(+)-trehalose,mono_oligosaccharide,4,154,154,0,False,False
(+)-xylose,mono_oligosaccharide,4,1,1,0,False,False
(+)-xylose,mono_oligosaccharide,4,1,1,0,False,False
(-)-arabinose,mono_oligosaccharide,0,154,154,0,False,False
(-)-fructose,mono_oligosaccharide,2,1,1,0,False,False
(-)-fructose,mono_oligosaccharide,2,1,1,0,False,False
(-)-fructose,mono_oligosaccharide,2,1,1,0,False,False
(-)-fructose,mono_oligosaccharide,2,1,1,0,False,False
(-)-fructose,mono_oligosaccharide,2,1,1,0,False,False
(-)-ribose,mono_oligosaccharide,1,154,154,0,False,False
12-methyltetradecanoic acid,fatty_acid,2,154,154,0,False,False
13-methylmyristicacid,fatty_acid,4,154,154,0,False,False
14-methylhexadecanoic acid,fatty_acid,2,154,154,0,False,False
14-methylpentadecanoic acid,fatty_acid,4,154,154,0,False,False
15-methylpalmiticacid,fatty_acid,0,154,154,0,False,False
2-deoxy-d-ribose,mono_oligosaccharide,2,154,154,0,False,False
a-dna,nucleic_acid_polymer,0,154,154,0,False,False
acetoacetate,carboxylic_acid_metabolite,3,1,1,0,False,False
acetoacetate,carboxylic_acid_metabolite,3,1,1,0,False,False
acetoacetate,carboxylic_acid_metabolite,3,1,1,0,False,False
acetoacetate,carboxylic_acid_metabolite,3,1,1,0,False,False
acetyl-coa,sulfur_thiol_cofactor,0,1,1,0,False,False
acetyl-coa,sulfur_thiol_cofactor,0,1,1,0,False,False
acetyl-coa,sulfur_thiol_cofactor,0,2,2,0,False,False
acetyl-coa,sulfur_thiol_cofactor,0,2,2,0,False,False
adenine,purine,0,1,1,0,False,False
adenine,purine,0,1,1,0,False,False
adenine,purine,0,1,1,0,False,False
adenine,purine,0,1,1,0,False,False
alanine,free_amino_acid,4,1,1,0,False,False
alanine,free_amino_acid,4,1,1,0,False,False
alanine,free_amino_acid,4,1,1,0,False,False
alanine,free_amino_acid,4,1,1,0,False,False
alanine,free_amino_acid,4,3,3,0,False,False
albumin,peptide_protein,3,1,1,0,False,False
albumin,peptide_protein,3,1,1,0,False,False
albumin,peptide_protein,3,1,1,0,False,False
albumin,peptide_protein,3,1,1,0,False,False
albumin,peptide_protein,3,2,2,0,False,False
albumin,peptide_protein,3,2,2,0,False,False
albumin,peptide_protein,3,1,1,0,False,False
amylopectin,polysaccharide,0,1,1,0,False,False
amylopectin,polysaccharide,0,1,1,0,False,False
amylose,polysaccharide,1,1,1,0,False,False
amylose,polysaccharide,1,1,1,0,False,False
arachidic acid,fatty_acid,0,154,154,0,False,False
arachidonic acid,fatty_acid,1,154,154,0,False,False
arginine,free_amino_acid,0,1,1,0,False,False
arginine,free_amino_acid,0,1,1,0,False,False
arginine,free_amino_acid,0,1,1,0,False,False
arginine,free_amino_acid,0,1,1,0,False,False
arginine,free_amino_acid,0,2,2,0,False,False
ascorbate,carboxylic_acid_metabolite,2,1,1,0,False,False
ascorbate,carboxylic_acid_metabolite,2,1,1,0,False,False
ascorbate,carboxylic_acid_metabolite,2,1,1,0,False,False
ascorbate,carboxylic_acid_metabolite,2,1,1,0,False,False
asparagine,free_amino_acid,0,154,154,0,False,False
aspartate,free_amino_acid,4,2,2,0,False,False
aspartate,free_amino_acid,4,1,1,0,False,False
b-dna,nucleic_acid_polymer,1,154,154,0,False,False
carbonic anhydrase,peptide_protein,1,1,1,0,False,False
carbonic anhydrase,peptide_protein,1,1,1,0,False,False
carbonic anhydrase,peptide_protein,1,2,2,0,False,False
carotene,chromophore_pigment,0,154,154,0,False,False
cellulose,polysaccharide,2,154,154,0,False,False
ceramide,phospholipid_sphingolipid,0,2,2,0,False,False
ceramide,phospholipid_sphingolipid,0,2,2,0,False,False
chitin,polysaccharide,3,154,154,0,False,False
cholesterol,sterol_steroid,1,3,3,0,False,False
cholesterol,sterol_steroid,1,1,1,0,False,False
cholesterol,sterol_steroid,1,1,1,0,False,False
cholesterol,sterol_steroid,1,1,1,0,False,False
cholesteryl linoleate,sterol_steroid,3,154,154,0,False,False
cholesteryl oleate,sterol_steroid,2,154,154,0,False,False
cholesteryl palmitate,sterol_steroid,3,154,154,0,False,False
cholesteryl stearate,sterol_steroid,4,154,154,0,False,False
citrate,carboxylic_acid_metabolite,0,1,1,0,False,False
citrate,carboxylic_acid_metabolite,0,1,1,0,False,False
citrate,carboxylic_acid_metabolite,0,1,1,0,False,False
citrate,carboxylic_acid_metabolite,0,1,1,0,False,False
coenzyme a,sulfur_thiol_cofactor,1,1,1,0,False,False
coenzyme a,sulfur_thiol_cofactor,1,1,1,0,False,False
coenzyme a,sulfur_thiol_cofactor,1,1,1,0,False,False
coenzyme a,sulfur_thiol_cofactor,1,1,1,0,False,False
collagen,peptide_protein,2,1,1,0,False,False
collagen,peptide_protein,2,1,1,0,False,False
collagen,peptide_protein,2,1,1,0,False,False
creatinine,small_nitrogenous,4,1,1,0,False,False
creatinine,small_nitrogenous,4,1,1,0,False,False
creatinine,small_nitrogenous,4,1,1,0,False,False
cysteine,free_amino_acid,0,1,1,0,False,False
cysteine,free_amino_acid,0,1,1,0,False,False
cysteine,free_amino_acid,0,1,1,0,False,False
cytochrome c,peptide_protein,0,3,3,0,False,False
cytochrome c,peptide_protein,0,2,2,0,False,False
cytosine,pyrimidine,1,154,154,0,False,False
diethylstilbestrol,sterol_steroid,0,154,154,0,False,False
elaidic acid,fatty_acid,2,154,154,0,False,False
elastase,peptide_protein,4,1,1,0,False,False
elastase,peptide_protein,4,3,3,0,False,False
elastase,peptide_protein,4,4,4,0,False,False
elastin,peptide_protein,2,154,154,0,False,False
