rank_upper,n,share,model
1,238,0.6346666666666667,A_raw_spectrum
2,24,0.064,A_raw_spectrum
3,13,0.034666666666666665,A_raw_spectrum
5,12,0.032,A_raw_spectrum
10,10,0.02666666666666667,A_raw_spectrum
25,7,0.018666666666666668,A_raw_spectrum
50,3,0.008,A_raw_spectrum
100,1,0.0026666666666666666,A_raw_spectrum
1000000,67,0.17866666666666667,A_raw_spectrum
1,227,0.6053333333333333,B_csm
2,39,0.104,B_csm
3,20,0.05333333333333334,B_csm
5,12,0.032,B_csm
10,6,0.016,B_csm
25,3,0.008,B_csm
50,0,0.0,B_csm
100,0,0.0,B_csm
1000000,68,0.18133333333333335,B_csm
1,227,0.6053333333333333,C_chemistry_rerank
2,39,0.104,C_chemistry_rerank
3,20,0.05333333333333334,C_chemistry_rerank
5,12,0.032,C_chemistry_rerank
10,6,0.016,C_chemistry_rerank
25,3,0.008,C_chemistry_rerank
50,0,0.0,C_chemistry_rerank
100,0,0.0,C_chemistry_rerank
1000000,68,0.18133333333333335,C_chemistry_rerank
1,151,0.4026666666666667,D_probabilistic
2,54,0.144,D_probabilistic
3,5,0.013333333333333334,D_probabilistic
5,22,0.058666666666666666,D_probabilistic
10,36,0.096,D_probabilistic
25,30,0.08,D_probabilistic
50,9,0.024,D_probabilistic
100,0,0.0,D_probabilistic
1000000,68,0.18133333333333335,D_probabilistic
1,231,0.616,E_bayesian_fusion
2,35,0.09333333333333334,E_bayesian_fusion
3,15,0.04,E_bayesian_fusion
5,16,0.042666666666666665,E_bayesian_fusion
10,7,0.018666666666666668,E_bayesian_fusion
25,3,0.008,E_bayesian_fusion
50,0,0.0,E_bayesian_fusion
100,2,0.005333333333333333,E_bayesian_fusion
1000000,66,0.176,E_bayesian_fusion
