molecule,csm_rank,final_rank,moved,csm,chem_contribution,band_contribution,penalty_contribution,query,truth
(-)-arabinose,1,1,0,0.9927714881215133,0.0,0.0,-0.0,0,(+)-arabinose
(+)-raffinose pentahydrate,2,2,0,0.5671277142819138,0.0,0.0,-0.0,0,(+)-arabinose
glycerol,3,3,0,0.4956067701804664,0.0,0.0,-0.0,0,(+)-arabinose
(+)-trehalose,4,4,0,0.2537908571206249,0.0,0.0,-0.0,0,(+)-arabinose
(+)-sucrose,5,5,0,0.24120257066934878,0.0,0.0,-0.0,0,(+)-arabinose
leucine,6,6,0,0.20879524806409358,0.0,0.0,-0.0,0,(+)-arabinose
proline,7,7,0,0.20558280736298434,0.0,0.0,-0.0,0,(+)-arabinose
(+)-glucose,8,8,0,0.17373383982059304,0.0,0.0,-0.0,0,(+)-arabinose
(+)-mannose,9,9,0,0.14616042735740895,0.0,0.0,-0.0,0,(+)-arabinose
β-d-glucose,10,10,0,0.14315100580236234,0.0,0.0,-0.0,0,(+)-arabinose
(+)-galactose,1,1,0,0.9844295793880241,0.0,0.0,-0.0,2,(+)-galactosamine
(+)-fucose,2,2,0,0.9154131229166844,0.0,0.0,-0.0,2,(+)-galactosamine
(-)-ribose,3,3,0,0.5774880258069655,0.0,0.0,-0.0,2,(+)-galactosamine
(+)-raffinose pentahydrate,4,4,0,0.413904915514484,0.0,0.0,-0.0,2,(+)-galactosamine
(-)-fructose,5,5,0,0.3755038873181017,0.0,0.0,-0.0,2,(+)-galactosamine
(+)-mannose,6,6,0,0.36603244454450984,0.0,0.0,-0.0,2,(+)-galactosamine
malic acid,7,7,0,0.23462863612216914,0.0,0.0,-0.0,2,(+)-galactosamine
(+)-trehalose,8,8,0,0.09585145831790128,0.0,0.0,-0.0,2,(+)-galactosamine
glutathione,9,9,0,0.09357531517509395,0.0,0.0,-0.0,2,(+)-galactosamine
glutamate,10,10,0,0.08849134664042674,0.0,0.0,-0.0,2,(+)-galactosamine
β-d-glucose,1,1,0,0.9990118716952342,0.0,0.0,-0.0,7,(+)-glucose
(+)-glucose,2,2,0,0.983797818719011,0.0,0.0,-0.0,7,(+)-glucose
(+)-maltose,3,3,0,0.8535630752891928,0.0,0.0,-0.0,7,(+)-glucose
(-)-ribose,4,4,0,0.7404774428455638,0.0,0.0,-0.0,7,(+)-glucose
(+)-trehalose,5,5,0,0.6475793407536443,0.0,0.0,-0.0,7,(+)-glucose
(+)-sucrose,6,6,0,0.5967081109600841,0.0,0.0,-0.0,7,(+)-glucose
(+)-raffinose pentahydrate,7,7,0,0.5361990628387551,0.0,0.0,-0.0,7,(+)-glucose
leucine,8,8,0,0.31177863152620366,0.0,0.0,-0.0,7,(+)-glucose
valine,9,9,0,0.310414596010345,0.0,0.0,-0.0,7,(+)-glucose
glycerol,10,10,0,0.2092374223634571,0.0,0.0,-0.0,7,(+)-glucose
β-d-glucose,1,1,0,0.9844359982660235,0.0,0.0,-0.0,8,(+)-glucose
(+)-glucose,2,2,0,0.9798974201070647,0.0,0.0,-0.0,8,(+)-glucose
(+)-maltose,3,3,0,0.8440893794438423,0.0,0.0,-0.0,8,(+)-glucose
(-)-ribose,4,4,0,0.7322588843383497,0.0,0.0,-0.0,8,(+)-glucose
(+)-trehalose,5,5,0,0.6309332449362032,0.0,0.0,-0.0,8,(+)-glucose
(+)-sucrose,6,6,0,0.629229992812368,0.0,0.0,-0.0,8,(+)-glucose
(+)-raffinose pentahydrate,7,7,0,0.5020963020920534,0.0,0.0,-0.0,8,(+)-glucose
