model,fold,n,chem_top1,chem_top3,chem_macro_f1,chem_balanced_accuracy,analogue_class_correct
B_csm,0,76,0.9605263157894737,1.0,0.9684042809042809,0.9663265306122449,0.9605263157894737
C_chemistry_rerank,0,76,0.9605263157894737,1.0,0.9684042809042809,0.9663265306122449,0.9605263157894737
B_csm,1,76,0.9605263157894737,1.0,0.9392006802721088,0.9535714285714285,0.9605263157894737
C_chemistry_rerank,1,76,0.9605263157894737,1.0,0.9392006802721088,0.9535714285714285,0.9605263157894737
B_csm,2,75,0.8,0.9866666666666667,0.7106417112299466,0.7518518518518519,0.8
C_chemistry_rerank,2,75,0.8,0.9866666666666667,0.7106417112299466,0.7518518518518519,0.8
B_csm,3,72,0.6944444444444444,0.9305555555555556,0.6689227558839628,0.753921568627451,0.6944444444444444
C_chemistry_rerank,3,72,0.6944444444444444,0.9305555555555556,0.6689227558839628,0.753921568627451,0.6944444444444444
B_csm,4,76,0.8026315789473685,0.9342105263157895,0.7309190809190809,0.7657051282051281,0.8026315789473685
C_chemistry_rerank,4,76,0.8026315789473685,0.9342105263157895,0.7309190809190809,0.7657051282051281,0.8026315789473685
