axis,support,auc,average_precision,precision,recall
acylglycerol,23,0.9992588932806323,0.9888806782379558,0.9565217391304348,0.9565217391304348
carboxylic_acid_metabolite,23,0.9995059288537549,0.992747321991178,0.88,0.9565217391304348
chromophore_pigment,10,1.0,0.9999999999999999,0.8333333333333334,1.0
fatty_acid,27,0.9944657300979141,0.9358011761686982,0.9615384615384616,0.9259259259259259
free_amino_acid,75,0.9970222222222221,0.9868736210603342,1.0,0.92
mono_oligosaccharide,43,0.9987391426169795,0.9902482808023954,1.0,0.9767441860465116
nucleic_acid_polymer,3,1.0,1.0,1.0,1.0
peptide_protein,80,0.9997033898305085,0.9989884055065488,1.0,0.9375
phosphate_metabolite,11,0.9987512487512488,0.9706439393939394,0.9090909090909091,0.9090909090909091
phospholipid_sphingolipid,8,1.0,1.0,0.8,1.0
polysaccharide,10,0.9991780821917808,0.9680934343434343,0.9090909090909091,1.0
purine,17,1.0,1.0,1.0,1.0
pyrimidine,9,0.9990892531876139,0.960273368606702,0.9,1.0
small_nitrogenous,7,0.9992236024844721,0.9662698412698412,0.5833333333333334,1.0
sterol_steroid,13,1.0,0.9999999999999998,1.0,1.0
sulfur_thiol_cofactor,16,0.9986072423398328,0.9736476608187135,1.0,1.0
