class,n,precision,recall,f1
acylglycerol,23,0.7916666666666666,0.8260869565217391,0.8085106382978724
carboxylic_acid_metabolite,23,0.9,0.782608695652174,0.8372093023255814
chromophore_pigment,10,1.0,0.6,0.7499999999999999
fatty_acid,27,0.8461538461538461,0.8148148148148148,0.830188679245283
free_amino_acid,75,0.8904109589041096,0.8666666666666667,0.8783783783783784
mono_oligosaccharide,43,0.7916666666666666,0.8837209302325582,0.8351648351648352
nucleic_acid_polymer,3,1.0,1.0,1.0
peptide_protein,80,0.8809523809523809,0.925,0.9024390243902439
phosphate_metabolite,11,0.9090909090909091,0.9090909090909091,0.9090909090909091
phospholipid_sphingolipid,8,0.5,0.625,0.5555555555555556
polysaccharide,10,0.9,0.9,0.9
purine,17,0.7272727272727273,0.9411764705882353,0.8205128205128205
pyrimidine,9,0.8333333333333334,0.5555555555555556,0.6666666666666667
small_nitrogenous,7,0.375,0.42857142857142855,0.39999999999999997
sterol_steroid,13,1.0,1.0,1.0
sulfur_thiol_cofactor,16,1.0,0.6875,0.8148148148148148
