perturbation,level,retrieval_top1,retrieval_top5,chemistry_top1,radar_cosine
gaussian_noise,0.01,0.896,0.9973333333333333,0.9493333333333334,0.999963897943075
gaussian_noise,0.02,0.8933333333333333,0.9973333333333333,0.9493333333333334,0.9998275629674993
gaussian_noise,0.05,0.88,0.9946666666666667,0.9466666666666667,0.9985065126145196
gaussian_noise,0.1,0.8533333333333334,0.9893333333333333,0.9386666666666666,0.992365272292688
gaussian_noise,0.2,0.8026666666666666,0.9866666666666667,0.8906666666666667,0.9626139152371204
shot_noise,0.01,0.8986666666666666,0.9973333333333333,0.9546666666666667,0.9999942648115911
shot_noise,0.02,0.8986666666666666,0.9973333333333333,0.952,0.999977663803016
shot_noise,0.05,0.896,0.9973333333333333,0.9493333333333334,0.9998640197040389
shot_noise,0.1,0.896,0.9946666666666667,0.944,0.999472685936825
shot_noise,0.2,0.8666666666666667,0.9946666666666667,0.9386666666666666,0.9979154545823191
baseline_drift,0.05,0.8773333333333333,0.9973333333333333,0.952,0.9990420011579043
baseline_drift,0.1,0.84,0.9973333333333333,0.944,0.9965031384258252
baseline_drift,0.2,0.792,0.992,0.9306666666666666,0.9863379603483742
baseline_drift,0.4,0.7386666666666667,0.96,0.8693333333333333,0.9535874853142329
baseline_drift,0.8,0.584,0.848,0.7226666666666667,0.8670266053441518
fluorescence,0.05,0.8933333333333333,0.9973333333333333,0.9546666666666667,0.9957593973632747
fluorescence,0.1,0.872,0.992,0.9466666666666667,0.9835504149298187
fluorescence,0.2,0.8026666666666666,0.984,0.896,0.9377451019165687
fluorescence,0.4,0.6426666666666667,0.912,0.6666666666666666,0.8077641256129279
fluorescence,0.8,0.21866666666666668,0.5653333333333334,0.2853333333333333,0.6028480889474489
wavelength_shift,1.0,0.8933333333333333,0.9973333333333333,0.9573333333333334,0.9996565882695317
wavelength_shift,2.0,0.888,0.9946666666666667,0.944,0.998620994309822
wavelength_shift,4.0,0.856,0.992,0.92,0.9940135797482126
wavelength_shift,8.0,0.776,0.9733333333333334,0.8773333333333333,0.9709353685456693
wavelength_shift,16.0,0.544,0.752,0.696,0.8577956994991127
band_broadening,1.0,0.9013333333333333,0.9973333333333333,0.9546666666666667,0.9999945730885867
band_broadening,2.0,0.896,0.9973333333333333,0.944,0.9998908844083904
band_broadening,4.0,0.904,0.9973333333333333,0.928,0.9985714088449967
band_broadening,8.0,0.8133333333333334,0.992,0.8933333333333333,0.9867120777640748
band_broadening,16.0,0.6666666666666666,0.8933333333333333,0.776,0.9348082800488919
peak_dropout,0.05,0.8773333333333333,0.9946666666666667,0.952,0.9975863284926673
peak_dropout,0.1,0.88,0.9866666666666667,0.9413333333333334,0.9966986501404002
peak_dropout,0.2,0.856,0.992,0.9333333333333333,0.9937774838495937
peak_dropout,0.4,0.816,0.9786666666666667,0.9173333333333333,0.9850716821464972
peak_dropout,0.6,0.76,0.968,0.8986666666666666,0.9748098611774223
