case,service,sdk,api,streamlit,all_equal,engine_ms,service_ms,sdk_ms,api_ms,mcp_ms
high_confidence_correct,215203f93615d7677f234ce24fd1d480,215203f93615d7677f234ce24fd1d480,215203f93615d7677f234ce24fd1d480,215203f93615d7677f234ce24fd1d480,True,81.113,2.138,2.016,6.632,6.176
chemistry_right_molecule_wrong,0896c2152f5b979461e510e62cad2446,0896c2152f5b979461e510e62cad2446,0896c2152f5b979461e510e62cad2446,0896c2152f5b979461e510e62cad2446,True,2.481,2.897,2.975,5.068,6.294
low_explained_variance,d63d1eb429db6abe1be21794d641e2f0,d63d1eb429db6abe1be21794d641e2f0,d63d1eb429db6abe1be21794d641e2f0,d63d1eb429db6abe1be21794d641e2f0,True,1.642,1.968,2.005,3.799,6.073
ambiguous_class,046c9af8b98f08d1f61ceae10d41b993,046c9af8b98f08d1f61ceae10d41b993,046c9af8b98f08d1f61ceae10d41b993,046c9af8b98f08d1f61ceae10d41b993,True,2.327,2.832,2.745,4.474,6.355
class_sterol_steroid,5ea50dbff5ac01ac6de3f158858fdd0b,5ea50dbff5ac01ac6de3f158858fdd0b,5ea50dbff5ac01ac6de3f158858fdd0b,5ea50dbff5ac01ac6de3f158858fdd0b,True,2.111,2.466,2.5,4.335,5.956
class_purine,0bfa5eb2bc8c9c2a9d5f25f67278e595,0bfa5eb2bc8c9c2a9d5f25f67278e595,0bfa5eb2bc8c9c2a9d5f25f67278e595,0bfa5eb2bc8c9c2a9d5f25f67278e595,True,1.092,1.357,1.419,3.175,4.748
class_polysaccharide,876832b430ba3d5ff65a168ab72446f4,876832b430ba3d5ff65a168ab72446f4,876832b430ba3d5ff65a168ab72446f4,876832b430ba3d5ff65a168ab72446f4,True,0.793,1.064,1.115,2.764,4.67
class_peptide_protein,b509fa61e0c538dc0e589ab47f9777d1,b509fa61e0c538dc0e589ab47f9777d1,b509fa61e0c538dc0e589ab47f9777d1,b509fa61e0c538dc0e589ab47f9777d1,True,1.954,2.456,2.323,4.1,5.79
source_RamanBioLib,8a8f37d94c3331474ae53a24b0a74c1b,8a8f37d94c3331474ae53a24b0a74c1b,8a8f37d94c3331474ae53a24b0a74c1b,8a8f37d94c3331474ae53a24b0a74c1b,True,2.141,2.561,2.54,4.364,5.932
source_amino_acid_raman_gro,73e0eccef0eb29364e69061bbdbc57b1,73e0eccef0eb29364e69061bbdbc57b1,73e0eccef0eb29364e69061bbdbc57b1,73e0eccef0eb29364e69061bbdbc57b1,True,1.069,1.363,1.433,3.03,4.823
source_gobbato_raman_metabo,651e51b732ca04f925175b68d25a5296,651e51b732ca04f925175b68d25a5296,651e51b732ca04f925175b68d25a5296,651e51b732ca04f925175b68d25a5296,True,2.515,3.048,2.928,4.692,6.598
synthetic_noise_control,d29072e27f359f97f886a1f8c287edf7,d29072e27f359f97f886a1f8c287edf7,d29072e27f359f97f886a1f8c287edf7,d29072e27f359f97f886a1f8c287edf7,True,3.48,3.909,3.863,5.791,7.384
