case,comparison,max_abs_diff,identical,differing_fields
cholesterol,engine→service,0.0,True,
cholesterol,service→sdk,0.0,True,
cholesterol,sdk→api,0.0,True,
cholesterol,mcp→matched_sdk,0.0,True,
cholesterol,sdk→streamlit_demo,0.0,True,
cysteine,engine→service,0.0,True,
cysteine,service→sdk,0.0,True,
cysteine,sdk→api,0.0,True,
cysteine,mcp→matched_sdk,0.0,True,
cysteine,sdk→streamlit_demo,0.0,True,
(+)-glucose,engine→service,0.0,True,
(+)-glucose,service→sdk,0.0,True,
(+)-glucose,sdk→api,0.0,True,
(+)-glucose,mcp→matched_sdk,0.0,True,
(+)-glucose,sdk→streamlit_demo,0.0,True,
palmitic acid,engine→service,0.0,True,
palmitic acid,service→sdk,0.0,True,
palmitic acid,sdk→api,0.0,True,
palmitic acid,mcp→matched_sdk,0.0,True,
palmitic acid,sdk→streamlit_demo,0.0,True,
adenine,engine→service,0.0,True,
adenine,service→sdk,0.0,True,
adenine,sdk→api,0.0,True,
adenine,mcp→matched_sdk,0.0,True,
adenine,sdk→streamlit_demo,0.0,True,
albumin,engine→service,0.0,True,
albumin,service→sdk,0.0,True,
albumin,sdk→api,0.0,True,
albumin,mcp→matched_sdk,0.0,True,
albumin,sdk→streamlit_demo,0.0,True,
pyruvate,engine→service,0.0,True,
pyruvate,service→sdk,0.0,True,
pyruvate,sdk→api,0.0,True,
pyruvate,mcp→matched_sdk,0.0,True,
pyruvate,sdk→streamlit_demo,0.0,True,
cholesterol,cli→sdk,0.0,True,
