condition_family,bsv_axis,n_events,n_datasets,n_sample_types,mean_effect,mean_abs_effect,dom_direction,direction_consistency,weight,datasets
liver_cancer,G05,87,7,2,-0.052,0.699,up,0.44,69.471,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_1_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_1_hcc_holdout;gaira_base_4_passive_target_pilot_1_hcc_holdout_rerun_v2;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity
liver_cancer,G03,87,7,2,0.554,0.674,up,0.61,67.364,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_1_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_1_hcc_holdout;gaira_base_4_passive_target_pilot_1_hcc_holdout_rerun_v2;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity
liver_cancer,G08,86,7,2,-0.125,0.644,stable,0.42,63.993,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_1_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_1_hcc_holdout;gaira_base_4_passive_target_pilot_1_hcc_holdout_rerun_v2;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity
liver_cancer,G04,87,7,2,0.602,0.622,up,0.74,62.771,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_1_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_1_hcc_holdout;gaira_base_4_passive_target_pilot_1_hcc_holdout_rerun_v2;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity
liver_cancer,G06,86,7,2,0.475,0.61,up,0.53,61.048,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_1_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_1_hcc_holdout;gaira_base_4_passive_target_pilot_1_hcc_holdout_rerun_v2;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity
liver_cancer,G07,86,7,2,0.561,0.592,up,0.55,59.535,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_1_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_1_hcc_holdout;gaira_base_4_passive_target_pilot_1_hcc_holdout_rerun_v2;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity
liver_cancer,G09,87,7,2,-0.328,0.558,down,0.44,57.255,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_1_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_1_hcc_holdout;gaira_base_4_passive_target_pilot_1_hcc_holdout_rerun_v2;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity
liver_cancer,G01,86,7,2,0.468,0.543,up,0.57,55.264,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_1_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_1_hcc_holdout;gaira_base_4_passive_target_pilot_1_hcc_holdout_rerun_v2;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity
liver_cancer,G11,86,7,2,-0.057,0.508,stable,0.47,52.247,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_1_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_1_hcc_holdout;gaira_base_4_passive_target_pilot_1_hcc_holdout_rerun_v2;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity
infection_covid,G10,29,2,1,1.287,1.661,up,0.52,51.079,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
infection_covid,G04,29,2,1,1.072,1.488,up,0.52,46.038,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
liver_cancer,G10,85,7,2,0.27,0.412,stable,0.62,43.548,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_1_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_1_hcc_holdout;gaira_base_4_passive_target_pilot_1_hcc_holdout_rerun_v2;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity
liver_cancer,G02,86,7,2,0.192,0.406,stable,0.38,43.511,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_1_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_1_hcc_holdout;gaira_base_4_passive_target_pilot_1_hcc_holdout_rerun_v2;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity
infection_covid,G11,29,2,1,0.818,1.363,down,0.45,42.428,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
infection_covid,G08,29,2,1,-1.301,1.311,down,0.86,40.912,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
infection_covid,G09,29,2,1,-1.267,1.304,down,0.79,40.703,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
