specific_condition,bsv_axis,n_events,n_datasets,n_sample_types,mean_effect,mean_abs_effect,dom_direction,direction_consistency,weight,datasets
Tube_QC_caution,G10,10,1,1,3.707,3.982,up,0.8,40.823,gaira_base_4_passive_target_pilot_3b_covid_raman
Tube_QC_caution,G04,10,1,1,3.243,3.614,up,0.8,37.144,gaira_base_4_passive_target_pilot_3b_covid_raman
Tube_QC_caution,G11,10,1,1,2.891,3.298,up,0.8,33.982,gaira_base_4_passive_target_pilot_3b_covid_raman
Tube_QC_caution,G08,10,1,1,-3.046,3.046,down,1.0,31.458,gaira_base_4_passive_target_pilot_3b_covid_raman
Tube_QC_caution,G09,10,1,1,-3.01,3.01,down,1.0,31.095,gaira_base_4_passive_target_pilot_3b_covid_raman
Tube_QC_caution,G05,10,1,1,1.77,2.199,up,0.8,22.985,gaira_base_4_passive_target_pilot_3b_covid_raman
Tube_QC_caution,G06,10,1,1,-1.538,1.538,down,0.8,16.379,gaira_base_4_passive_target_pilot_3b_covid_raman
Tube_QC_caution,G07,10,1,1,-1.286,1.286,down,0.8,13.855,gaira_base_4_passive_target_pilot_3b_covid_raman
CCA,G03,10,3,2,1.116,1.116,up,1.0,12.165,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
P2_CCA_vs_NC,G03,9,2,2,1.251,1.251,up,1.0,12.159,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_CCA_vs_NC,G08,9,2,2,-0.696,1.202,down,0.78,11.714,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_CCA_vs_NC,G05,9,2,2,-0.684,1.197,down,0.78,11.67,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
CCA,G05,10,3,2,-0.077,1.044,up,0.5,11.438,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
CCA,G06,10,3,2,0.812,1.039,up,0.9,11.394,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
CCA,G08,10,3,2,-0.098,1.037,down,0.5,11.37,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
P2_CCA_vs_NC,G06,9,2,2,0.897,1.149,up,0.89,11.242,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
CCA,G01,10,3,2,0.898,0.98,up,0.9,10.796,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
CCA,G07,10,3,2,0.945,0.945,up,0.9,10.447,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
