specific_condition,mss_candidate,n_events,n_datasets,mean_abs_effect,dom_direction
hepatotoxicity_mss_layer,uric_acid,48,1,0.326,up
hepatotoxicity_mss_layer,tyrosine,48,1,0.339,up
hepatotoxicity_mss_layer,xanthine,47,1,0.261,up
hepatotoxicity_mss_layer,lactate,45,1,0.232,up
hepatotoxicity_mss_layer,ergothioneine,44,1,0.242,up
hepatotoxicity_mss_layer,glutathione,39,1,0.212,up
hepatotoxicity_mss_layer,cysteine,34,1,0.205,up
hepatotoxicity_mss_layer,palmitic_acid,30,1,0.209,up
hepatotoxicity_mss_layer,oleic_acid,14,1,0.219,up
hepatotoxicity_mss_layer,glucose,9,1,0.227,up
diabetes_classifier,palmitic_acid,8,1,0.188,up
hepatotoxicity_mss_layer,phenylalanine,6,1,0.203,up
hepatotoxicity_mss_layer,cystine,6,1,0.206,up
diabetes_classifier,uric_acid,6,1,0.173,up
diabetes_classifier,lactate,6,1,0.178,up
diabetes_classifier,ergothioneine,5,1,0.263,up
diabetes_classifier,cholesterol,4,1,0.171,up
diabetes_classifier,oleic_acid,3,1,0.188,up
hepatotoxicity_mss_layer,stearic_acid,3,1,0.209,up
diabetes_classifier,creatinine,3,1,0.177,up
hepatotoxicity_mss_layer,adenine,2,1,0.144,up
hepatotoxicity_mss_layer,urea,1,1,0.06,up
NWD,cystine,1,1,0.054,up
NWD,ergothioneine,1,1,0.081,up
OWD,oleic_acid,1,1,0.144,up
NWD,lactate,1,1,0.278,up
NWD,phenylalanine,1,1,0.059,up
NWD,tyrosine,1,1,0.153,up
NWD,uric_acid,1,1,0.089,up
NWD,xanthine,1,1,0.057,up
OWD,lactate,1,1,0.068,up
OWD,palmitic_acid,1,1,0.1,up
diabetes_classifier,glutathione,1,1,0.167,up
OWD,tyrosine,1,1,0.056,up
OWD,urea,1,1,0.131,up
OWD,uric_acid,1,1,0.22,up
diabetes_classifier,adenine,1,1,0.168,up
diabetes_classifier,cysteine,1,1,0.174,up
diabetes_classifier,glucose,1,1,0.166,up
diabetes_classifier,hypoxanthine,1,1,0.178,up
