event_id,dataset,pilot_group,sample_type,condition_family,condition_A,condition_B,comparison_type,bsv_axis,bsv_axis_name,direction,effect_size,metric_type,metric_value,mss_candidate,motif_cluster,band_cm,confidence_tier,caveat,source_file,specific_condition,sample_type_v2,condition_family_v2
E0000000,gaira_base_4_hybrid_bsv_calibration_suite_v1,calibration,mixed,calibration_suite,calibration_self,,calibration_family_selectivity,G01,purine_nucleotide,up,1.0,top1_rate,1.0,,,,STRONG,,/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_hybrid_bsv_calibration_suite_v1/tables/calibration_family_selectivity_v1.csv,calibration_self,mixed,calibration_suite
E0000001,gaira_base_4_hybrid_bsv_calibration_suite_v1,calibration,mixed,calibration_suite,calibration_self,,calibration_family_selectivity,G02,purine_metabolite,up,0.6363636363636364,top1_rate,0.6363636363636364,,,,MODERATE,,/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_hybrid_bsv_calibration_suite_v1/tables/calibration_family_selectivity_v1.csv,calibration_self,mixed,calibration_suite
E0000002,gaira_base_4_hybrid_bsv_calibration_suite_v1,calibration,mixed,calibration_suite,calibration_self,,calibration_family_selectivity,G03,pyrimidine_nucleotide,up,1.0,top1_rate,1.0,,,,STRONG,,/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_hybrid_bsv_calibration_suite_v1/tables/calibration_family_selectivity_v1.csv,calibration_self,mixed,calibration_suite
E0000003,gaira_base_4_hybrid_bsv_calibration_suite_v1,calibration,mixed,calibration_suite,calibration_self,,calibration_family_selectivity,G04,nucleic_acid_phosphate,up,1.0,top1_rate,1.0,,,,STRONG,,/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_hybrid_bsv_calibration_suite_v1/tables/calibration_family_selectivity_v1.csv,calibration_self,mixed,calibration_suite
E0000004,gaira_base_4_hybrid_bsv_calibration_suite_v1,calibration,mixed,calibration_suite,calibration_self,,calibration_family_selectivity,G05,glycan_carbohydrate,up,0.9333333333333332,top1_rate,0.9333333333333332,,,,STRONG,,/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_hybrid_bsv_calibration_suite_v1/tables/calibration_family_selectivity_v1.csv,calibration_self,mixed,calibration_suite
E0000005,gaira_base_4_hybrid_bsv_calibration_suite_v1,calibration,mixed,calibration_suite,calibration_self,,calibration_family_selectivity,G06,protein_peptide_backbone,up,0.7530864197530864,top1_rate,0.7530864197530864,,,,STRONG,,/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_hybrid_bsv_calibration_suite_v1/tables/calibration_family_selectivity_v1.csv,calibration_self,mixed,calibration_suite
E0000006,gaira_base_4_hybrid_bsv_calibration_suite_v1,calibration,mixed,calibration_suite,calibration_self,,calibration_family_selectivity,G07,aromatic_residue,up,1.0,top1_rate,1.0,,,,STRONG,,/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_hybrid_bsv_calibration_suite_v1/tables/calibration_family_selectivity_v1.csv,calibration_self,mixed,calibration_suite
E0000007,gaira_base_4_hybrid_bsv_calibration_suite_v1,calibration,mixed,calibration_suite,calibration_self,,calibration_family_selectivity,G08,lipid_acyl_membrane,up,0.8717948717948718,top1_rate,0.8717948717948718,,,,STRONG,,/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_hybrid_bsv_calibration_suite_v1/tables/calibration_family_selectivity_v1.csv,calibration_self,mixed,calibration_suite
E0000008,gaira_base_4_hybrid_bsv_calibration_suite_v1,calibration,mixed,calibration_suite,calibration_self,,calibration_family_selectivity,G09,sterol_neutral_lipid,up,0.8611111111111112,top1_rate,0.8611111111111112,,,,STRONG,,/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_hybrid_bsv_calibration_suite_v1/tables/calibration_family_selectivity_v1.csv,calibration_self,mixed,calibration_suite
E0000009,gaira_base_4_hybrid_bsv_calibration_suite_v1,calibration,mixed,calibration_suite,calibration_self,,calibration_family_selectivity,G10,sulfur_thiol_redox,up,0.7,top1_rate,0.7,,,,STRONG,,/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_hybrid_bsv_calibration_suite_v1/tables/calibration_family_selectivity_v1.csv,calibration_self,mixed,calibration_suite
E0000010,gaira_base_4_hybrid_bsv_calibration_suite_v1,calibration,mixed,calibration_suite,calibration_self,,calibration_family_selectivity,G11,metabolic_small_molecule,up,0.803921568627451,top1_rate,0.803921568627451,,,,STRONG,,/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_hybrid_bsv_calibration_suite_v1/tables/calibration_family_selectivity_v1.csv,calibration_self,mixed,calibration_suite
E0000011,gaira_base_4_passive_target_pilot_1_hcc_holdout,serum,serum,liver_cancer,comparison,,binary_effect,G05,glycan_carbohydrate,up,0.26,cohens_d,0.26,,,,MODERATE,,/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_passive_target_pilot_1_hcc_holdout/tables/pilot1_hcc_family_effect_sizes.csv,P1_HCC_holdout,serum,liver_cancer
E0000012,gaira_base_4_passive_target_pilot_1_hcc_holdout,serum,serum,liver_cancer,comparison,,binary_effect,G04,nucleic_acid_phosphate,up,0.253,cohens_d,0.253,,,,MODERATE,,/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_passive_target_pilot_1_hcc_holdout/tables/pilot1_hcc_family_effect_sizes.csv,P1_HCC_holdout,serum,liver_cancer
E0000013,gaira_base_4_passive_target_pilot_1_hcc_holdout,serum,serum,liver_cancer,comparison,,binary_effect,G09,sterol_neutral_lipid,stable,-0.173,cohens_d,-0.173,,,,WEAK,,/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_passive_target_pilot_1_hcc_holdout/tables/pilot1_hcc_family_effect_sizes.csv,P1_HCC_holdout,serum,liver_cancer
E0000014,gaira_base_4_passive_target_pilot_1_hcc_holdout,serum,serum,liver_cancer,comparison,,binary_effect,G08,lipid_acyl_membrane,stable,0.101,cohens_d,0.101,,,,WEAK,,/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_passive_target_pilot_1_hcc_holdout/tables/pilot1_hcc_family_effect_sizes.csv,P1_HCC_holdout,serum,liver_cancer
E0000015,gaira_base_4_passive_target_pilot_1_hcc_holdout,serum,serum,liver_cancer,comparison,,binary_effect,G03,pyrimidine_nucleotide,stable,-0.067,cohens_d,-0.067,,,,WEAK,,/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_passive_target_pilot_1_hcc_holdout/tables/pilot1_hcc_family_effect_sizes.csv,P1_HCC_holdout,serum,liver_cancer
E0000016,gaira_base_4_passive_target_pilot_1_hcc_holdout,serum,serum,liver_cancer,comparison,,binary_effect,G11,metabolic_small_molecule,stable,0.033,cohens_d,0.033,,,,WEAK,,/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_passive_target_pilot_1_hcc_holdout/tables/pilot1_hcc_family_effect_sizes.csv,P1_HCC_holdout,serum,liver_cancer
E0000017,gaira_base_4_passive_target_pilot_1_hcc_holdout,serum,serum,liver_cancer,comparison,,binary_effect,G10,sulfur_thiol_redox,stable,-0.013,cohens_d,-0.013,,,,WEAK,,/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_passive_target_pilot_1_hcc_holdout/tables/pilot1_hcc_family_effect_sizes.csv,P1_HCC_holdout,serum,liver_cancer
E0000018,gaira_base_4_passive_target_pilot_1_hcc_holdout,serum,serum,liver_cancer,comparison,,binary_effect,G01,purine_nucleotide,stable,0.01,cohens_d,0.01,,,,WEAK,,/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_passive_target_pilot_1_hcc_holdout/tables/pilot1_hcc_family_effect_sizes.csv,P1_HCC_holdout,serum,liver_cancer
E0000019,gaira_base_4_passive_target_pilot_1_hcc_holdout,serum,serum,liver_cancer,comparison,,binary_effect,G02,purine_metabolite,stable,-0.006,cohens_d,-0.006,,,,WEAK,,/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_passive_target_pilot_1_hcc_holdout/tables/pilot1_hcc_family_effect_sizes.csv,P1_HCC_holdout,serum,liver_cancer
E0000020,gaira_base_4_passive_target_pilot_1_hcc_holdout,serum,serum,liver_cancer,comparison,,binary_effect,G07,aromatic_residue,stable,-0.006,cohens_d,-0.006,,,,WEAK,,/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_passive_target_pilot_1_hcc_holdout/tables/pilot1_hcc_family_effect_sizes.csv,P1_HCC_holdout,serum,liver_cancer
