G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,dataset,sample_type,pilot_group,condition_family,pca_1,pca_2,umap_1,umap_2,cluster_id,short_label,caveat_burden,evidence_count
0.5534565217391304,0.2425777777777777,0.6824468085106382,0.6802765957446809,-0.0746595744680851,0.5728913043478261,0.6466739130434782,-0.1618260869565217,-0.311063829787234,0.2042727272727272,-0.0827608695652173,gaira_base_4_cross_pilot_synthesis_v1,mixed,synthesis,cross_pilot,1.1513022469828202,-0.5266764644670272,13.816744,19.627094,0,cross_serum,12.0,507
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaira_base_4_diabetes_ev_mss_classifier_v2,EV,EV,diabetes_metabolic,-1.3921155436547783,-1.1429005805495722,13.252863,18.914854,1,diabetes_clf,8.0,40
0.5162775946687906,0.0948747911797614,0.1322662271197057,0.1322662271197057,-0.5565177521138066,0.1322662271197057,-0.0375533181925476,0.3393320893120327,-0.1981145476761286,-0.0599856770927192,-0.0765576093157127,gaira_base_4_diabetes_ev_pilot_v1,EV,EV,diabetes_metabolic,-0.6814155567938524,-1.7521768195480372,13.364468,20.08339,0,diabetes_OWD_NWD,1.0,64
1.0,0.6363636363636364,1.0,1.0,0.9333333333333332,0.7530864197530864,1.0,0.8717948717948718,0.8611111111111112,0.7,0.803921568627451,gaira_base_4_hybrid_bsv_calibration_suite_v1,mixed,calibration,calibration_suite,5.321936157637565,0.7539011022777415,12.538257,20.017998,3,calibration,6.0,11
-0.0552,-0.1758,-0.2855999999999999,0.4238,0.4433999999999999,-0.0448,-0.0907999999999999,0.1544,-0.3465999999999999,-0.0354,-0.012,gaira_base_4_passive_target_pilot_1_1_normalization_sensitivity,serum,serum,liver_cancer,-1.7799240431220755,-0.3933540052010571,14.077045,18.966385,1,hcc_norm_sens,0.0,55
0.01,-0.006,-0.067,0.253,0.26,-0.002,-0.006,0.101,-0.173,-0.013,0.033,gaira_base_4_passive_target_pilot_1_hcc_holdout,serum,serum,liver_cancer,-1.2397981296233782,-0.6536704317212819,13.002257,18.252935,1,hcc_holdout,4.0,11
0.01,0.006,0.067,0.253,0.26,0.002,0.006,0.101,0.173,0.013,0.033,gaira_base_4_passive_target_pilot_1_hcc_holdout_rerun_v2,serum,serum,liver_cancer,-0.8985937503069826,-0.7206422022078809,14.137776,20.409052,1,hcc_holdout_v2,5.0,22
0.5063333333333333,0.176,0.6812222222222221,0.626111111111111,-0.2129444444444444,0.4631666666666666,0.6707777777777778,-0.2356666666666666,-0.3356666666666666,0.3561111111111111,-0.0858333333333333,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity,serum,serum,liver_cancer,0.8345609526326614,-0.4239569521651125,12.886615,19.4502,0,cca_norm_sens,2.0,198
0.7174444444444444,0.6644444444444445,0.8022222222222222,0.8126666666666666,0.7425555555555555,0.7167777777777777,0.7366666666666667,0.7323333333333335,0.3527777777777777,0.9464444444444444,0.7038888888888889,gaira_base_4_passive_target_pilot_2_cca_hcc_lm,serum,serum,liver_cancer,4.143071949409707,0.966056656490278,12.287715,18.876982,3,cca_hcc_lm,7.0,99
-0.2008799999999999,-0.10972,0.5381600000000001,1.28708,0.68696,-1.10836,-0.78364,-1.41608,-1.38104,1.53544,1.03112,gaira_base_4_passive_target_pilot_3b_covid_raman,serum,serum,infection_covid,-2.474512052158942,6.037574211512356,14.911228,19.196138,2,covid_serum,4.0,275
0.2745833333333333,-0.1811666666666666,0.5384166666666667,0.2395,-0.39325,0.1149166666666666,0.1649166666666667,-0.5601666666666666,-0.6950833333333333,-0.1450833333333333,-0.4952499999999999,gaira_base_4_pilot3c_classifier_and_cross_disease_v1,serum,serum,cross_disease,-1.743609835452618,-1.2020768884336477,13.379801,20.769012,0,cross_disease,7.0,132
0.0302055229452001,-0.2220022944954653,0.2011868149217005,0.2011868149217005,-0.0482336655026112,0.2011868149217005,-0.1666297514723816,-0.2900605791874769,0.0221814388137987,0.2406320775116911,-0.0250066419784285,gaira_base_4_shine_ev_gaira_pilot_v1,EV,EV,toxicity_drug_response,-1.5341771305182292,-0.6143943832106404,14.658402,19.871367,1,shine_D2,1.0,508
0.0,0.0,0.0,0.0,0.491855689354353,0.0,0.5410440329215465,0.5044737786048615,0.5370908563771092,0.5724785805312725,0.5847281188931532,gaira_base_4_small_ev_shared_structure_pass_v2,EV,EV,dual_probe_invariance,0.2932747349681036,-0.3276832427761177,13.729424,18.235907,1,small_ev,4.0,6
