sample_type,dataset,specific_condition,bsv_axis,dom_direction,n_events,mean_abs_effect,consistency,path_score,top_mss,confidence_tier
serum,gaira_base_4_passive_target_pilot_3b_covid_raman,Tube_QC_caution,G10,up,10,3.982,0.8,32.658,,STRONG
serum,gaira_base_4_passive_target_pilot_3b_covid_raman,Tube_QC_caution,G08,down,10,3.046,1.0,31.458,,STRONG
serum,gaira_base_4_passive_target_pilot_3b_covid_raman,Tube_QC_caution,G09,down,10,3.01,1.0,31.095,,STRONG
serum,gaira_base_4_passive_target_pilot_3b_covid_raman,Tube_QC_caution,G04,up,10,3.614,0.8,29.715,,STRONG
serum,gaira_base_4_passive_target_pilot_3b_covid_raman,Tube_QC_caution,G11,up,10,3.298,0.8,27.186,,STRONG
serum,gaira_base_4_passive_target_pilot_3b_covid_raman,Tube_QC_caution,G05,up,10,2.199,0.8,18.388,,STRONG
serum,gaira_base_4_passive_target_pilot_3b_covid_raman,Tube_QC_caution,G06,down,10,1.538,0.8,13.103,,STRONG
serum,gaira_base_4_passive_target_pilot_3b_covid_raman,Tube_QC_caution,G07,down,10,1.286,0.8,11.084,,STRONG
mixed,gaira_base_4_cross_pilot_synthesis_v1,P2_CCA_vs_NC,G03,up,7,1.236,1.0,9.349,,STRONG
serum,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity,CCA,G03,up,6,1.211,1.0,7.866,,STRONG
mixed,gaira_base_4_cross_pilot_synthesis_v1,P2_CCA_vs_NC,G07,up,7,1.016,1.0,7.811,,STRONG
mixed,gaira_base_4_cross_pilot_synthesis_v1,P2_LM_vs_NC,G04,up,7,1.011,1.0,7.78,,STRONG
mixed,gaira_base_4_cross_pilot_synthesis_v1,P2_CCA_vs_NC,G06,up,7,1.148,0.86,7.488,,STRONG
mixed,gaira_base_4_cross_pilot_synthesis_v1,P2_CCA_vs_HCC,G03,up,5,1.376,1.0,7.382,,STRONG
mixed,gaira_base_4_cross_pilot_synthesis_v1,P2_LM_vs_NC,G07,up,7,0.92,1.0,7.14,,STRONG
serum,gaira_base_4_passive_target_pilot_3b_covid_raman,COVID_vs_Healthy,G06,down,5,1.307,1.0,7.036,,STRONG
mixed,gaira_base_4_cross_pilot_synthesis_v1,P2_CCA_vs_NC,G01,up,7,1.032,0.86,6.795,,STRONG
serum,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity,LM,G04,up,6,1.009,1.0,6.653,,STRONG
mixed,gaira_base_4_cross_pilot_synthesis_v1,P2_CCA_vs_NC,G04,up,7,0.838,1.0,6.565,,STRONG
serum,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity,CCA,G07,up,6,0.994,1.0,6.565,,STRONG
mixed,gaira_base_4_cross_pilot_synthesis_v1,P2_LM_vs_NC,G06,up,7,0.976,0.86,6.459,,STRONG
serum,gaira_base_4_passive_target_pilot_3b_covid_raman,COVID_vs_Suspected,G06,down,5,1.187,1.0,6.436,,STRONG
mixed,gaira_base_4_cross_pilot_synthesis_v1,P2_CCA_vs_NC,G08,down,7,1.176,0.71,6.38,,STRONG
mixed,gaira_base_4_cross_pilot_synthesis_v1,P2_CCA_vs_NC,G05,down,7,1.171,0.71,6.354,,STRONG
mixed,gaira_base_4_cross_pilot_synthesis_v1,P2_LM_vs_NC,G03,up,7,0.802,1.0,6.313,,STRONG
serum,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity,CCA,G06,up,6,1.148,0.83,6.241,,STRONG
serum,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity,LM,G07,up,6,0.902,1.0,6.01,,STRONG
mixed,gaira_base_4_cross_pilot_synthesis_v1,P2_CCA_vs_HCC,G06,up,5,1.082,1.0,5.908,,STRONG
mixed,gaira_base_4_cross_pilot_synthesis_v1,P2_LM_vs_HCC,G04,up,5,1.072,1.0,5.862,,STRONG
mixed,gaira_base_4_cross_pilot_synthesis_v1,P2_CCA_vs_HCC,G07,up,5,1.059,1.0,5.793,,STRONG
serum,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity,CCA,G04,up,6,0.851,1.0,5.704,,STRONG
mixed,gaira_base_4_cross_pilot_synthesis_v1,cross_pilot_consensus,G03,up,3,1.794,1.0,5.683,,STRONG
serum,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity,CCA,G01,up,6,1.019,0.83,5.593,,STRONG
serum,gaira_base_4_passive_target_pilot_3b_covid_raman,COVID_vs_Healthy,G03,up,5,1.017,1.0,5.584,,STRONG
mixed,gaira_base_4_cross_pilot_synthesis_v1,P2_LM_vs_NC,G05,down,7,1.001,0.71,5.507,,STRONG
mixed,gaira_base_4_cross_pilot_synthesis_v1,P2_LM_vs_NC,G01,up,7,0.816,0.86,5.496,,STRONG
