sample_type,bsv_axis,n_datasets,n_events,mean_effect,dom_direction,direction_consistency
EV,G01,2,13,0.068,up,0.46
EV,G02,2,13,-0.198,stable,0.46
EV,G03,2,13,0.196,stable,0.46
EV,G04,2,13,0.196,stable,0.46
EV,G05,3,14,-0.046,stable,0.5
EV,G06,2,13,0.196,stable,0.46
EV,G07,3,14,-0.107,stable,0.64
EV,G08,3,14,-0.188,down,0.5
EV,G09,3,14,0.043,stable,0.43
EV,G10,3,14,0.243,stable,0.5
EV,G11,3,14,0.015,up,0.36
mixed,G01,2,47,0.563,up,0.68
mixed,G02,2,46,0.251,up,0.46
mixed,G03,2,48,0.689,up,0.71
mixed,G04,2,48,0.687,up,0.75
mixed,G05,2,48,-0.054,up,0.42
mixed,G06,2,47,0.577,up,0.62
mixed,G07,2,47,0.654,up,0.62
mixed,G08,2,47,-0.14,down,0.45
mixed,G09,2,48,-0.287,down,0.5
mixed,G10,2,45,0.215,stable,0.62
mixed,G11,2,47,-0.064,down,0.4
serum,G01,7,72,0.189,stable,0.42
serum,G02,7,72,0.047,stable,0.36
serum,G03,7,72,0.528,up,0.64
serum,G04,7,72,0.785,up,0.65
serum,G05,7,72,0.254,up,0.5
serum,G06,7,72,-0.163,down,0.35
serum,G07,7,72,0.009,stable,0.36
serum,G08,7,72,-0.537,down,0.51
serum,G09,7,72,-0.657,down,0.53
serum,G10,7,72,0.714,stable,0.49
serum,G11,7,72,0.343,stable,0.4
